総合順位	No.	氏名	年齢	性別	居住地	総合記録	スイムラップ	S順	バイクラップ	B順	スプリット	通過	ランラップ	R順	男子順位	女子順位	年齢区分	年齢別順
27	127	長井 秀興	35	男	東京都	2:24:44	0:25:00	21	1:13:38	17	1:38:38	14	0:46:06	62	27		M35-39	1
28	229	山本 慈朗	60	男	千葉県	2:24:47	0:31:02	86	1:13:40	18	1:44:42	35	0:40:05	21	28		M60-64	1
29	136	山口 尚己	40	男	神奈川県	2:24:59	0:23:04	8	1:20:24	44	1:43:28	32	0:41:31	26	29		M40-44	3
30	210	佐藤 浩二	57	男	群馬県	2:25:11	0:25:53	27	1:14:06	21	1:39:59	19	0:45:12	58	30		M55-59	3
31	104	髙橋 光陽	20	男	学連	2:25:23	0:24:55	20	1:17:27	35	1:42:22	26	0:43:01	38	31		M20-24	9
32	103	坂牧 歩峻	20	男	学連	2:25:29	0:23:55	11	1:16:41	31	1:40:36	21	0:44:53	51	32		M20-24	10
33	174	原田 剛	50	男	神奈川県	2:25:36	0:30:36	78	1:13:22	16	1:43:58	33	0:41:38	28	33		M50-54	4
34	158	森川 泰宏	46	男	東京都	2:26:20	0:27:47	51	1:17:27	34	1:45:14	39	0:41:06	24	34		M45-49	4
35	219	松山 文人	58	男	神奈川県	2:26:59	0:22:53	6	1:19:58	42	1:42:51	27	0:44:08	44	35		M55-59	4
36	186	土屋 憲之	52	男	東京都	2:27:03	0:26:27	32	1:18:29	39	1:44:56	36	0:42:07	32	36		M50-54	5
37	125	高原 翼	34	男	東京都	2:27:11	0:26:01	28	1:21:53	53	1:47:54	49	0:39:17	17	37		M30-34	3
38	159	瀬戸 俊一	47	男	神奈川県	2:28:03	0:24:52	19	1:18:27	38	1:43:19	31	0:44:44	49	38		M45-49	5
39	235	熊木 敏	61	男	東京都	2:28:24	0:30:19	76	1:16:06	28	1:46:25	42	0:41:59	30	39		M60-64	2
40	140	森本 祐一	41	男	東京都	2:28:49	0:21:31	2	1:25:15	66	1:46:46	43	0:42:03	31	40		M40-44	4
41	146	藤田 浩平	43	男	東京都	2:29:13	0:29:44	73	1:23:00	55	1:52:44	57	0:36:29	8	41		M40-44	5
42	150	駒田 嘉之	45	男	神奈川県	2:30:02	0:26:47	37	1:17:40	36	1:44:27	34	0:45:35	59	42		M45-49	6
43	129	牧野 一成	36	男	東京都	2:30:07	0:30:52	80	1:16:27	29	1:47:19	44	0:42:48	35	43		M35-39	2
44	128	赤尾 遊一	36	男	東京都	2:30:14	0:23:35	9	1:21:43	52	1:45:18	40	0:44:56	54	44		M35-39	3
45	114	野本 将平	26	男	東京都	2:30:34	0:24:44	18	1:21:36	50	1:46:20	41	0:44:14	45	45		M25-29	3
46	132	小宮山 貴史	37	男	東京都	2:31:47	0:24:20	15	1:20:41	46	1:45:01	37	0:46:46	65	46		M35-39	4
47	138	木村 俊夫	41	男	神奈川県	2:32:14	0:24:19	14	1:23:18	56	1:47:37	47	0:44:37	48	47		M40-44	6
48	228	境 広志	60	男	東京都	2:32:30	0:27:05	44	1:20:29	45	1:47:34	45	0:44:56	53	48		M60-64	3
49	237	藤倉 充裕	62	男	東京都	2:33:17	0:26:45	35	1:21:28	49	1:48:13	50	0:45:04	56	49		M60-64	4
50	167	田中 康志	49	男	東京都	2:33:26	0:26:46	36	1:20:50	47	1:47:36	46	0:45:50	60	50		M45-49	7
51	252	市川 和彦	68	男	東京都	2:34:13	0:28:25	55	1:22:47	54	1:51:12	53	0:43:01	39	51		M65-69	1
52	265	秋山 恵美	34	女	神奈川県	2:35:00	0:22:43	5	1:31:04	101	1:53:47	61	0:41:13	25		1	F30-34	
53	262	白岩 千加子	22	女	学連	2:36:00	0:26:53	39	1:26:08	70	1:53:01	58	0:42:59	37		2	F20-24	
54	184	住友 一	52	男	神奈川県	2:36:35	0:33:39	105	1:18:25	37	1:52:04	54	0:44:31	47	52		M50-54	6
55	236	日下部 朋久	62	男	千葉県	2:37:25	0:28:13	54	1:21:22	48	1:49:35	52	0:47:50	73	53		M60-64	5
56	193	佐藤 清	53	男	東京都	2:38:56	0:27:35	49	1:21:41	51	1:49:16	51	0:49:40	85	54		M50-54	7
57	172	田中 徹	50	男	神奈川県	2:39:09	0:28:10	53	1:24:32	63	1:52:42	56	0:46:27	64	55		M50-54	8
58	251	塚越 達也	66	男	神奈川県	2:39:12	0:29:20	67	1:26:19	73	1:55:39	70	0:43:33	40	56		M65-69	2
59	154	吉田 直樹	45	男	東京都	2:39:51	0:30:03	75	1:26:50	75	1:56:53	72	0:42:58	36	57		M45-49	8
60	231	大坪 隆	61	男	埼玉県	2:39:57	0:26:27	31	1:27:14	79	1:53:41	60	0:46:16	63	58		M60-64	6
61	196	秋山 充二郎	54	男	東京都	2:40:30	0:40:29	149	1:19:54	41	2:00:23	87	0:40:07	22	59		M50-54	9
62	190	米本 豊	52	男	神奈川県	2:41:07	0:33:11	102	1:24:23	62	1:57:34	76	0:43:33	41	60		M50-54	10
63	182	山田 秀志	51	男	神奈川県	2:41:49	0:37:47	133	1:20:10	43	1:57:57	78	0:43:52	43	61		M50-54	11
64	147	関根 健一	44	男	神奈川県	2:42:29	0:29:06	66	1:24:18	61	1:53:24	59	0:49:05	79	62		M40-44	7
65	165	尾崎 正宏	49	男	埼玉県	2:42:57	0:33:48	106	1:24:03	60	1:57:51	77	0:45:06	57	63		M45-49	9
66	224	早川 信悟	59	男	神奈川県	2:43:10	0:31:01	85	1:24:36	64	1:55:37	69	0:47:33	69	64		M55-59	5
67	225	川窪 正	60	男	神奈川県	2:43:45	0:30:55	82	1:23:42	59	1:54:37	64	0:49:08	80	65		M60-64	7
68	163	及川 浩次郎	49	男	神奈川県	2:44:11	0:35:22	119	1:26:11	71	2:01:33	94	0:42:38	34	66		M45-49	10
69	207	萬 昭宏	56	男	東京都	2:44:16	0:32:10	94	1:26:12	72	1:58:22	81	0:45:54	61	67		M55-59	6
70	175	和田 晃	50	男	東京都	2:44:24	0:27:00	42	1:27:16	80	1:54:16	63	0:50:08	90	68		M50-54	12
71	214	井崎 邦昭	58	男	神奈川県	2:44:49	0:30:23	77	1:24:57	65	1:55:20	67	0:49:29	83	69		M55-59	7
72	274	山本 真紀恵	59	女	千葉県	2:45:31	0:31:34	90	1:26:39	74	1:58:13	80	0:47:18	66		3	F55-59	
73	126	田原 宏樹	35	男	東京都	2:45:37	0:31:40	91	1:25:19	67	1:56:59	73	0:48:38	76	70		M35-39	5
74	270	黒河内 千鶴	53	女	神奈川県	2:45:50	0:29:06	64	1:28:55	89	1:58:01	79	0:47:49	72		4	F50-54	1
75	244	永井 好郎	64	男	東京都	2:46:17	0:29:58	74	1:25:37	69	1:55:35	68	0:50:42	92	71		M60-64	8
76	169	渡邉 重人	49	男	東京都	2:47:05	0:29:04	63	1:28:20	84	1:57:24	74	0:49:41	86	72		M45-49	11
77	261	江里口 明里	20	女	学連	2:47:14	0:24:08	12	1:28:29	86	1:52:37	55	0:54:37	105		5	F20-24	1
78	183	植松 公彦	52	男	神奈川県	2:47:57	0:33:06	100	1:27:27	81	2:00:33	90	0:47:24	67	73		M50-54	13
79	272	笹原 奈泉	55	女	神奈川県	2:48:46	0:29:42	72	1:30:47	99	2:00:29	89	0:48:17	75		6	F55-59	1
80	218	本間 学	58	男	神奈川県	2:49:00	0:34:15	110	1:27:05	78	2:01:20	93	0:47:40	70	74		M55-59	8
81	161	川野辺 慎吾	48	男	神奈川県	2:49:06	0:31:07	88	1:23:35	57	1:54:42	66	0:54:24	103	75		M45-49	12
82	263	米澤 佳那子	23	女	神奈川県	2:49:55	0:27:32	48	1:30:51	100	1:58:23	82	0:51:32	96		7	F20-24	2
83	168	西村 將生	49	男	神奈川県	2:50:08	0:31:19	89	1:29:52	94	2:01:11	91	0:48:57	78	76		M45-49	13
84	212	仲宗根 一郎	57	男	神奈川県	2:50:11	0:31:59	93	1:25:34	68	1:57:33	75	0:52:38	99	77		M55-59	9
85	191	井田 茂人	53	男	東京都	2:50:15	0:26:50	38	1:27:49	83	1:54:39	65	0:55:36	109	78		M50-54	14
86	189	堀部 弘之	52	男	神奈川県	2:50:33	0:28:39	58	1:31:50	103	2:00:29	88	0:50:04	89	79		M50-54	15
87	220	甘利 健	59	男	東京都	2:50:59	0:30:37	79	1:29:01	91	1:59:38	84	0:51:21	95	80		M55-59	10
88	257	鈴木 教之	73	男	愛知県	2:51:06	0:32:46	97	1:28:26	85	2:01:12	92	0:49:54	88	81		M70-74	1
89	185	田中 康晴	52	男	神奈川県	2:52:22	0:33:03	99	1:28:59	90	2:02:02	95	0:50:20	91	82		M50-54	16
90	131	桑原 智之	37	男	静岡県	2:52:26	0:27:16	45	1:26:51	76	1:54:07	62	0:58:19	120	83		M35-39	6
91	202	涼本 泰民	55	男	神奈川県	2:52:29	0:33:23	103	1:26:57	77	2:00:20	86	0:52:09	98	84		M55-59	11
92	177	磯部 晴樹	51	男	神奈川県	2:52:36	0:33:10	101	1:31:57	104	2:05:07	104	0:47:29	68	85		M50-54	17
93	205	須々木 昌朗	56	男	神奈川県	2:52:54	0:28:57	61	1:34:35	117	2:03:32	99	0:49:22	81	86		M55-59	12
94	227	斉藤 正夫	60	男	神奈川県	2:53:20	0:29:21	68	1:27:31	82	1:56:52	71	0:56:28	115	87		M60-64	9
95	133	大城 敦哉	38	男	神奈川県	2:53:50	0:35:11	115	1:29:42	92	2:04:53	103	0:48:57	77	88		M35-39	7
96	173	馬場 大輔	50	男	東京都	2:55:13	0:28:40	59	1:35:44	118	2:04:24	101	0:50:49	93	89		M50-54	18
97	149	村木 結一郎	44	男	神奈川県	2:55:41	0:35:57	123	1:30:09	96	2:06:06	106	0:49:35	84	90		M40-44	8
98	275	太田 陽子	60	女	神奈川県	2:55:45	0:29:33	71	1:32:55	106	2:02:28	96	0:53:17	101		8	F60-64	1
99	269	本澤 実央	52	女	埼玉県	2:57:24	0:27:37	50	1:37:51	123	2:05:28	105	0:51:56	97		9	F50-54	2
100	142	岸 智則	42	男	神奈川県	2:57:41	0:34:51	113	1:23:35	58	1:58:26	83	0:59:15	126	91		M40-44	9
101	258	岡本 正夫	76	男	神奈川県	2:59:26	0:31:47	92	1:28:30	87	2:00:17	85	0:59:09	124	92		M75-79	1
102	153	福田 哲	45	男	静岡県	3:00:55	0:30:55	83	1:33:39	110	2:04:34	102	0:56:21	114	93		M45-49	14
103	264	宮本 未来	29	女	神奈川県	3:01:33	0:32:11	95	1:44:21	146	2:16:32	130	0:45:01	55		10	F25-29	1
104	276	鈴木 えり香	65	女	神奈川県	3:02:02	0:29:27	69	1:33:20	108	2:02:47	97	0:59:15	125		11	F65-69	1
105	134	山本 隆	38	男	東京都	3:02:46	0:36:47	127	1:38:07	124	2:14:54	126	0:47:52	74	94		M35-39	8
106	145	平井 大輔	43	男	神奈川県	3:02:58	0:39:54	147	1:33:40	111	2:13:34	124	0:49:24	82	95		M40-44	10
107	232	小川 武士	61	男	神奈川県	3:03:04	0:36:11	125	1:33:53	113	2:10:04	117	0:53:00	100	96		M60-64	10
108	160	渡辺 修治	47	男	東京都	3:03:55	0:37:58	136	1:29:52	93	2:07:50	109	0:56:05	110	97		M45-49	15
109	178	岡 孝亮	51	男	東京都	3:04:28	0:35:21	118	1:33:44	112	2:09:05	112	0:55:23	108	98		M50-54	19
110	249	村尾 昌彦	65	男	東京都	3:04:56	0:37:41	132	1:30:02	95	2:07:43	108	0:57:13	118	99		M65-69	3
111	198	佐藤 拓也	54	男	神奈川県	3:05:01	0:39:50	145	1:34:10	115	2:14:00	125	0:51:01	94	100		M50-54	20
112	166	河村 康文	49	男	神奈川県	3:05:26	0:38:12	139	1:32:21	105	2:10:33	120	0:54:53	107	101		M45-49	16
113	137	大野 達也	41	男	神奈川県	3:05:31	0:39:35	143	1:41:02	134	2:20:37	136	0:44:54	52	102		M40-44	11
114	268	西川 美ゆき	47	女	東京都	3:06:37	0:33:51	107	1:36:07	119	2:09:58	116	0:56:39	116		12	F45-49	1
115	209	唐澤 伸郎	57	男	東京都	3:07:02	0:31:07	87	1:31:46	102	2:02:53	98	1:04:09	141	103		M55-59	13
116	139	須藤 祐哉	41	男	東京都	3:07:09	0:35:17	117	1:33:39	109	2:08:56	110	0:58:13	119	104		M40-44	12
117	113	佐藤 真也	26	男	神奈川県	3:07:14	0:35:07	114	1:28:53	88	2:04:00	100	1:03:14	137	105		M25-29	4
118	157	松岡 大輔	46	男	石川県	3:08:14	0:32:22	96	1:34:08	114	2:06:30	107	1:01:44	135	106		M45-49	17
119	239	貝塚 理	63	男	茨城県	3:08:31	0:35:17	116	1:34:14	116	2:09:31	113	0:59:00	122	107		M60-64	11
120	217	西尾 順一郎	58	男	神奈川県	3:08:36	0:39:43	144	1:30:23	97	2:10:06	118	0:58:30	121	108		M55-59	14
121	194	中野 英幸	53	男	愛知県	3:09:12	0:36:38	126	1:33:01	107	2:09:39	114	0:59:33	128	109		M50-54	21
122	199	沼沢 大輔	54	男	神奈川県	3:09:51	0:35:53	122	1:39:24	127	2:15:17	127	0:54:34	104	110		M50-54	22
123	122	今村 俊直	32	男	山梨県	3:11:43	0:36:53	128	1:38:41	126	2:15:34	128	0:56:09	111	111		M30-34	4
124	117	川崎 良太	28	男	神奈川県	3:13:56	0:44:14	159	1:39:52	131	2:24:06	144	0:49:50	87	112		M25-29	5
125	271	半田 智美	53	女	神奈川県	3:14:11	0:37:30	131	1:43:11	141	2:20:41	138	0:53:30	102		13	F50-54	3
126	187	豊田 尚司	52	男	神奈川県	3:14:15	0:34:38	112	1:38:28	125	2:13:06	123	1:01:09	130	113		M50-54	23
127	253	瀬戸 馨	70	男	神奈川県	3:15:26	0:28:10	52	1:42:13	137	2:10:23	119	1:05:03	143	114		M70-74	2
128	204	谷島 潔	55	男	神奈川県	3:17:58	0:41:18	153	1:41:53	135	2:23:11	143	0:54:47	106	115		M55-59	15
129	245	村橋 哲矢	64	男	東京都	3:18:04	0:37:48	134	1:43:22	142	2:21:10	140	0:56:54	117	116		M60-64	12
130	240	黒崎 靖介	63	男	東京都	3:18:31	0:41:34	154	1:36:54	122	2:18:28	133	1:00:03	129	117		M60-64	13
131	267	増井 由香里	42	女	静岡県	3:18:51	0:35:40	121	1:44:06	145	2:19:46	135	0:59:05	123		14	F40-44	1
132	216	田中 純一	58	男	愛知県	3:18:53	0:39:56	148	1:39:39	129	2:19:35	134	0:59:18	127	118		M55-59	16
133	201	坂本 昭博	55	男	神奈川県	3:19:19	0:38:26	141	1:30:35	98	2:09:01	111	1:10:18	147	119		M55-59	17
134	155	中野 悟	46	男	神奈川県	3:20:42	0:30:56	84	1:40:00	132	2:10:56	121	1:09:46	146	120		M45-49	18
135	197	大山 卓也	54	男	静岡県	3:20:48	0:42:22	156	1:42:08	136	2:24:30	146	0:56:18	113	121		M50-54	24
136	192	大木 康幸	53	男	東京都	3:21:09	0:37:25	130	1:39:41	130	2:17:06	131	1:04:03	140	122		M50-54	25
137	226	国府 秀俊	60	男	神奈川県	3:21:47	0:40:33	150	1:36:38	120	2:17:11	132	1:04:36	142	123		M60-64	14
138	266	阿部 宏美	41	女	神奈川県	3:23:16	0:38:17	140	1:43:36	144	2:21:53	141	1:01:23	133		15	F40-44	2
139	170	石山 剛	50	男	神奈川県	3:23:51	0:34:08	109	1:48:04	149	2:22:12	142	1:01:39	134	124		M50-54	26
140	248	真野 靖士	65	男	神奈川県	3:25:28	0:41:03	151	1:43:05	139	2:24:08	145	1:01:20	132	125		M65-69	4
141	176	磯野 泰二	51	男	東京都	3:27:56	0:30:52	81	1:40:37	133	2:11:29	122	1:16:27	153	126		M50-54	27
142	273	比留間 素子	57	女	東京都	3:29:46	0:38:01	137	1:55:31	154	2:33:32	153	0:56:14	112		16	F55-59	2
143	230	池田 明人	61	男	東京都	3:29:47	0:37:51	135	1:43:05	140	2:20:56	139	1:08:51	145	127		M60-64	15
144	152	福島 知仁	45	男	神奈川県	3:30:56	0:38:05	138	1:47:43	148	2:25:48	148	1:05:08	144	128		M45-49	19
145	213	嵐 信明	58	男	神奈川県	3:32:37	0:33:30	104	1:42:48	138	2:16:18	129	1:16:19	152	129		M55-59	18
146	234	山 雄久	61	男	神奈川県	3:34:38	0:41:40	155	1:49:37	151	2:31:17	151	1:03:21	138	130		M60-64	16
147	242	棚橋 伸	64	男	神奈川県	3:37:04	0:34:03	108	1:59:36	156	2:33:39	154	1:03:25	139	131		M60-64	17
148	200	岸 重光	55	男	神奈川県	3:37:34	0:38:29	142	1:46:45	147	2:25:14	147	1:12:20	148	132		M55-59	19
149	215	石井 博之	58	男	神奈川県	3:37:58	0:46:41	160	1:49:59	152	2:36:40	156	1:01:18	131	133		M55-59	20
150	250	山野井 康具	65	男	埼玉県	3:41:41	0:41:10	152	1:39:28	128	2:20:38	137	1:21:03	154	134		M65-69	5
151	247	田代 紳一郎	65	男	東京都	3:41:55	0:43:28	158	1:56:16	155	2:39:44	157	1:02:11	136	135		M65-69	6
152	255	畑中 泰二	71	男	埼玉県	3:43:46	0:37:20	129	1:53:22	153	2:30:42	150	1:13:04	149	136		M70-74	3
153	260	峰田 正隆	82	男	東京都	3:45:02	0:46:50	161	1:43:32	143	2:30:22	149	1:14:40	151	137		M80-84	1
154	277	毛利 光博	62	男	東京都	3:46:12	0:42:28	157	1:49:31	150	2:31:59	152	1:14:13	150	138		M60-64	18
155	259	藤田 勉	79	男	東京都	4:03:27	0:35:29	120	1:59:57	157	2:35:26	155	1:28:01	156	139		M75-79	2
156	243	土居 幸仁	64	男	東京都	4:22:20	0:55:00	162	2:01:02	158	2:56:02	158	1:26:18	155	140		M60-64	19
DNF	164	大山 利明	49	男	東京都		0:26:02	29	1:16:56	32	1:42:58	28					M45-49	
DNF	181	高田 明彦	51	男	神奈川県		0:33:01	98	1:36:44	121	2:09:45	115					M50-54	
DNF	195	眞澤 暢宏	53	男	東京都		0:28:55	60									M50-54	
DNF	221	佐野 星司	59	男	神奈川県		0:39:50	146									M55-59	
DNF	254	井関 治	71	男	東京都		0:34:35	111									M70-74	
DNF	256	藤村 吉男	71	男	東京都		0:35:59	124									M70-74	
SKIP	223	綱川 佳邦	59	男	神奈川県				1:27:48				0:48:28				M55-59	
DSQ	123	江畑 俊行	32	男	千葉県	2:21:31	0:19:39		1:21:18		1:40:57		0:40:34				M30-34	
DNS	119	井波 柱偉	29	男	神奈川県												M25-29	
DNS	124	亀山 啓吾	34	男	山梨県												M30-34	
DNS	130	北村 尚幸	37	男	神奈川県												M35-39	
DNS	141	池畑 健太	42	男	神奈川県												M40-44	
DNS	148	Ｃｈａｍｂｅｒｌｉｎ Ｅｒｉｃ	44	男	神奈川県												M40-44	
DNS	180	小林 範素	51	男	東京都												M50-54	
DNS	203	松本 潤一	55	男	群馬県												M55-59	
DNS	208	遠藤 浩	57	男	東京都												M55-59	
DNS	211	千葉 寿夫	57	男	神奈川県												M55-59	
DNS	233	金井 周悟	61	男	神奈川県												M60-64	
DNS	238	大美 周一	63	男	神奈川県												M60-64	
DNS	241	志田 哲也	63	男	東京都												M60-64	
DNS	246	渡辺 吏	64	男	東京都												M60-64	
