総合順位	No.	氏名	年齢	性別	都道府県	総合記録	ｽｲﾑﾗｯﾌﾟ	Ｓ順	ﾊﾞｲｸﾗｯﾌﾟ	Ｂ順	ｽﾌﾟﾘｯﾄ	通過	ﾗﾝﾗｯﾌﾟ	Ｒ順	男子順位	女子順位	年代区分	年代別順
41	572	高橋 克昭	65	男	埼玉県	2:32:48	0:32:17	40	1:11:49	32	1:44:06	38	0:48:42	59	36		60歳代男子	2
42	511	永山 史朗	51	男	岩手県	2:33:24	0:30:56	29	1:15:21	51	1:46:17	42	0:47:07	49	37		50歳代男子	7
43	415	小杉 誠	45	男	宮城県	2:34:15	0:33:38	49	1:11:41	31	1:45:19	41	0:48:56	63	38		40歳代男子	11
44	237	藤井 雄司	39	男	福島県	2:35:36	0:30:02	25	1:16:39	56	1:46:41	43	0:48:55	62	39		30歳代男子	5
45	429	浅野 朗宏	48	男	茨城県	2:35:45	0:36:51	83	1:14:44	48	1:51:35	56	0:44:10	28	40		40歳代男子	12
46	523	氏家 正裕	52	男	宮城県	2:36:32	0:31:53	36	1:14:55	49	1:46:48	44	0:49:44	70	41		50歳代男子	8
47	540	鈴木 宜雄	55	男	茨城県	2:36:46	0:33:57	52	1:16:45	57	1:50:42	53	0:46:04	40	42		50歳代男子	9
48	439	五十嵐 康宏	49	男	東京都	2:37:13	0:36:04	72	1:12:40	39	1:48:44	49	0:48:29	56	43		40歳代男子	13
49	566	後藤 善史	59	男	宮城県	2:38:31	0:35:40	65	1:12:06	33	1:47:46	48	0:50:45	77	44		50歳代男子	10
50	502	盛 真人	50	男	福島県	2:39:01	0:36:24	77	1:13:59	44	1:50:23	52	0:48:38	58	45		50歳代男子	11
51	421	井手 伸一	47	男	大阪府	2:39:03	0:33:58	53	1:18:47	65	1:52:45	58	0:46:18	45	46		40歳代男子	14
52	554	窪田  義之	57	男	宮城県	2:39:06	0:35:58	70	1:11:39	30	1:47:37	45	0:51:29	78	47		50歳代男子	12
53	209	宮崎 颯	22	男	福島県	2:40:36	0:36:50	82	1:12:13	34	1:49:03	50	0:51:33	79	48		20歳代男子	12
54	422	入間川 祐一	47	男	宮城県	2:40:45	0:40:49	106	1:15:44	52	1:56:33	72	0:44:12	29	49		40歳代男子	15
55	615	大志田 紀子	46	女	岩手県	2:41:03	0:33:56	51	1:20:49	77	1:54:45	63	0:46:18	44		6	40歳代女子	1
56	542	小杉 護	55	男	千葉県	2:42:26	0:36:19	76	1:18:14	64	1:54:33	62	0:47:53	54	50		50歳代男子	13
57	419	坂口 修	46	男	宮城県	2:42:51	0:31:29	33	1:19:35	69	1:51:04	54	0:51:47	84	51		40歳代男子	16
58	221	齋藤 尚矢	29	男	青森県	2:42:58	0:33:18	47	1:16:52	58	1:50:10	51	0:52:48	89	52		20歳代男子	13
59	611	加瀬 恵美	42	女	千葉県	2:43:54	0:32:10	39	1:22:12	84	1:54:22	61	0:49:32	69		7	40歳代女子	2
60	601	櫻井 唯	20	女	宮城県	2:44:00	0:27:17	13	1:27:30	110	1:54:47	64	0:49:13	64		8	20歳代男子	3
61	507	安部 朋彦	50	男	愛知県	2:45:20	0:38:15	90	1:20:14	74	1:58:29	75	0:46:51	47	53		50歳代男子	14
62	524	小林 吉宏	52	男	青森県	2:45:44	0:36:50	81	1:22:59	89	1:59:49	79	0:45:55	38	54		50歳代男子	15
63	558	今井 章義	58	男	宮城県	2:45:45	0:36:16	75	1:20:07	73	1:56:23	71	0:49:22	66	55		50歳代男子	16
64	550	鳥谷 秋雄	57	男	青森県	2:45:47	0:41:54	124	1:15:10	50	1:57:04	74	0:48:43	60	56		50歳代男子	17
65	219	佐藤 駿	28	男	宮城県	2:45:48	0:40:22	104	1:19:09	67	1:59:31	77	0:46:17	43	57		20歳代男子	14
66	512	須藤 和人	51	男	宮城県	2:46:27	0:38:48	93	1:16:01	53	1:54:49	65	0:51:38	81	58		50歳代男子	18
67	505	菅井 義啓	50	男	宮城県	2:46:38	0:37:23	86	1:17:41	60	1:55:04	66	0:51:34	80	59		50歳代男子	19
68	205	今井　 希	20	男	愛知県	2:46:51	0:34:28	56	1:18:02	63	1:52:30	57	0:54:21	96	60		20歳代男子	15
69	607	堀川 倫子	35	女	福島県	2:46:54	0:32:08	38	1:19:02	66	1:51:10	55	0:55:44	104		9	30歳代女子	1
70	517	菅野 一真	52	男	宮城県	2:47:08	0:42:29	127	1:19:54	71	2:02:23	89	0:44:45	31	61		50歳代男子	20
71	626	大貫  千春	57	女	茨城県	2:47:47	0:35:51	68	1:24:15	99	2:00:06	83	0:47:41	53		10	50歳代女子	1
72	405	瀬戸 亮平	42	男	宮城県	2:48:27	0:36:14	74	1:25:57	104	2:02:11	87	0:46:16	41	62		40歳代男子	17
73	606	澤井 咲乃	34	女	福島県	2:48:49	0:32:07	37	1:23:25	92	1:55:32	68	0:53:17	92		11	30歳代女子	2
74	528	辰喜 太輔	53	男	新潟県	2:49:41	0:36:46	80	1:22:34	86	1:59:20	76	0:50:21	74	63		50歳代男子	21
75	410	篠原 友浩	44	男	宮城県	2:50:16	0:34:09	55	1:25:52	103	2:00:01	80	0:50:15	73	64		40歳代男子	18
76	513	田邉 保晴	51	男	東京都	2:50:20	0:42:46	130	1:20:30	76	2:03:16	93	0:47:04	48	65		50歳代男子	22
77	210	若月 雄也	22	男	福島県	2:50:23	0:48:36	160	1:14:39	47	2:03:15	92	0:47:08	50	66		20歳代男子	16
78	627	山本 真紀恵	57	女	千葉県	2:50:33	0:36:13	73	1:23:51	94	2:00:04	82	0:50:29	75		12	50歳代女子	2
79	433	漆山 敬人	48	男	山形県	2:52:00	0:35:08	61	1:21:28	80	1:56:36	73	0:55:24	102	67		40歳代男子	19
80	407	渡邉　 博幸	42	男	宮城県	2:52:10	0:38:31	91	1:16:58	59	1:55:29	67	0:56:41	108	68		40歳代男子	20
81	538	山崎 教雄	55	男	宮城県	2:52:12	0:34:03	54	1:22:14	85	1:56:17	70	0:55:55	105	69		50歳代男子	23
82	436	森田 俊平	49	男	東京都	2:52:33	0:34:53	58	1:21:20	78	1:56:13	69	0:56:20	106	70		40歳代男子	21
83	630	黒羽 美登里	61	女	東京都	2:52:36	0:37:32	88	1:23:25	93	2:00:57	85	0:51:39	83		13	60歳代女子	1
84	235	林 祐次郎	39	男	千葉県	2:52:48	0:37:10	85	1:22:52	87	2:00:02	81	0:52:46	88	71		30歳代男子	6
85	568	北本 大	60	男	茨城県	2:53:26	0:46:28	152	1:16:17	55	2:02:45	91	0:50:41	76	72		60歳代男子	3
86	616	瀬戸 礼子	47	女	宮城県	2:54:50	0:43:42	137	1:21:45	82	2:05:27	99	0:49:23	67		14	40歳代女子	3
87	203	新井 拓希	20	男	福島県	2:54:51	0:35:41	66	1:17:59	62	1:53:40	59	1:01:11	129	73		20歳代男子	17
88	204	内田 龍一	20	男	福島県	2:54:52	0:41:15	112	1:21:22	79	2:02:37	90	0:52:15	86	74		20歳代男子	18
89	420	冨田 貴允	46	男	福島県	2:56:46	0:38:55	94	1:30:20	129	2:09:15	111	0:47:31	51	75		40歳代男子	22
90	526	落合 基晴	53	男	千葉県	2:57:29	0:35:27	64	1:26:20	105	2:01:47	86	0:55:42	103	76		50歳代男子	24
91	412	中村 克弥	45	男	宮城県	2:59:04	0:39:03	96	1:30:10	127	2:09:13	110	0:49:51	71	77		40歳代男子	23
92	575	紫芝 弘之	66	男	千葉県	2:59:45	0:38:59	95	1:32:13	137	2:11:12	118	0:48:33	57	78		60歳代男子	4
93	536	山口 拓志	55	男	宮城県	3:00:21	0:46:02	149	1:21:38	81	2:07:40	106	0:52:41	87	79		50歳代男子	25
94	620	土樋 三起	48	女	岩手県	3:00:31	0:42:54	133	1:20:22	75	2:03:16	94	0:57:15	111		15	40歳代女子	4
95	553	梶原 真哉	57	男	福島県	3:00:43	0:41:46	119	1:24:20	100	2:06:06	100	0:54:37	97	80		50歳代男子	26
96	501	石原 修一	50	男	福島県	3:00:51	0:35:56	69	1:24:44	101	2:00:40	84	1:00:11	126	81		50歳代男子	27
97	418	宇部 博基	46	男	宮城県	3:01:14	0:41:50	121	1:31:46	135	2:13:36	129	0:47:38	52	82		40歳代男子	24
98	564	中野 博之	59	男	宮城県	3:01:53	0:42:47	131	1:24:01	95	2:06:48	103	0:55:05	100	83		50歳代男子	28
99	547	中島 直	56	男	宮城県	3:01:56	0:42:12	126	1:20:03	72	2:02:15	88	0:59:41	120	84		50歳代男子	29
100	629	藤田 美里	59	女	東京都	3:02:55	0:41:38	117	1:17:55	61	1:59:33	78	1:03:22	138		16	50歳代女子	3
101	622	新井田 由理	52	女	東京都	3:03:20	0:41:53	123	1:29:30	121	2:11:23	122	0:51:57	85		17	50歳代女子	4
102	406	エイムズ アンドリュークラーク	42	男	宮城県	3:04:02	0:39:37	101	1:27:10	108	2:06:47	102	0:57:15	112	85		40歳代男子	25
103	557	山田 文彦	58	男	福島県	3:04:07	0:41:02	108	1:23:19	91	2:04:21	96	0:59:46	122	86		50歳代男子	30
104	560	若林 正人	58	男	栃木県	3:04:10	0:51:52	164	1:22:57	88	2:14:49	135	0:49:21	65	87		50歳代男子	31
105	561	松本 智幸	58	男	福島県	3:04:18	0:36:38	79	1:32:25	138	2:09:03	109	0:55:15	101	88		50歳代男子	32
106	577	村田 克也	68	男	茨城県	3:04:21	0:36:24	78	1:28:20	113	2:04:44	97	0:59:37	119	89		60歳代男子	5
107	613	多田 純子	45	女	大阪府	3:04:38	0:41:20	113	1:29:04	119	2:10:24	116	0:54:14	95		18	40歳代女子	5
108	535	Meier Nils	54	男	東京都	3:04:59	0:41:14	111	1:24:10	98	2:05:24	98	0:59:35	118	90		50歳代男子	33
109	232	下浅 地広	35	男	宮城県	3:05:02	0:40:21	103	1:29:47	123	2:10:08	115	0:54:54	99	91		30歳代男子	7
110	569	武田 豊三	61	男	宮城県	3:05:55	0:42:35	128	1:31:41	134	2:14:16	132	0:51:39	82	92		60歳代男子	6
111	559	佐浦 康洋	58	男	宮城県	3:07:28	0:45:37	145	1:27:50	111	2:13:27	128	0:54:01	94	93		50歳代男子	34
112	508	背尾 英助	50	男	宮城県	3:08:03	0:41:08	110	1:28:24	114	2:09:32	113	0:58:31	116	94		50歳代男子	35
113	546	後藤 誠	56	男	宮城県	3:09:02	0:41:53	122	1:28:40	117	2:10:33	117	0:58:29	115	95		50歳代男子	36
114	510	石澤 康夫	51	男	宮城県	3:09:13	0:41:22	114	1:30:03	126	2:11:25	123	0:57:48	113	96		50歳代男子	37
115	238	生神 敏基	39	男	新潟県	3:09:15	0:45:38	146	1:29:52	124	2:15:30	136	0:53:45	93	97		30歳代男子	8
116	431	柳橋 英憲	48	男	宮城県	3:09:34	0:45:29	142	1:29:18	120	2:14:47	134	0:54:47	98	98		40歳代男子	26
117	519	佐藤 拓也	52	男	神奈川県	3:09:50	0:45:32	144	1:27:20	109	2:12:52	127	0:56:58	110	99		50歳代男子	38
118	222	藤井 大地	30	男	東京都	3:10:06	0:37:59	89	1:33:24	143	2:11:23	121	0:58:43	117	100		30歳代男子	9
119	628	新田 泰子	58	女	宮城県	3:10:58	0:41:27	115	1:29:45	122	2:11:12	119	0:59:46	121		19	50歳代女子	5
120	609	稲木 涼子	41	女	宮城県	3:11:02	0:46:50	153	1:31:10	131	2:18:00	144	0:53:02	90		20	40歳代女子	6
121	543	米内山 敏明	55	男	青森県	3:11:08	0:37:26	87	1:29:56	125	2:07:22	104	1:03:46	141	101		50歳代男子	39
122	215	富樫 拓海	25	男	宮城県	3:11:46	0:42:36	129	1:29:00	118	2:11:36	124	1:00:10	125	102		20歳代男子	19
123	515	古河 博之	51	男	宮城県	3:12:18	0:45:31	143	1:24:03	96	2:09:34	114	1:02:44	135	103		50歳代男子	40
124	563	今野 秀明	58	男	宮城県	3:12:23	0:40:44	105	1:28:32	116	2:09:16	112	1:03:07	137	104		50歳代男子	41
125	234	下浅 雄大	38	男	宮城県	3:12:32	0:43:23	136	1:23:19	90	2:06:42	101	1:05:50	151	105		30歳代男子	10
126	614	西川 美ゆき	45	女	神奈川県	3:12:58	0:41:49	120	1:34:42	145	2:16:31	140	0:56:27	107		21	40歳代女子	7
127	530	兼田 譲司	54	男	青森県	3:13:13	0:39:24	98	1:24:10	97	2:03:34	95	1:09:39	156	106		50歳代男子	42
128	224	木村 聡汰	31	男	青森県	3:13:33	0:41:56	125	1:26:20	106	2:08:16	107	1:05:17	148	107		30歳代男子	11
129	617	森川 智恵	47	女	東京都	3:13:48	0:40:21	102	1:31:18	132	2:11:39	125	1:02:09	132		22	40歳代女子	8
130	520	小幡 秀樹	52	男	宮城県	3:13:54	0:53:27	168	1:22:08	83	2:15:35	137	0:58:19	114	108		50歳代男子	43
131	537	岸 利昌	55	男	埼玉県	3:13:55	0:41:40	118	1:32:05	136	2:13:45	130	1:00:10	124	109		50歳代男子	44
132	576	大波  久男	67	男	埼玉県	3:14:09	0:43:20	135	1:25:09	102	2:08:29	108	1:05:40	150	110		60歳代男子	7
133	404	稲木 健人	42	男	東京都	3:15:02	0:50:50	162	1:31:09	130	2:21:59	153	0:53:03	91	111		40歳代男子	27
134	579	Turoczy  Michael	69	男	長崎県	3:15:16	0:37:09	84	1:37:27	156	2:14:36	133	1:00:40	128	112		60歳代男子	8
135	618	南 志麻子	47	女	東京都	3:16:50	0:39:24	97	1:33:19	141	2:12:43	126	1:04:07	142		23	40歳代女子	9
136	631	高橋 あき子	69	女	神奈川県	3:17:58	0:38:41	92	1:36:58	154	2:15:39	138	1:02:19	133		24	60歳代女子	2
137	625	山崎 聡美	55	女	宮城県	3:18:03	0:36:04	71	1:31:31	133	2:07:35	105	1:10:28	158		25	50歳代女子	6
138	534	中川 格	54	男	東京都	3:18:53	0:35:49	67	1:53:33	168	2:29:22	161	0:49:31	68	113		50歳代男子	45
139	544	佐藤 孝博	55	男	秋田県	3:18:59	0:39:28	100	1:37:05	155	2:16:33	141	1:02:26	134	114		50歳代男子	46
140	413	熊谷 健	45	男	宮城県	3:20:25	0:45:16	141	1:35:13	147	2:20:29	151	0:59:56	123	115		40歳代男子	28
141	522	苅部 泰輝	52	男	宮城県	3:21:11	0:44:25	139	1:34:58	146	2:19:23	147	1:01:48	130	116		50歳代男子	47
142	582	鬼塚 三男	74	男	東京都	3:21:46	0:42:51	132	1:36:10	150	2:19:01	145	1:02:45	136	117		70歳代男子	1
143	545	仁木 寿志	55	男	宮城県	3:21:56	0:41:06	109	1:30:12	128	2:11:18	120	1:10:38	159	118		50歳代男子	48
144	516	上原 達也	52	男	東京都	3:22:12	0:41:33	116	1:35:52	149	2:17:25	142	1:04:47	146	119		50歳代男子	49
145	548	本間 勇一	56	男	宮城県	3:23:17	0:49:16	161	1:28:32	115	2:17:48	143	1:05:29	149	120		50歳代男子	50
146	584	山川 清一	76	男	宮城県	3:23:42	0:45:54	148	1:33:08	139	2:19:02	146	1:04:40	145	121		70歳代男子	2
147	621	中野 貴子	50	女	岩手県	3:24:26	0:47:41	157	1:39:53	161	2:27:34	160	0:56:52	109		26	50歳代女子	7
148	562	鈴木 敏明	58	男	新潟県	3:25:32	0:47:22	154	1:33:11	140	2:20:33	152	1:04:59	147	122		50歳代男子	51
149	423	内舘 保明	47	男	岩手県	3:25:59	0:40:59	107	1:41:25	163	2:22:24	154	1:03:35	140	123		40歳代男子	29
150	551	菅原 隆平	57	男	宮城県	3:26:21	0:43:17	134	1:39:42	160	2:22:59	156	1:03:22	139	124		50歳代男子	52
151	521	大平 幸弘	52	男	千葉県	3:26:48	0:45:41	147	1:28:11	112	2:13:52	131	1:12:56	161	125		50歳代男子	53
152	578	森 秀美	68	男	青森県	3:27:08	0:53:19	166	1:26:33	107	2:19:52	149	1:07:16	152	126		60歳代男子	9
153	527	行場 裕樹	53	男	宮城県	3:28:18	0:46:21	151	1:33:19	142	2:19:40	148	1:08:38	154	127		50歳代男子	54
154	624	渡辺 華史	55	女	東京都	3:28:23	0:47:22	155	1:36:35	151	2:23:57	157	1:04:26	144		27	50歳代女子	8
155	403	佐藤 佳之	42	男	岩手県	3:29:46	0:51:37	163	1:37:48	157	2:29:25	162	1:00:21	127	128		40歳代男子	30
156	552	植木 統	57	男	宮城県	3:31:06	0:47:23	156	1:35:23	148	2:22:46	155	1:08:20	153	129		50歳代男子	55
157	438	片山 規央	49	男	福島県	3:35:35	0:48:34	159	1:42:50	164	2:31:24	164	1:04:11	143	130		40歳代男子	31
158	581	岩松 茂樹	71	男	宮城県	3:36:49	0:39:25	99	1:36:40	152	2:16:05	139	1:20:44	167	131		70歳代男子	3
159	574	穴澤 隆	66	男	福島県	3:39:02	0:45:14	140	1:40:10	162	2:25:24	158	1:13:38	162	132		60歳代男子	10
160	504	池田 慶太	50	男	岩手県	3:39:58	0:46:05	150	1:34:21	144	2:20:26	150	1:19:32	165	133		50歳代男子	56
161	583	野田 朋芳	76	男	東京都	3:43:46	0:48:26	158	1:38:52	159	2:27:18	159	1:16:28	164	134		70歳代男子	4
162	440	佐藤 正一郎	49	男	宮城県	3:45:30	0:44:01	138	1:46:36	166	2:30:37	163	1:14:53	163	135		40歳代男子	32
163	570	末永 典弘	61	男	宮城県	3:50:40	0:57:12	170	1:44:04	165	2:41:16	166	1:09:24	155	136		60歳代男子	11
164	585	峰田 正隆	80	男	東京都	3:51:18	0:54:48	169	1:36:46	153	2:31:34	165	1:19:44	166	137		80歳代男子	1
165	532	田中 和則	54	男	岩手県	3:51:52	1:03:23	171	1:38:20	158	2:41:43	167	1:10:09	157	138		50歳代男子	57
166	430	澤 裕哉	48	男	宮城県	3:55:20	1:04:52	172	1:48:32	167	2:53:24	169	1:01:56	131	139		40歳代男子	33
167	610	田中 悠海	41	女	福島県	3:59:40	0:53:22	167	1:55:17	169	2:48:39	168	1:11:01	160		28	40歳代女子	10
DNF	233	渡邊 俊輔	36	男	山形県		0:31:32	34	1:11:19	27	1:42:51	30				30歳代男子
DNF	580	小宅 錬	70	男	秋田県		0:35:03	59	1:19:15	68	1:54:18	60	0:39:25			70歳代男子
DNF	239	熊谷 優希	21	男	宮城県		0:30:18	26						20歳代男子
DNF	426	西田 竜也	47	男	山形県		0:52:37	165						40歳代男子
DNF	602	鈴木 陽南子	21	女	宮城県		0:28:24	18						20歳代女子
DNF	225	相崎 豪	31	男	宮城県								30歳代男子
DNF	434	岩崎 寿彦	48	男	宮城県								40歳代男子
SKIP	427	小山田 龍司	47	男	岩手県			1:34:38		1:07:58			40歳代男子
SKIP	518	原田 光	52	男	宮城県			1:28:10		0:56:29			50歳代男子
SKIP	533	西山 光弘	54	男	東京都			1:24:23		0:59:27			50歳代男子
SKIP	539	牧野 彰	55	男	宮城県			1:30:51		1:13:15			50歳代男子
SKIP	619	横山  奈央子	48	女	宮城県			1:49:07		0:58:10			40歳代女子
SKIP	623	佐久間 久子	53	女	福島県			1:47:21		1:27:52			50歳代女子
DNS	214	佐藤 将富	25	男	埼玉県								20歳代男子
DNS	223	太田 健人	30	男	青森県								30歳代男子
DNS	230	佐藤 顕太	34	男	宮城県								30歳代男子
DNS	236	結城 孝	39	男	宮城県								30歳代男子
DNS	417	屋代 卓億	46	男	埼玉県								40歳代男子
DNS	425	室谷 嘉一	47	男	宮城県								40歳代男子
DNS	432	青沼 伸	48	男	埼玉県								40歳代男子
DNS	503	新井 正志	50	男	埼玉県								50歳代男子
DNS	506	三田 雄大	50	男	宮城県								50歳代男子
DNS	529	古本 憲一	53	男	岩手県								50歳代男子
DNS	549	加藤 裕二	57	男	埼玉県								50歳代男子
DNS	556	福井 孝次	58	男	福島県								50歳代男子
DNS	565	大塚 義一	59	男	東京都								50歳代男子
DNS	571	菊谷 尚久	62	男	青森県								60歳代男子
DNS	573	佐藤 徹	65	男	山形県								60歳代男子
