Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	Bike	Run
96	Maria Iso-Ketola	F	F40-44	2	4:46:27	0:33:30	2:32:14	1:33:58
97	Jacopo Destefanis	M	M18-24	13	4:46:28	0:32:15	2:44:18	1:23:21
98	Mihai Emilian	M	M25-29	12	4:46:36	0:37:39	2:24:24	1:33:24
99	Sergei Kulikov	M	M45-49	6	4:46:47	0:36:22	2:25:30	1:38:37
100	Laurynas Ramonas	M	M30-34	15	4:46:51	0:34:06	2:28:06	1:35:48
101	Karoliina Welin	F	F30-34	3	4:46:57	0:33:29	2:25:16	1:42:24
102	Erko Karo	M	M50-54	2	4:47:03	0:35:50	2:23:52	1:41:54
103	Rasmus Välling	M	M30-34	16	4:47:15	0:33:11	2:31:50	1:32:46
104	Rostislav Zjablov	M	M35-39	17	4:47:16	0:35:02	2:37:08	1:26:38
105	Märt Prosin	M	M45-49	7	4:47:24	0:35:28	2:27:32	1:38:40
106	Pavel Kozõrev	M	M35-39	18	4:47:30	0:35:32	2:31:04	1:33:47
107	Reigo Rosenberg	M	M30-34	17	4:47:38	0:39:18	2:23:24	1:34:44
108	Andreas Markhester	M	M50-54	3	4:47:59	0:31:59	2:28:24	1:40:06
109	Hans Rosendahl	M	M50-54	4	4:48:05	0:36:19	2:29:08	1:31:54
110	Martin Teetsov	M	M40-44	13	4:48:06	0:35:33	2:27:39	1:37:01
111	Henri Nieminen	M	M45-49	8	4:48:07	0:37:28	2:29:40	1:31:25
112	Katarína Zimenová	F	F18-24	1	4:48:08	0:34:59	2:32:29	1:33:40
113	Oliver Pällo	M	M18-24	14	4:48:12	0:34:49	2:29:32	1:34:23
114	Paul Gabor	M	M50-54	5	4:48:13	0:35:15	2:26:10	1:38:44
115	Armin Ross	M	M40-44	14	4:48:16	0:43:16	2:32:46	1:23:42
116	Denis Belobokov	M	M40-44	15	4:48:29	0:43:46	2:26:25	1:30:38
117	Johanna Lahikainen	F	F35-39	2	4:48:45	0:36:16	2:29:58	1:35:36
118	Matthew Ferris	M	M30-34	18	4:48:50	0:32:33	2:31:34	1:37:15
119	Oliver Parv	M	M30-34	19	4:49:02	0:37:44	2:25:43	1:38:32
120	Joonas Hirv	M	M35-39	19	4:49:04	0:36:19	2:23:37	1:42:18
