総合順位	No.	氏名	年齢	性別	居住地	総合記録	ｽｲﾑﾗｯﾌﾟ	Ｓ順	ﾊﾞｲｸﾗｯﾌﾟ	Ｂ順	ｽﾌﾟﾘｯﾄ	通過	ﾗﾝﾗｯﾌﾟ	Ｒ順	年齢区分	年齡別順
30	220	家迫 遼介		男		2:42:15	0:27:15	28	1:20:01	101			0:48:09	24	25-29M	3
31	245	南 晃平		男		2:42:29	0:33:10	116	1:15:37	54			0:45:15	13	35-39M	2
32	213	⾦⼦ 聡		男		2:42:56	0:30:24	65	1:14:14	44			0:50:39	39	25-29M	4
33	265	森本 春助		男		2:43:38	0:24:49	11	1:22:04	124			0:49:48	32	40-44M	4
34	260	中⼭ 陽平		男		2:43:56	0:36:17	166	1:14:13	43			0:46:13	18	40-44M	5
35	217	佐藤 颯⼈		男		2:44:02	0:30:32	70	1:17:43	68			0:49:50	33	25-29M	5
36	288	⽵原 寛		男		2:44:08	0:27:08	25	1:18:22	72			0:51:43	44	45-49M	6
37	309	芝 敏貴		男		2:44:37	0:33:32	124	1:13:25	39			0:50:41	40	45-49M	7
38	549	渡邉 光雄		男		2:44:54	0:30:59	74	1:11:47	22			0:53:33	49	65-69M	1
39	207	能島 哲太		男		2:45:17	0:29:37	52	1:18:54	75			0:49:31	30	25-29M	6
40	424	⽔町 英⼆		男		2:45:30	0:30:00	59	1:19:53	98			0:48:07	23	50-54M	6
41	473	⾦⼦ 和⽮		男		2:45:37	0:29:25	49	1:11:50	24			0:56:10	71	55-59M	5
42	208	渡邊 嵩⼠		男		2:46:21	0:22:41	4	1:19:03	78			0:56:02	69	25-29M	7
43	222	前⽥ 健太		男		2:46:58	0:36:38	169	1:14:41	46			0:48:16	25	25-29M	8
44	224	児島 瑞基		男		2:47:00	0:27:11	26	1:15:16	50			0:56:32	74	30-34M	3
45	432	Soares Roger		男		2:47:10	0:33:40	131	1:13:24	38			0:52:15	47	50-54M	7
46	464	内野 基		男		2:47:20	0:29:53	57	1:19:09	81			0:52:10	46	55-59M	6
47	313	⾈川 智也		男		2:49:07	0:32:35	105	1:17:09	61			0:53:56	54	45-49M	8
48	550	⽵下 勝博		男		2:49:18	0:25:30	18	1:15:58	56			1:01:17	111	65-69M	2
49	431	⼩⼝ 俊和		男		2:49:42	0:29:57	58	1:11:55	26			0:58:18	91	50-54M	8
50	321	横⼭ 浩⼆		男		2:49:55	0:27:15	27	1:13:00	33			1:03:50	130	45-49M	9
51	306	佐伯 航		男		2:50:33	0:29:43	56	1:15:40	55			0:56:34	75	45-49M	10
52	275	倉元 俊輔		男		2:51:05	0:28:43	43	1:23:50	145			0:49:46	31	40-44M	6
53	228	野坂 匠		男		2:51:09	0:26:50	23	1:20:24	103			0:55:36	63	30-34M	4
54	246	横江 貴⽃		男		2:51:16	0:25:03	14	1:20:41	108			0:56:47	76	35-39M	3
55	280	⻄宮 正⼈		男		2:52:11	0:39:01	197	1:17:11	63			0:48:33	27	40-44M	7
56	442	池⾒ 孝雄		男		2:52:26	0:33:33	125	1:13:19	36			0:56:59	78	50-54M	9
57	554	塩⾕ 浩⼆		男		2:52:40	0:27:44	34	1:14:07	42			1:03:00	121	65-69M	3
58	413	Barrett Guy		男		2:52:43	0:29:27	50	1:14:03	41			1:01:56	117	50-54M	10
59	410	⼭⼝ 健太		男		2:52:45	0:30:22	63	1:11:45	21			1:03:18	124	50-54M	11
60	433	稲⽥ 裕仁		男		2:52:45	0:32:30	102	1:21:13	119			0:50:00	34	50-54M	12
61	310	岩元 秀樹		男		2:52:48	0:36:33	167	1:17:11	62			0:50:08	37	45-49M	11
62	274	⼩川 健⼆郎		男		2:53:19	0:26:34	21	1:19:45	92			0:57:55	85	40-44M	8
63	416	津曲 宏昭		男		2:53:26	0:32:59	112	1:19:47	93			0:52:08	45	50-54M	13
64	547	和⽥ 勝美		男		2:53:34	0:31:35	91	1:13:24	37			0:59:05	98	65-69M	4
65	468	内之倉 俊朗		男		2:53:39	0:30:26	66	1:17:03	59			0:57:36	81	55-59M	7
66	209	池⽥ 達郎		男		2:53:53	0:27:31	29	1:20:51	111			0:59:06	100	25-29M	9
67	242	⽊⽥ 泰寛		男		2:55:02	0:32:58	111	1:15:17	51			0:59:00	97	35-39M	4
68	423	池本 多賀正		男		2:56:03	0:32:41	107	1:19:18	86			0:55:27	60	50-54M	14
69	472	牧野 康伸		男		2:56:47	0:29:10	47	1:19:12	83			1:00:54	109	55-59M	8
70	552	⽩江 淑浩		男		2:56:54	0:34:43	145	1:11:41	20			0:58:45	95	65-69M	5
71	287	松崎 卓郎		男		2:56:57	0:32:06	98	1:19:51	95			0:55:40	64	45-49M	12
72	521	井上 英明		男		2:57:28	0:29:19	48	1:18:01	70			1:01:21	112	60-64M	6
73	467	⼭本 顕		男		2:58:10	0:34:08	139	1:24:17	149			0:51:04	41	55-59M	9
74	300	中村 隆哲		男		2:58:11	0:31:35	89	1:23:10	140			0:53:54	52	45-49M	13
75	203	尾垣 翔琉		男		2:58:17	0:26:40	22	1:20:47	110			1:04:17	134	20-24M	3
76	286	東瀬 唯志		男		2:59:01	0:31:30	84	1:23:11	141			0:55:26	59	40-44M	9
77	525	須⽥ 修弘		男		2:59:13	0:34:51	147	1:18:13	71			0:58:02	87	60-64M	7
78	404	窪⽥ 幸⼀郎		男		2:59:15	0:33:47	134	1:17:28	66			0:57:05	79	50-54M	15
79	214	平野 亮		男		2:59:16	0:33:29	123	1:13:16	35			1:01:12	110	25-29M	10
80	230	⽵川 直秀		男		2:59:19	0:31:34	87	1:20:27	104			0:58:56	96	30-34M	5
81	446	⿃⽻ ⾼彰		男		2:59:29	0:31:24	82	1:24:22	152			0:53:34	50	50-54M	16
82	282	梁⽊ 理史		男		2:59:31	0:30:42	73	1:13:49	40			1:05:24	146	40-44M	10
83	551	川島 知之		男		2:59:52	0:33:38	128	1:21:12	118			0:56:28	72	65-69M	6
84	252	堀部 朋宏		男		3:00:45	0:31:31	85	1:26:55	175			0:53:55	53	35-39M	5
85	295	⿊⽥ 福太郎		男		3:00:59	0:31:35	88	1:22:11	125			0:57:53	84	45-49M	14
86	299	⾦丸 宗⽞		男		3:01:43	0:30:40	72	1:27:41	182			0:55:41	65	45-49M	15
87	543	⻑⾕川 順三		男		3:02:03	0:27:38	30	1:19:25	88			1:05:38	149	65-69M	7
88	483	⻑⾕部 洋		男		3:02:06	0:37:29	178	1:22:33	131			0:50:01	35	55-59M	10
89	216	川原 信亮		男		3:02:06	0:30:32	69	1:25:04	159			0:58:23	92	25-29M	11
90	403	廣瀬 ⼀⼆		男		3:02:13	0:36:15	165	1:21:29	120			0:56:30	73	50-54M	17
91	294	原⼝ 拓⾺		男		3:02:27	0:32:49	108	1:21:04	114			0:59:31	103	45-49M	16
92	518	吉岡 朋昭		男		3:02:31	0:35:15	155	1:12:10	28			1:06:08	152	60-64M	8
93	558	⽥中 秀男		男		3:02:50	0:32:55	109	1:14:59	48			1:03:50	131	70-74M	1
94	227	本⽥ 博⼰		男		3:03:02	0:30:18	62	1:19:07	80			1:03:21	125	30-34M	6
95	505	三井 啓史		男		3:03:03	0:34:57	149	1:22:45	133			0:56:49	77	60-64M	9
96	225	村上 ⼀⽣		男		3:03:04	0:31:14	78	1:25:44	169			0:55:09	58	30-34M	7
97	453	丸橋 勝寿		男		3:03:15	0:27:50	36	1:17:26	64			1:08:50	169	50-54M	18
98	502	平⼭ 崇		男		3:03:17	0:34:29	143	1:22:32	130			0:58:34	94	60-64M	10
99	296	坂本 徹志		男		3:03:22	0:31:43	94	1:23:18	142			1:00:23	106	45-49M	17
100	232	岩⾒ 克朋		男		3:03:37	0:36:38	168	1:17:50	69			0:58:13	90	30-34M	8
101	476	松本 良史		男		3:03:41	0:31:21	81	1:19:16	85			1:03:32	127	55-59M	11
102	430	⽑利 有孝		男		3:04:02	0:32:56	110	1:19:54	99			0:58:05	88	50-54M	19
103	283	榊原 ⼤輔		男		3:04:08	0:39:22	203	1:22:25	128			0:55:43	66	40-44M	11
104	402	⿊⽊ 繁伸		男		3:04:51	0:32:35	104	1:25:17	163			0:55:44	67	50-54M	20
105	501	清⽔ 秀和		男		3:05:03	0:28:31	41	1:19:09	82			1:07:19	156	60-64M	11
106	267	惣司 真乃祐		男		3:05:25	0:31:36	92	1:19:34	89			1:08:02	163	40-44M	12
107	204	⼭⼝ 波⾳		男		3:05:31	0:33:21	120	1:20:58	112			1:04:23	136	20-24M	4
108	273	⾼橋 賢		男		3:06:00	0:32:04	97	1:12:15	29			1:12:28	192	40-44M	13
109	512	岩⽥ 康志		男		3:06:35	0:34:56	148	1:11:50	25			1:10:58	184	60-64M	12
110	215	後藤 秀隆		男		3:06:37	0:31:39	93	1:25:24	164			0:59:21	102	25-29M	12
111	263	島⽥ 幸典		男		3:06:56	0:37:39	180	1:17:39	67			1:01:55	116	40-44M	14
112	414	河合 隆博		男		3:07:10	0:29:37	53	1:25:13	161			1:02:31	119	50-54M	21
113	289	溝⼝ 剛弘		男		3:07:11	0:31:35	90	1:19:03	77			1:08:03	164	45-49M	18
114	272	井上 健太郎		男		3:07:41	0:33:45	133	1:26:52	174			0:55:51	68	40-44M	15
115	293	森 泰隆		男		3:08:13	0:35:49	160	1:17:26	65			1:03:40	129	45-49M	19
116	528	井上 昭彦		男		3:09:36	0:33:39	129	1:28:51	191			0:58:25	93	60-64M	13
117	248	⼰上 雄⽮		男		3:09:39	0:39:58	207	1:27:25	178			0:51:42	43	35-39M	6
118	312	畑 英⼀郎		男		3:09:40	0:34:19	142	1:18:48	73			1:09:13	171	45-49M	20
119	477	渥美 修⼀郎		男		3:10:00	0:36:11	162	1:19:53	97			1:05:12	142	55-59M	12
120	320	⽶⽥ 浩之		男		3:10:14	0:34:07	138	1:19:40	90			1:05:21	144	45-49M	21
121	297	岩崎 琢磨		男		3:10:28	0:34:16	141	1:24:58	158			1:02:38	120	45-49M	22
122	307	宰井 良輔		男		3:10:39	0:21:48	2	1:20:36	105			1:17:07	209	45-49M	23
123	405	吉⾒ 雅博		男		3:10:47	0:28:24	39	1:30:07	198			1:00:44	108	50-54M	22
124	527	⽥中 ⽂顕		男		3:11:05	0:33:57	135	1:19:16	84			1:10:44	182	60-64M	14
125	444	鶴⽥ 主税		男		3:11:14	0:44:55	237	1:23:06	139			0:52:28	48	50-54M	23
126	243	吉澤 健太		男		3:11:14	0:38:40	195	1:19:06	79			1:03:38	128	35-39M	7
127	479	前⽥ 健⼆		男		3:11:24	0:33:22	121	1:23:02	137			1:05:19	143	55-59M	13
128	506	城崎 ⻯司		男		3:12:30	0:44:52	236	1:23:05	138			0:50:34	38	60-64M	15
129	440	⻑⾕川 洋		男		3:12:47	0:33:12	118	1:24:41	156			1:06:26	153	50-54M	24
130	406	⻄村 健司		男		3:12:53	0:32:38	106	1:20:39	106			1:08:46	168	50-54M	25
131	519	鎌⽥ 廣法		男		3:13:13	0:31:03	76	1:20:44	109			1:08:17	166	60-64M	16
132	445	勝⽥ 聡⼀		男		3:14:50	0:38:00	184	1:22:26	129			1:04:52	138	50-54M	26
133	504	波多野 武⼈		男		3:14:53	0:32:11	100	1:28:49	190			1:05:38	148	60-64M	17
134	523	時任 正信		男		3:15:01	0:31:19	80	1:21:10	117			1:12:04	191	60-64M	18
135	469	三宅 利洋		男		3:15:14	0:40:32	213	1:18:57	76			1:04:58	139	55-59M	14
136	201	森 駿太		男		3:15:27	0:26:51	24	1:23:56	146			1:18:07	214	20-24M	5
137	425	興梠 浩幸		男		3:15:27	0:31:17	79	1:19:18	87			1:16:55	206	50-54M	27
138	407	⼤上 良介		男		3:15:40	0:37:33	179	1:20:40	107			1:05:07	141	50-54M	28
139	219	本間 知弘		男		3:16:07	0:43:47	232	1:22:24	127			0:59:44	104	25-29M	13
140	516	井上 正浩		男		3:16:28	0:37:24	176	1:24:16	148			1:01:51	115	60-64M	19
141	461	櫛間 伴之		男		3:16:45	0:40:29	212	1:19:48	94			1:03:13	123	55-59M	15
142	412	福永 礼史		男		3:16:51	0:38:36	194	1:22:03	123			1:05:23	145	50-54M	29
143	449	佐藤 和彦		男		3:17:19	0:30:22	64	1:25:29	165			1:09:28	172	50-54M	30
144	420	清⽔ 昭⽣		男		3:17:22	0:27:54	37	1:27:41	181			1:10:27	180	50-54M	31
145	540	秋⽉ 誠		男		3:17:38	0:36:47	172	1:29:31	193			1:00:21	105	60-64M	20
146	436	⾼井 伸太郎		男		3:17:42	0:34:45	146	1:21:10	116			1:10:17	179	50-54M	32
147	250	楊 建晃		男		3:17:54	0:33:06	114	1:22:56	136			1:11:21	187	35-39M	8
148	437	⻑友 ⼀郎		男		3:18:22	0:34:15	140	1:26:43	173			1:04:17	135	50-54M	33
149	542	宮崎 秀信		男		3:18:37	0:35:10	153	1:19:42	91			1:11:08	186	60-64M	21
150	419	藤岡 崇		男		3:18:43	0:33:33	126	1:28:37	188			1:03:09	122	50-54M	34
151	303	古川 信広		男		3:19:42	0:37:26	177	1:23:21	143			1:08:05	165	45-49M	24
152	210	⽥中 嶺吾		男		3:19:54	0:42:33	222	1:28:19	185			0:57:52	83	25-29M	14
153	450	岡崎 卓次		男		3:20:10	0:42:48	225	1:27:31	179			0:55:34	62	50-54M	35
154	256	⽊下 将詞		男		3:20:31	0:36:57	174	1:22:17	126			1:06:46	154	40-44M	16
155	454	鍋倉 貴⾏		男		3:20:32	0:33:41	132	1:28:09	184			1:07:21	158	50-54M	36
156	481	⿊⽊ 統		男		3:21:27	0:33:11	117	1:24:29	153			1:09:58	176	55-59M	16
157	270	⼩⼭ 武⼠		男		3:21:51	0:39:04	198	1:20:00	100			1:10:53	183	40-44M	17
158	438	井ノ上 陽⼀		男		3:21:59	0:38:03	186	1:21:02	113			1:13:01	194	50-54M	37
159	212	桑野 修		男		3:22:55	0:39:19	201	1:27:05	176			1:05:29	147	25-29M	15
160	417	上⽥ 祐司		男		3:23:07	0:39:08	199	1:24:14	147			1:05:46	151	50-54M	38
161	474	久野 聡		男		3:23:15	0:35:37	158	1:29:38	196			1:02:04	118	55-59M	17
162	428	坂井 史明		男		3:23:27	0:38:32	193	1:24:19	150			1:07:29	160	50-54M	39
163	486	福井 濃		男		3:23:39	0:33:27	122	1:22:53	134			1:16:09	203	55-59M	18
164	562	梶原 信雄		男		3:23:40	0:35:41	159	1:26:41	172			1:09:35	174	70-74M	2
165	555	⽊原 郁夫		男		3:23:44	0:42:39	223	1:28:33	186			1:00:31	107	65-69M	8
166	447	星野 正晶		男		3:23:45	0:31:55	95	1:31:33	209			1:03:29	126	50-54M	40
167	262	寺⽥ 翔吾		男		3:24:06	0:34:02	136	1:23:40	144			1:16:57	207	40-44M	18
168	534	芥⽥ ⿓⼀		男		3:24:09	0:40:45	215	1:33:54	221			0:59:05	99	60-64M	22
169	439	⽳井 隆⼆		男		3:24:32	0:37:39	182	1:25:33	166			1:04:51	137	50-54M	41
170	452	平川 修		男		3:25:11	0:33:38	127	1:22:37	132			1:17:46	213	50-54M	42
171	426	⼭本 純也		男		3:25:55	0:30:13	61	1:21:07	115			1:24:14	232	50-54M	43
172	489	蔵元 博⽂		男		3:26:00	0:42:53	226	1:31:59	212			0:59:14	101	55-59M	19
173	218	島野 耕平		男		3:26:08	0:50:05	244	1:24:34	154			0:57:25	80	25-29M	16
174	206	中嶋 ⼤樹		男		3:26:30	0:39:21	202	1:21:49	121			1:17:09	210	20-24M	6
175	529	椋⽊ アレン		男		3:26:44	0:38:31	192	1:20:10	102			1:15:04	199	60-64M	23
176	325	菅野 正⼀		男		3:26:53	0:34:35	144	1:25:11	160			1:16:13	204	45-49M	25
177	305	伊藤 智博		男		3:27:04	0:39:59	208	1:27:34	180			1:04:06	133	45-49M	26
178	460	村場 祐樹		男		3:27:33	0:30:11	60	1:24:34	155			1:25:37	235	55-59M	20
179	463	三浦 太志		男		3:27:36	0:41:12	218	1:29:49	197			1:05:03	140	55-59M	21
180	244	澤⼭ 涼太		男		3:27:45	0:45:36	239	1:33:19	218			0:56:06	70	35-39M	9
181	316	⽊本 裕介		男		3:28:00	0:38:06	188	1:29:34	194			1:10:05	177	45-49M	27
182	271	⽯川 知佳		男		3:28:02	0:38:02	185	1:31:16	206			1:08:00	162	40-44M	19
183	238	池⽥ 篤史		男		3:29:32	0:41:49	220	1:28:44	189			1:07:48	161	30-34M	9
184	517	池⽥ 達彦		男		3:29:42	0:44:13	234	1:36:33	232			0:58:06	89	60-64M	24
185	247	⼭⼝ 寛之		男		3:30:00	0:40:11	210	1:31:49	211			1:03:51	132	35-39M	10
186	478	鶴薗 成博		男		3:30:57	0:36:05	161	1:19:51	96			1:20:46	220	55-59M	22
187	490	⻄出 裕輔		男		3:31:33	0:38:29	191	1:21:57	122			1:21:59	225	55-59M	23
188	559	⼭⼝ 満		男		3:31:37	0:31:01	75	1:38:49	238			1:09:30	173	70-74M	3
189	539	橋本 雅治		男		3:32:02	0:42:07	221	1:22:53	135			1:14:26	198	60-64M	25
190	553	⼤島 昇		男		3:32:17	0:38:20	189	1:31:40	210			1:08:57	170	65-69M	9
191	459	川原 陽⼀郎		男		3:32:18	0:30:33	71	1:31:12	205			1:21:15	223	55-59M	24
192	535	江崎 浩史		男		3:32:35	0:37:39	181	1:33:51	220			1:09:41	175	60-64M	26
193	545	後藤 淳⼀		男		3:32:37	0:35:29	157	1:29:11	192			1:17:04	208	65-69M	10
194	457	⿊⽊ 靖之		男		3:32:45	0:33:39	130	1:25:38	168			1:22:10	228	50-54M	44
195	254	岩⽥ 貴裕		男		3:33:34	0:42:42	224	1:30:11	199			1:01:35	114	40-44M	20
196	231	中⼭ 嵩⼠		男		3:33:49	0:35:00	150	1:28:37	187			1:18:44	217	30-34M	10
197	302	関 聡		男		3:35:26	0:27:48	35	1:31:19	207			1:26:07	237	45-49M	28
198	276	松⽥ 浩太郎		男		3:35:35	0:43:44	231	1:30:31	201			1:07:21	157	40-44M	21
199	546	伊藤 正明		男		3:35:45	0:33:07	115	1:25:15	162			1:26:54	241	65-69M	11
200	237	早⾺ 健弘		男		3:35:54	0:32:01	96	1:39:45	241			1:12:30	193	30-34M	11
201	421	佐東 朋記		男		3:36:29	0:32:09	99	1:35:45	228			1:07:25	159	50-54M	45
202	480	神原 良太		男		3:36:45	0:43:41	230	1:25:47	170			1:13:30	196	55-59M	25
203	240	野添 拓請		男		3:37:21	0:38:03	187	1:33:47	219			1:12:00	190	35-39M	11
204	557	村⼭ ⼀栄		男		3:37:25	0:35:02	151	1:29:35	195			1:22:02	226	70-74M	4
205	415	難波江 武彦		男		3:37:39	0:35:25	156	1:25:35	167			1:20:50	221	50-54M	46
206	560	⼭本 喜義		男		3:38:06	0:27:42	32	1:34:20	224			1:24:43	233	70-74M	5
207	279	⼤塚 公栄		男		3:38:08	0:39:48	205	1:30:35	202			1:15:41	202	40-44M	22
208	258	室園 悟志		男		3:38:22	0:40:04	209	1:33:04	215			1:11:40	189	40-44M	23
209	418	中島 崇樹		男		3:38:44	0:40:32	214	1:24:54	157			1:22:06	227	50-54M	47
210	462	⼭本 道伸		男		3:39:09	0:39:54	206	1:30:22	200			1:15:19	201	55-59M	26
211	564	岡崎 哲⼆		男		3:39:30	0:35:14	154	1:30:37	203			1:19:43	219	75-79M	1
212	317	鯛島 康雄		男		3:40:04	0:35:06	152	1:35:05	225			1:17:31	212	45-49M	29
213	401	岡崎 進⼀		男		3:40:13	0:40:53	217	1:33:07	216			1:13:33	197	50-54M	48
214	556	橋本 信義		男		3:41:12	0:34:03	137	1:34:15	223			1:21:48	224	65-69M	12
215	456	⼟屋 俊英		男		3:41:30	0:45:04	238	1:30:40	204			1:10:15	178	50-54M	49
216	311	⽜⽥ 光⼀		男		3:42:57	0:36:44	171	1:32:55	214			1:21:07	222	45-49M	30
217	285	三枝 邦廣		男		3:44:12	0:43:39	229	1:39:07	239			1:05:38	150	40-44M	24
218	322	廣⽥ 尚弘		男		3:44:38	0:45:39	240	1:38:14	237			1:07:15	155	45-49M	31
219	314	原⼝ ⼀美		男		3:47:04	0:43:34	228	1:34:00	222			1:15:15	200	45-49M	32
220	249	中⾕ 太祐		男		3:47:33	0:39:13	200	1:31:25	208			1:25:26	234	35-39M	12
221	268	押川 博		男		3:47:37	0:38:25	190	1:37:26	235			1:18:12	215	40-44M	25
222	482	吉村 宗典		男		3:48:30	0:33:12	119	1:35:54	229			1:26:25	238	55-59M	27
223	441	廣瀬 裕⼀		男		3:48:36	0:40:20	211	1:26:18	171			1:26:51	240	50-54M	50
224	290	児⽟ 健		男		3:48:47	0:49:34	243	1:33:10	217			1:11:40	188	45-49M	33
225	422	兒⽟ 剛		男		3:50:45	0:43:50	233	1:35:42	227			1:10:32	181	50-54M	51
226	223	廣渡 裕介		男		3:52:06	0:39:36	204	1:39:34	240			1:17:13	211	25-29M	17
227	514	仲⾕ 善⽂		男		3:53:05	0:46:41	242	1:37:24	234			1:18:27	216	60-64M	27
228	561	諌⼭ 康成		男		3:53:25	0:38:40	196	1:41:29	242			1:18:50	218	70-74M	6
229	257	酒井 淳司		男		3:57:17	0:37:40	183	1:36:48	233			1:26:35	239	40-44M	26
230	488	岩崎 弘教		男		4:01:32	0:44:24	235	1:44:44	245			1:13:29	195	55-59M	28
231	281	古川 徳厚		男		4:02:42	0:54:19	246	1:32:32	213			1:22:13	229	40-44M	27
232	278	深⽥ 和志		男		4:05:14	0:40:46	216	1:50:24	248			1:23:40	231	40-44M	28
233	475	狩集 ⼀彦		男		4:05:32	0:36:40	170	1:36:29	231			1:35:32	243	55-59M	29
234	565	尾垣 有三		男		4:10:17	0:43:27	227	1:44:56	246			1:23:32	230	75-79M	2
235	508	實⼭ 安英		男		4:17:46	0:51:52	245	1:47:54	247			1:25:45	236	60-64M	28
236	509	⻑⽥ 浩伸		男		4:19:56	0:45:48	241	1:43:08	243			1:37:15	244	60-64M	29
1	605	橋 英		女		2:33:52	0:26:28	3	1:17:46	2			0:44:33	2	25-29W	1
2	614	坂本 純⼦		女		2:41:53	0:31:10	9	1:20:06	4			0:43:20	1	40-44W	1
3	619	森 奈津代		女		2:42:46	0:26:37	4	1:20:10	5			0:50:13	4	45-49W	1
4	602	柳川 花緒		女		2:52:24	0:25:08	1	1:21:40	7			0:59:38	10	20-24W	1
5	611	能勢 真梨奈		女		2:57:00	0:39:51	21	1:17:01	1			0:49:33	3	35-39W	1
6	606	平⼭ 基⼦		女		3:01:07	0:32:17	13	1:21:38	6			0:59:58	11	25-29W	2
7	621	津江 友紀		女		3:04:45	0:27:34	6	1:28:35	12			0:58:53	8	50-54W	1
8	628	⼀村 多美代		女		3:05:41	0:33:52	15	1:25:19	10			0:57:25	7	60-64W	1
9	608	⼭⼝ 愛莉		女		3:07:08	0:41:11	23	1:19:32	3			0:56:21	5	30-34W	1
10	623	汐⾒ 千佳		女		3:08:29	0:31:08	8	1:22:18	8			1:03:01	15	50-54W	2
11	625	本⽥ ⼸⼦		女		3:11:24	0:33:13	14	1:23:12	9			1:04:30	16	55-59W	1
12	627	恵良 奈緒美		女		3:12:23	0:32:05	11	1:29:51	14			1:01:25	12	60-64W	2
13	617	⽶⽥ はる		女		3:12:53	0:34:45	17	1:30:42	16			0:59:03	9	45-49W	2
14	624	⽥島 直美		女		3:17:51	0:32:01	10	1:36:27	24			0:56:22	6	50-54W	3
15	604	村場 奈々未		女		3:18:26	0:29:22	7	1:32:00	19			1:07:28	19	25-29W	3
16	618	⽩川 もえぎ		女		3:19:03	0:34:54	18	1:27:10	11			1:02:20	13	45-49W	3
17	622	中井 順⼦		女		3:21:07	0:26:42	5	1:35:01	22			1:10:59	23	50-54W	4
18	601	村場 由⾹		女		3:23:37	0:32:07	12	1:34:22	21			1:08:46	21	18-19W	1
19	615	⽊本 幸		女		3:28:00	0:41:55	26	1:30:38	15			1:02:20	14	40-44W	2
20	630	⽴蔵 順⼦		女		3:30:04	0:41:27	24	1:29:09	13			1:07:11	17	70-74W	1
21	609	本間 佐耶⼦		女		3:33:17	0:37:01	20	1:31:16	17			1:13:30	25	30-34W	2
22	612	岡⽥ 夏奈		女		3:36:02	0:35:16	19	1:36:37	26			1:08:20	20	35-39W	2
23	626	堀⼝ 紫		女		3:36:09	0:34:20	16	1:36:19	23			1:13:26	24	60-64W	3
24	613	宮井 亜紗⼦		女		3:39:40	0:43:57	27	1:36:27	25			1:07:12	18	40-44W	3
