順位	No.	氏名	年齢	性別	総合記録	ｽｲﾑﾗｯﾌﾟ	S順	T1(ﾐﾆﾗﾝ)	ﾊﾞｲｸﾗｯﾌﾟ	B順	ｽﾌﾟﾘｯﾄ	通過	ﾗﾝﾗｯﾌﾟ	R順	男子順位	女子順位	年齢区分	区分別順
39	110	渡邉 夏菜子	35	女	2:46:00	0:21:49	14	0:03:34	1:29:54	101	1:55:17	48	0:50:43	33		2	30代女子	
40	341	水田 賢秀	37	男	2:46:44	0:27:56	79	0:04:47	1:25:23	58	1:58:06	58	0:48:38	22	38		30代男子	12
41	465	鬼頭 竜一	46	男	2:46:50	0:27:18	67	0:03:47	1:22:26	43	1:53:31	40	0:53:19	49	39		40代男子	12
42	352	窪内 進	39	男	2:47:15	0:33:04	183	0:04:05	1:21:32	39	1:58:41	62	0:48:34	21	40		30代男子	13
43	543	森山 哲史	56	男	2:47:22	0:28:58	105	0:03:58	1:21:41	41	1:54:37	44	0:52:45	45	41		50代男子	10
44	337	重松 雄二	37	男	2:47:46	0:27:32	71	0:03:27	1:20:53	36	1:51:52	35	0:55:54	69	42		30代男子	14
45	515	浅野 文浩	51	男	2:48:10	0:27:04	65	0:04:30	1:26:02	63	1:57:36	56	0:50:34	31	43		50代男子	11
46	403	久保 智嗣	40	男	2:48:41	0:27:55	78	0:03:51	1:24:42	53	1:56:28	51	0:52:13	39	44		40代男子	13
47	308	野田 昇吾	32	男	2:48:49	0:21:32	13	0:04:00	1:27:30	77	1:53:02	38	0:55:47	68	45		30代男子	15
48	418	若松 勉	42	男	2:49:13	0:31:21	146	0:03:47	1:18:24	27	1:53:32	41	0:55:41	67	46		40代男子	14
49	207	大塚 学	25	男	2:50:05	0:30:53	133	0:04:35	1:21:06	37	1:56:34	52	0:53:31	51	47		29歳以下男子	4
50	456	上之薗 崇	45	男	2:50:43	0:27:01	64	0:05:02	1:26:09	64	1:58:12	60	0:52:31	43	48		40代男子	15
51	303	城築 賢一	30	男	2:50:58	0:27:49	76	0:02:52	1:25:17	57	1:55:58	49	0:55:00	62	49		30代男子	16
52	486	クームズ エバン	47	男	2:51:12	0:23:40	26	0:03:37	1:20:25	34	1:47:42	29	1:03:30	132	50		40代男子	16
53	310	吉川 匡希	33	男	2:51:44	0:27:29	70	0:03:38	1:23:36	47	1:54:43	45	0:57:01	81	51		30代男子	17
54	502	長井 弘幸	50	男	2:51:56	0:33:06	184	0:04:03	1:24:45	54	2:01:54	84	0:50:02	29	52		50代男子	12
55	202	藤原 賢太	23	男	2:52:14	0:31:23	147	0:04:27	1:20:45	35	1:56:35	53	0:55:39	66	53		29歳以下男子	5
56	605	宮武 春吉	60	男	2:52:41	0:26:37	56	0:03:56	1:27:40	78	1:58:13	61	0:54:28	59	54		60歳以上男子	1
57	437	井関 智喜	44	男	2:52:41	0:35:08	214	0:03:30	1:28:41	93	2:07:19	118	0:45:22	8	55		40代男子	17
58	445	清水 詠	44	男	2:52:43	0:31:42	153	0:03:56	1:27:41	79	2:03:19	94	0:49:24	27	56		40代男子	18
59	301	徳永 翼	30	男	2:53:45	0:21:21	10	0:04:17	1:28:28	89	1:54:06	43	0:59:39	102	57		30代男子	18
60	531	東 達也	54	男	2:54:21	0:28:33	96	0:04:24	1:28:27	88	2:01:24	81	0:52:57	47	58		50代男子	13
61	334	河野 宗平	37	男	2:54:25	0:28:17	87	0:03:48	1:28:34	91	2:00:39	72	0:53:46	52	59		30代男子	19
62	402	門田 章	40	男	2:54:48	0:32:06	162	0:05:40	1:22:55	45	2:00:41	73	0:54:07	56	60		40代男子	19
63	476	景山 正昭	47	男	2:54:56	0:27:27	69	0:04:52	1:28:26	87	2:00:45	75	0:54:11	57	61		40代男子	20
64	468	堀池 豊一	46	男	2:55:29	0:30:58	134	0:05:29	1:18:18	26	1:54:45	46	1:00:44	108	62		40代男子	21
65	460	太田原 慎也	46	男	2:55:36	0:26:34	55	0:05:40	1:32:03	118	2:04:17	100	0:51:19	37	63		40代男子	22
66	342	木村 保之	37	男	2:55:42	0:26:54	61	0:03:11	1:26:45	69	1:56:50	54	0:58:52	95	64		30代男子	20
67	505	瀧口 直隆	50	男	2:55:51	0:26:27	51	0:04:23	1:32:44	124	2:03:34	98	0:52:17	41	65		50代男子	14
68	331	佐々木 和則	36	男	2:56:02	0:28:57	104	0:04:58	1:25:24	59	1:59:19	67	0:56:43	77	66		30代男子	21
69	354	藤野 昭徳	39	男	2:56:23	0:28:30	93	0:03:56	1:26:31	67	1:58:57	63	0:57:26	86	67		30代男子	22
70	205	藤井 秀利	24	男	2:56:37	0:27:59	82	0:04:19	1:27:11	71	1:59:29	68	0:57:08	83	68		29歳以下男子	6
71	481	太田 敏成	47	男	2:56:39	0:26:25	50	0:03:18	1:24:14	50	1:53:57	42	1:02:42	128	69		40代男子	23
72	458	福岡 智広	46	男	2:56:42	0:32:28	173	0:05:04	1:24:00	49	2:01:32	83	0:55:10	63	70		40代男子	24
73	601	本田 慎哉	60	男	2:56:50	0:32:25	170	0:04:10	1:24:52	55	2:01:27	82	0:55:23	65	71		60歳以上男子	2
74	440	窪田 三思	44	男	2:56:52	0:29:14	108	0:03:31	1:24:31	52	1:57:16	55	0:59:36	101	72		40代男子	25
75	320	中塚 友一郎	34	男	2:57:14	0:25:57	46	0:03:57	1:33:22	133	2:03:16	93	0:53:58	54	73		30代男子	23
76	129	山中 ひとみ	52	女	2:57:26	0:28:27	92	0:03:53	1:27:16	74	1:59:36	69	0:57:50	88		3	50歳以上女子	
77	488	河原 成紀	48	男	2:58:03	0:32:22	168	0:04:21	1:24:20	51	2:01:03	78	0:57:00	80	74		40代男子	26
78	442	二宮 崇	44	男	2:58:22	0:29:44	114	0:04:26	1:27:14	72	2:01:24	80	0:56:58	79	75		40代男子	27
79	484	出崎 誠二	47	男	2:58:45	0:30:27	121	0:05:09	1:27:55	80	2:03:31	97	0:55:14	64	76		40代男子	28
80	552	高須賀 英樹	58	男	2:59:40	0:28:31	95	0:04:36	1:21:39	40	1:54:46	47	1:04:54	144	77		50代男子	15
81	419	菊池 繁人	42	男	2:59:46	0:33:01	182	0:04:01	1:26:19	65	2:03:21	95	0:56:25	75	78		40代男子	29
82	541	井上 晴久	56	男	3:00:05	0:31:05	139	0:05:38	1:29:20	98	2:06:03	109	0:54:02	55	79		50代男子	16
83	406	池田 靖夫	40	男	3:00:21	0:30:47	126	0:03:58	1:28:24	86	2:03:09	92	0:57:12	84	80		40代男子	30
84	104	大西 菜摘	23	女	3:00:53	0:22:04	17	0:03:34	1:36:50	156	2:02:28	87	0:58:25	93		4	29歳以下女子	1
85	490	川里 幸治	48	男	3:01:09	0:27:14	66	0:04:34	1:28:54	96	2:00:42	74	1:00:27	105	81		40代男子	31
86	412	中芝 康仁	42	男	3:01:27	0:20:50	5	0:03:35	1:34:38	146	1:59:03	66	1:02:24	123	82		40代男子	32
87	411	呉 英煥	41	男	3:01:43	0:33:21	191	0:03:44	1:34:04	140	2:11:09	143	0:50:34	32	83		40代男子	33
88	533	伊藤 龍一	54	男	3:01:54	0:31:50	159	0:05:53	1:27:56	81	2:05:39	106	0:56:15	72	84		50代男子	17
89	326	布廣 航一	35	男	3:02:06	0:35:17	217	0:03:55	1:26:38	68	2:05:50	108	0:56:16	74	85		30代男子	24
90	604	荒井 真介	60	男	3:02:11	0:27:59	81	0:04:38	1:28:12	83	2:00:49	76	1:01:22	110	86		60歳以上男子	3
91	312	福西 昌明	33	男	3:02:15	0:28:09	84	0:08:13	1:31:33	113	2:07:55	121	0:54:20	58	87		30代男子	25
92	620	平岡 明則	69	男	3:02:19	0:24:48	37	0:05:21	1:28:51	95	1:59:00	64	1:03:19	130	88		60歳以上男子	4
93	206	渡部 湧貴	25	男	3:03:35	0:29:21	111	0:05:57	1:34:21	142	2:09:39	133	0:53:56	53	89		29歳以下男子	7
94	493	門田 太	48	男	3:03:40	0:32:54	180	0:04:19	1:33:52	139	2:11:05	142	0:52:35	44	90		40代男子	34
95	401	青野 純也	40	男	3:03:52	0:26:27	52	0:04:09	1:33:49	136	2:04:25	101	0:59:27	97	91		40代男子	35
96	349	善家 智史	38	男	3:04:11	0:27:33	72	0:05:48	1:25:40	62	1:59:01	65	1:05:10	147	92		30代男子	26
97	329	上田 祐介	36	男	3:04:49	0:25:51	44	0:03:24	1:28:48	94	1:58:03	57	1:06:46	161	93		30代男子	27
98	518	桐野 忠郎	51	男	3:04:58	0:27:50	77	0:05:00	1:30:04	103	2:02:54	90	1:02:04	119	94		50代男子	18
99	469	藤岡 大輔	46	男	3:05:07	0:30:16	118	0:05:13	1:31:13	111	2:06:42	114	0:58:25	92	95		40代男子	36
100	208	永田 彪	25	男	3:05:27	0:31:35	150	0:06:30	1:36:56	158	2:15:01	164	0:50:26	30	96		29歳以下男子	8
101	211	田中 智也	28	男	3:05:58	0:30:48	127	0:03:51	1:31:43	115	2:06:22	111	0:59:36	100	97		29歳以下男子	9
102	463	森田 剣志	46	男	3:06:23	0:30:25	120	0:04:27	1:33:33	135	2:08:25	124	0:57:58	91	98		40代男子	37
103	504	佐々木 義人	50	男	3:06:37	0:33:34	193	0:05:20	1:23:51	48	2:02:45	89	1:03:52	138	99		50代男子	19
104	116	山本 志織	40	女	3:06:51	0:26:14	47	0:03:50	1:36:16	154	2:06:20	110	1:00:31	106		5	40代女子	1
105	121	関 雅子	46	女	3:06:51	0:28:31	94	0:04:20	1:30:34	105	2:03:25	96	1:03:26	131		6	40代女子	2
106	528	矢野 明	54	男	3:06:58	0:29:18	110	0:05:35	1:25:36	61	2:00:29	71	1:06:29	157	100		50代男子	20
107	120	徳満 加奈子	45	女	3:07:15	0:25:48	43	0:04:17	1:29:57	102	2:00:02	70	1:07:13	165		7	40代女子	3
108	612	原 正弘	62	男	3:07:19	0:28:57	103	0:04:40	1:31:46	117	2:05:23	104	1:01:56	115	101		60歳以上男子	5
109	314	上尾 保惣	33	男	3:08:14	0:31:45	155	0:05:47	1:28:17	84	2:05:49	107	1:02:25	124	102		30代男子	28
110	210	藤本 大地	27	男	3:08:21	0:26:30	54	0:04:18	1:32:18	121	2:03:06	91	1:05:15	148	103		29歳以下男子	10
111	413	秋田 徳大	42	男	3:09:15	0:32:30	174	0:04:44	1:34:59	149	2:12:13	148	0:57:02	82	104		40代男子	38
112	409	川中 裕二	41	男	3:09:35	0:34:48	212	0:04:15	1:28:34	90	2:07:37	119	1:01:58	116	105		40代男子	39
113	322	上野 晋平	35	男	3:09:43	0:31:07	140	0:04:46	1:28:41	92	2:04:34	102	1:05:09	146	106		30代男子	29
114	622	林 末弘	71	男	3:09:48	0:25:26	40	0:03:58	1:34:36	145	2:04:00	99	1:05:48	153	107		60歳以上男子	6
115	315	村口 一	33	男	3:09:53	0:35:26	218	0:04:12	1:32:58	126	2:12:36	150	0:57:17	85	108		30代男子	30
116	404	福住 博之	40	男	3:09:55	0:30:52	131	0:04:22	1:26:57	70	2:02:11	85	1:07:44	168	109		40代男子	40
117	304	客野 翔太	31	男	3:10:23	0:28:54	102	0:05:21	1:35:28	151	2:09:43	134	1:00:40	107	110		30代男子	31
118	473	土居 俊文	47	男	3:10:30	0:30:05	116	0:04:06	1:33:50	138	2:08:01	122	1:02:29	125	111		40代男子	41
119	530	宇賀 孝司	54	男	3:10:31	0:29:05	106	0:05:25	1:34:36	144	2:09:06	127	1:01:25	112	112		50代男子	21
120	464	吉野 到	46	男	3:10:48	0:39:34	244	0:06:42	1:28:00	82	2:14:16	158	0:56:32	76	113		40代男子	42
121	332	佐伯 和将	36	男	3:11:01	0:34:25	208	0:07:22	1:39:44	180	2:21:31	201	0:49:30	28	114		30代男子	32
122	548	井上 よしのり	57	男	3:11:08	0:28:35	97	0:07:33	1:31:08	110	2:07:16	117	1:03:52	137	115		50代男子	22
123	103	松本 亜矢	21	女	3:11:29	0:31:28	149	0:04:14	1:29:45	99	2:05:27	105	1:06:02	154		8	29歳以下女子	2
124	483	永井 明	47	男	3:11:33	0:31:44	154	0:05:47	1:31:44	116	2:09:15	130	1:02:18	122	116		40代男子	43
125	302	篠崎 剛	30	男	3:11:51	0:24:12	32	0:05:04	1:37:20	161	2:06:36	113	1:05:15	149	117		30代男子	33
126	323	小泉 貴史	35	男	3:12:03	0:23:14	23	0:04:59	1:33:05	128	2:01:18	79	1:10:45	181	118		30代男子	34
127	474	大前 秀行	47	男	3:12:06	0:30:49	128	0:04:54	1:33:29	134	2:09:12	129	1:02:54	129	119		40代男子	44
128	112	大島 智子	36	女	3:12:24	0:28:25	91	0:03:59	1:40:26	188	2:12:50	152	0:59:34	99		9	30代女子	1
129	119	岡村 ルミ	44	女	3:13:07	0:24:22	35	0:03:54	1:42:16	203	2:10:32	140	1:02:35	127		10	40代女子	4
130	311	廣田 真也	33	男	3:13:10	0:29:36	113	0:04:53	1:33:10	129	2:07:39	120	1:05:31	150	120		30代男子	35
131	609	村上 義人	62	男	3:13:20	0:31:04	136	0:05:07	1:30:34	106	2:06:45	115	1:06:35	159	121		60歳以上男子	7
132	521	水木 昭二	52	男	3:13:37	0:27:48	75	0:04:28	1:37:35	164	2:09:51	135	1:03:46	134	122		50代男子	23
133	538	近藤 由美雄	55	男	3:13:42	0:31:05	137	0:04:59	1:33:50	137	2:09:54	137	1:03:48	135	123		50代男子	24
134	526	石橋 誠	52	男	3:13:50	0:29:30	112	0:06:05	1:39:14	174	2:14:49	162	0:59:01	96	124		50代男子	25
135	133	大野 露美	54	女	3:13:55	0:33:46	196	0:05:45	1:34:20	141	2:13:51	154	1:00:04	104		11	50歳以上女子	1
136	101	桐野 華	20	女	3:14:07	0:32:40	178	0:05:03	1:31:28	112	2:09:11	128	1:04:56	145		12	29歳以下女子	3
137	499	森 久展	48	男	3:14:26	0:31:07	141	0:06:06	1:42:38	205	2:19:51	188	0:54:35	60	125		40代男子	45
138	477	佐々木 孝	47	男	3:14:36	0:32:04	161	0:04:21	1:32:08	120	2:08:33	125	1:06:03	155	126		40代男子	46
139	410	平野 徳之	41	男	3:15:02	0:36:34	234	0:05:38	1:30:35	107	2:12:47	151	1:02:15	121	127		40代男子	47
140	128	松田 香	52	女	3:15:07	0:27:33	73	0:04:10	1:40:52	193	2:12:35	149	1:02:32	126		13	50歳以上女子	2
141	348	田村 吉朗	38	男	3:15:54	0:28:17	88	0:04:06	1:29:52	100	2:02:15	86	1:13:39	201	128		30代男子	36
142	508	目見田 秀和	51	男	3:16:10	0:34:53	213	0:06:21	1:29:15	97	2:10:29	139	1:05:41	151	129		50代男子	26
143	321	竹内 洋平	35	男	3:16:10	0:32:07	163	0:06:08	1:26:24	66	2:04:39	103	1:11:31	185	130		30代男子	37
144	487	徳永 直人	48	男	3:16:18	0:32:24	169	0:04:53	1:34:36	143	2:11:53	144	1:04:25	140	131		40代男子	48
145	480	豊田 篤志	47	男	3:16:55	0:33:14	188	0:05:10	1:37:32	163	2:15:56	170	1:00:59	109	132		40代男子	49
146	614	由本 新	64	男	3:16:55	0:30:43	123	0:04:39	1:40:06	186	2:15:28	167	1:01:27	113	133		60歳以上男子	8
147	106	曽我 奈那美	30	女	3:17:15	0:34:02	199	0:04:32	1:40:49	192	2:19:23	184	0:57:52	89		14	30代女子	2
148	608	雁木 淳一	61	男	3:18:14	0:25:52	45	0:05:22	1:36:53	157	2:08:07	123	1:10:07	176	134		60歳以上男子	9
149	544	中村 嘉夫	57	男	3:18:24	0:32:36	177	0:04:53	1:39:32	179	2:17:01	177	1:01:23	111	135		50代男子	27
150	551	藤井 秀治	58	男	3:18:41	0:32:22	167	0:03:56	1:32:23	123	2:08:41	126	1:10:00	174	136		50代男子	28
151	452	森安 諭史	45	男	3:18:57	0:33:17	190	0:04:54	1:36:02	153	2:14:13	157	1:04:44	143	137		40代男子	50
152	496	横山 幸広	48	男	3:18:59	0:33:12	187	0:06:48	1:36:59	160	2:16:59	176	1:02:00	118	138		40代男子	51
153	513	今井 広二	51	男	3:19:42	0:41:18	247	0:06:36	1:33:18	131	2:21:12	200	0:58:30	94	139		50代男子	29
154	479	弓山 直樹	47	男	3:19:54	0:30:20	119	0:04:56	1:27:16	73	2:02:32	88	1:17:22	213	140		40代男子	52
155	501	佐川 大輔	50	男	3:19:58	0:33:12	186	0:05:10	1:37:48	165	2:16:10	172	1:03:48	136	141		50代男子	30
156	503	堤 滝一	50	男	3:20:03	0:35:58	224	0:05:42	1:40:27	189	2:22:07	205	0:57:56	90	142		50代男子	31
157	438	葛原 一彦	44	男	3:20:07	0:33:30	192	0:05:38	1:37:29	162	2:16:37	173	1:03:30	133	143		40代男子	53
158	466	大野 宏明	46	男	3:20:31	0:38:00	239	0:05:04	1:35:28	152	2:18:32	182	1:01:59	117	144		40代男子	54
159	542	箭代 伸幸	56	男	3:20:48	0:28:39	98	0:04:51	1:27:28	76	2:00:58	77	1:19:50	223	145		50代男子	32
160	414	阪本 雄一	42	男	3:21:45	0:47:37	253	0:06:22	1:28:18	85	2:22:17	206	0:59:28	98	146		40代男子	55
161	527	藤井 徹哉	53	男	3:22:09	0:33:35	194	0:05:26	1:35:26	150	2:14:27	161	1:07:42	167	147		50代男子	33
162	472	鎌田 卓也	47	男	3:22:18	0:34:24	207	0:04:39	1:32:58	127	2:12:01	145	1:10:17	177	148		40代男子	56
163	525	米屋 富夫	52	男	3:22:28	0:36:13	227	0:05:15	1:39:29	177	2:20:57	198	1:01:31	114	149		50代男子	34
164	454	曽我 淳一	45	男	3:22:29	0:32:12	164	0:06:08	1:44:17	212	2:22:37	208	0:59:52	103	150		40代男子	57
165	611	鎌田 義人	62	男	3:22:34	0:28:24	90	0:06:16	1:41:21	200	2:16:01	171	1:06:33	158	151		60歳以上男子	10
166	344	茅原 一斗	37	男	3:23:01	0:34:20	206	0:04:06	1:30:58	108	2:09:24	132	1:13:37	200	152		30代男子	38
167	545	門田 省二	57	男	3:23:13	0:35:50	223	0:05:16	1:33:20	132	2:14:26	160	1:08:47	169	153		50代男子	35
168	333	中村 章宏	36	男	3:23:16	0:33:11	185	0:06:44	1:30:27	104	2:10:22	138	1:12:54	196	154		30代男子	39
169	535	林 達也	55	男	3:23:25	0:28:12	85	0:05:02	1:33:16	130	2:06:30	112	1:16:55	212	155		50代男子	36
170	446	田中 幸太郎	45	男	3:24:02	0:32:27	172	0:05:53	1:31:03	109	2:09:23	131	1:14:39	205	156		40代男子	58
171	109	山﨑 真衣	35	女	3:24:11	0:30:46	124	0:05:15	1:34:50	147	2:10:51	141	1:13:20	198		15	30代女子	3
172	430	木口 信之	43	男	3:24:25	0:32:13	165	0:05:14	1:36:37	155	2:14:04	155	1:10:21	178	157		40代男子	59
173	514	坂本 博法	51	男	3:25:23	0:35:27	219	0:04:42	1:40:37	190	2:20:46	195	1:04:37	141	158		50代男子	37
174	441	日野 聡	44	男	3:25:43	0:36:42	236	0:05:59	1:38:55	173	2:21:36	203	1:04:07	139	159		40代男子	60
175	511	本田 秀明	51	男	3:26:13	0:31:48	157	0:04:45	1:38:20	168	2:14:53	163	1:11:20	184	160		50代男子	38
176	453	高須賀 淳	45	男	3:26:24	0:28:13	86	0:03:57	1:42:15	202	2:14:25	159	1:11:59	190	161		40代男子	61
177	47	吉田 薫	49	男	3:26:35	0:36:33	233	0:04:18	1:40:00	182	2:20:51	197	1:05:44	152	162		40代男子	62
178	494	篠﨑 博志	48	男	3:26:41	0:34:20	205	0:07:45	1:38:00	166	2:20:05	191	1:06:36	160	163		40代男子	63
179	327	岡本 匡史	35	男	3:27:06	0:36:27	231	0:04:55	1:39:17	175	2:20:39	194	1:06:27	156	164		30代男子	40
180	467	石川 忠相	46	男	3:27:33	0:36:23	228	0:04:55	1:32:21	122	2:13:39	153	1:13:54	202	165		40代男子	64
181	549	森 康弘	58	男	3:27:46	0:31:48	158	0:04:19	1:39:24	176	2:15:31	168	1:12:15	193	166		50代男子	39
182	522	日野 猛仁	52	男	3:27:53	0:31:18	145	0:06:05	1:43:23	208	2:20:46	196	1:07:07	162	167		50代男子	40
183	105	中岡 しおり	28	女	3:27:56	0:21:19	9	0:04:14	1:41:14	198	2:06:47	116	1:21:09	230		16	29歳以下女子	4
184	470	鈴木 堅吾	47	男	3:27:59	0:31:41	152	0:06:14	1:40:25	187	2:18:20	181	1:09:39	172	168		40代男子	65
185	432	仙波 完太	43	男	3:28:30	0:34:39	211	0:06:11	1:36:58	159	2:17:48	179	1:10:42	180	169		40代男子	66
186	209	森田 優太	26	男	3:28:52	0:40:18	245	0:05:25	1:41:03	195	2:26:46	219	1:02:06	120	170		29歳以下男子	11
187	495	村上 淳	48	男	3:29:12	0:30:46	125	0:05:59	1:40:39	191	2:17:24	178	1:11:48	188	171		40代男子	67
188	111	鈴木 光恵	35	女	3:29:24	0:26:46	58	0:04:38	1:38:28	171	2:09:52	136	1:19:32	221		17	30代女子	4
189	618	谷崎 正明	66	男	3:30:18	0:33:17	189	0:06:10	1:39:44	181	2:19:11	183	1:11:07	182	172		60歳以上男子	11
190	539	宮田 勇	56	男	3:31:26	0:29:15	109	0:09:11	1:41:23	201	2:19:49	187	1:11:37	186	173		50代男子	41
191	436	篠山 英治	44	男	3:31:39	0:29:51	115	0:04:54	1:43:18	207	2:18:03	180	1:13:36	199	174		40代男子	68
192	108	野間 恵莉	33	女	3:31:44	0:30:08	117	0:06:00	1:50:58	231	2:27:06	222	1:04:38	142		18	30代女子	5
193	610	光田 孝則	62	男	3:32:28	0:36:01	225	0:05:54	1:38:00	167	2:19:55	190	1:12:33	194	175		60歳以上男子	12
194	451	大橋 孝太郎	45	男	3:32:52	0:38:28	241	0:04:55	1:31:38	114	2:15:01	165	1:17:51	216	176		40代男子	69
195	444	高橋 正典	44	男	3:32:55	0:32:34	176	0:04:45	1:34:53	148	2:12:12	147	1:20:43	229	177		40代男子	70
196	122	太田原 一枝	48	女	3:33:24	0:34:15	203	0:07:20	1:41:16	199	2:22:51	210	1:10:33	179		19	40代女子	5
197	405	篠崎 友寿	40	男	3:33:41	0:30:37	122	0:06:47	1:45:01	215	2:22:25	207	1:11:16	183	178		40代男子	71
198	339	熊坂 和郎	37	男	3:33:43	0:26:19	48	0:04:38	1:41:13	197	2:12:10	146	1:21:33	232	179		30代男子	41
