総合順位	No.	氏名	年齢	性別	総合記録
241	558	土居 俊文	43	男	2:43:34
242	410	藤田 直也	51	男	2:43:58
243	315	木村 慎吾	34	男	2:44:24
244	724	新谷 朋史	41	男	2:44:27
245	602	岩田 裕史	52	男	2:44:31
246	145	山下 真吾	36	男	2:44:32
247	343	秋山 勉	41	男	2:44:41
248	368	広川 学	45	男	2:44:54
249	167	三谷 正樹	41	男	2:44:54
250	346	喜田 浩平	41	男	2:45:06
251	904	TAKUMA OTA	36	男	2:45:16
252	393	大西 啓司	49	男	2:45:25
253	617	木村 献	56	男	2:45:26
254	578	山本 昌樹	48	男	2:45:27
255	557	烏谷 清隆	43	男	2:45:36
256	810	林 摩耶	30	女	2:45:38
257	364	藤岡 純	45	男	2:45:40
258	311	田中 雅章	34	男	2:45:54
259	139	六車 巧治	35	男	2:45:56
260	818	山野 聡子	36	女	2:45:59
261	759	高木 茂雄	72	男	2:46:00
262	355	新羽 達也	43	男	2:46:29
263	543	住瀬 秋彦	41	男	2:46:43
264	573	仮谷 道彦	46	男	2:46:49
265	413	内山 順造	52	男	2:46:50
266	324	藤原 弘樹	36	男	2:46:51
267	528	沖野 剛志	39	男	2:46:56
268	316	湯野 恵輔	34	男	2:46:57
269	561	片松 寛晶	44	男	2:47:10
270	322	藤野 昭徳	35	男	2:47:18
271	214	古丸 哲生	51	男	2:47:23
272	350	井ノ上 陽一	42	男	2:47:23
273	590	日下 郊介	50	男	2:47:24
274	828	成合 由起子	42	女	2:47:26
275	405	山下 祐司	51	男	2:47:36
276	302	池田 雄飛	22	男	2:47:41
277	622	大江 進	59	男	2:47:43
278	388	松本 修二	48	男	2:47:53
279	514	壷井 洋	34	男	2:47:55
280	595	近藤 由美雄	51	男	2:47:58
281	409	吉岡 朋昭	51	男	2:48:15
282	327	藤田 真平	36	男	2:48:21
283	847	岡林 純賀子	50	女	2:48:24
284	607	長尾 浩	54	男	2:48:29
285	839	野村 美恵	47	女	2:48:31
286	383	大西 敬人	47	男	2:48:39
287	417	辰巳 郁雄	54	男	2:48:42
288	513	太田 真矢	34	男	2:48:43
289	386	林 俊行	47	男	2:48:50
290	539	小野 宏人	40	男	2:48:57
291	812	濱田 三貴	32	女	2:49:00
292	746	藤本 恒夫	65	男	2:49:06
293	813	池田 悟子	32	女	2:49:11
294	176	藤井 國昌	42	男	2:49:15
295	537	須山 幸治	40	男	2:49:17
296	750	中山 徳雄	66	男	2:49:23
297	373	柳井 英之	46	男	2:49:25
298	572	河向 正樹	46	男	2:49:32
299	534	釜野 敬三	39	男	2:49:35
300	565	長村 直樹	45	男	2:49:35
301	522	新地 良洋	36	男	2:49:39
302	323	飯間 信崇	35	男	2:49:50
303	360	吉原 孝	44	男	2:49:53
304	851	田中 あけみ	53	女	2:49:57
305	811	池田 江利子	31	女	2:50:00
306	825	久保田 馨	39	女	2:50:11
307	723	水野 正博	41	男	2:50:13
308	511	森尾 晃吉	33	男	2:50:24
309	580	新原 基史	48	男	2:50:28
310	549	掛水 祥延	42	男	2:50:33
311	619	伴仲 義孝	57	男	2:50:40
312	727	児玉 忠浩	42	男	2:51:04
313	169	安田 朋広	41	男	2:51:27
314	546	宮内 明	41	男	2:51:35
315	623	今城 弘	59	男	2:51:45
316	332	中田 準	38	男	2:52:06
317	331	篠原 智明	38	男	2:52:12
318	758	神谷 進五	72	男	2:52:27
319	729	細谷 竜也	43	男	2:52:33
320	733	臼杵 和弘	61	男	2:52:36
321	843	浜田 典子	48	女	2:52:46
322	553	百田 淳之介	42	男	2:53:07
323	838	岩間 由貴子	47	女	2:53:12
324	544	青木 稔	41	男	2:53:13
325	616	大島 昇	56	男	2:53:47
326	328	中山 幹大	36	男	2:53:50
327	844	竹内 雅子	48	女	2:54:00
328	526	柳生 豪英	38	男	2:54:21
329	835	川原 靖代	46	女	2:54:24
330	538	和田 裕二	40	男	2:54:37
331	131	山本 慎悟	31	男	2:54:50
332	854	林 優子	58	女	2:54:53
333	508	高科 雄	31	男	2:55:17
334	535	森川 真介	39	男	2:55:31
335	855	小澤 満子	61	女	2:56:00
336	618	峠 国士	57	男	2:56:02
337	391	福井 康彦	49	男	2:56:04
338	515	松井 大介	34	男	2:56:07
339	574	新田 壽美雄	47	男	2:56:16
340	416	前野 哲也	54	男	2:56:39
341	601	長谷部 善紀	52	男	2:56:46
342	834	桑野 加恵	45	女	2:57:03
343	524	井手 岳	37	男	2:57:19
344	190	吉田 友之	45	男	2:57:19
345	816	今屋 朝子	34	女	2:57:21
346	530	蓮井 邦洋	39	男	2:57:24
347	852	井上 範子	55	女	2:57:37
348	376	湯浅 哲志	46	男	2:57:44
349	817	樋口 知美	35	女	2:57:50
350	576	伊藤 喜久次	47	男	2:58:10
351	609	大浜 富夫	54	男	2:58:12
352	310	渡部 治郎	33	男	2:58:13
353	597	山根 勉	51	男	2:58:18
354	721	近石 一樹	40	男	2:58:25
355	612	片島 俊幸	55	男	2:58:39
356	756	小倉 忠博	71	男	2:58:51
357	569	氏家 智明	45	男	2:59:06
358	555	吉馴 健太郎	43	男	2:59:11
359	423	井本 英樹	57	男	2:59:35
360	342	中村 真	40	男	3:00:08
361	707	片山 直広	31	男	3:00:24
362	562	西村 健司	44	男	3:00:36
363	581	井川 立	48	男	3:00:38
364	372	佐々木 義人	46	男	3:00:45
365	715	道浦 啓吾	34	男	3:01:12
366	626	中田 耕次	60	男	3:01:28
367	516	瀧下 真司	35	男	3:02:04
368	378	谷本 真丈	46	男	3:02:46
369	826	湯浅 愛子	40	女	3:02:50
370	356	田中 範弘	43	男	3:03:25
371	374	宇野 誠司	46	男	3:03:30
372	821	中面 慶子	38	女	3:03:39
373	318	池田 啓	35	男	3:04:02
374	363	田中 伸樹	45	男	3:04:17
375	540	竹田 雅一	40	男	3:04:21
376	404	平井 丈太郎	50	男	3:04:22
377	736	永瀬 公男	63	男	3:04:32
378	340	鷲辺 隆宏	40	男	3:04:35
379	859	松田 喜美子	66	女	3:04:44
380	608	山木 直人	54	男	3:05:31
381	389	小松 久倫	48	男	3:05:33
382	592	鈴木 睦仁	51	男	3:06:10
383	625	孝岡 勲	59	男	3:06:51
384	510	真田 典明	33	男	3:07:08
385	1	二川 博之	48	男	3:07:26
386	735	石川 芳秀	63	男	3:07:48
387	305	赤澤 仁司	31	男	3:07:48
388	620	笠原 英嗣	57	男	3:07:59
389	582	西尾 憲明	48	男	3:08:01
390	425	寺本 卓司	58	男	3:08:02
391	501	江尻 佳弘	21	男	3:08:08
392	527	浜内 早統	38	男	3:08:15
393	4	古竹 孝一	43	男	3:08:31
394	760	田中 欣二	73	男	3:08:51
395	603	浜口 義一	52	男	3:09:27
396	713	岡本 寛	33	男	3:09:36
397	518	田中 洋一	35	男	3:09:44
398	716	松本 基彰	34	男	3:11:34
399	502	小笠 桂	24	男	3:11:59
400	836	辻 美知子	46	女	3:12:36
401	837	藤戸 亜紀	47	女	3:13:00
402	717	亀井 宣人	36	男	3:13:34
403	806	山口 佳奈子	21	女	3:14:36
404	846	阪本 壽美	49	女	3:14:44
405	560	中村 貴彦	43	男	3:15:09
406	531	牛尾 隆	39	男	3:15:45
407	832	若杉 利香	44	女	3:15:46
408	600	久保 清文	52	男	3:16:22
409	548	尾崎 公章	41	男	3:16:52
410	731	早馬 一正	60	男	3:17:37
411	705	藤 雄太	30	男	3:17:59
412	712	冨永 孝志	33	男	3:18:00
413	615	中江 聡伸	55	男	3:19:31
414	613	西之辻 徹	55	男	3:19:52
415	509	重松 良治	32	男	3:19:57
416	542	吉岡 大地	41	男	3:20:17
417	737	馬場 康智	63	男	3:20:31
418	710	黒田 悦成	32	男	3:21:18
419	517	細野 泰剛	35	男	3:21:54
420	415	高松 朗	53	男	3:21:56
421	349	田中 誠也	42	男	3:22:38
422	858	大森 康子	65	女	3:22:51
423	414	瀬川 良浩	53	男	3:24:14
424	568	上之段 大作	45	男	3:25:09
425	842	開 幸子	47	女	3:25:57
426	823	千葉 幾美	38	女	3:26:47
427	621	岡丸 正典	57	男	3:28:34
428	586	合田 和彦	49	男	3:29:37
429	614	京本 章彦	55	男	3:29:50
430	377	秋田 秀樹	46	男	3:31:10
431	584	合田 明徳	49	男	3:31:22
432	856	藤堂 君子	63	女	3:31:49
433	739	小林 英夫	63	男	3:33:45
434	709	奥田 優	31	男	3:35:45
435	394	栄 正幸	49	男	3:35:52
436	738	和泉谷 英雄	63	男	3:36:10
437	730	丸山 和伸	44	男	3:36:16
438	749	安藤 隆史	66	男	3:38:00
439	563	原 一男	44	男	3:39:50
440	734	古川 勝博	62	男	3:42:32
441	748	村井 登	65	男	3:42:49
442	726	安井 竣希	42	男	3:44:45
443	564	椋下 孝博	45	男	3:48:48
444	761	落合 国男	74	男	3:58:19
TOV	743	楠見 雅一	64	男	-
TOV	809	山口 恵美	29	女	-
TOV	845	寺田 美香	48	女	-
DNF	755	山本 尚史	69	男	-
DNF	103	開 健太	37	男	-
DNF	757	中林 昭	71	男	-
DNF	121	井上 皓平	27	男	-
DNF	403	市川 浩	50	男	-
DNF	408	岩鼻 敏明	51	男	-
DNF	352	今村 亮一	42	男	-
DNF	554	垂見 哲也	42	男	-
DNF	559	西山 裕章	43	男	-
DNF	593	石田 伸一	51	男	-
DNF	594	諏訪 徳之	51	男	-
DNF	599	森井 勝己	51	男	-
SKIP	198	福家 築	47	男	-
SKIP	552	松谷 剛志	42	男	-
SKIP	587	Aeschliman Gregory	49	男	-
SKIP	754	塚田 修	68	男	-
DNF	853	安部 英子	56	女	2:23:43
DNF	714	小林 裕典	34	男	2:33:59
DNF	155	千本 智久	38	男	2:42:03
DNF	370	永冶 恒宏	46	男	3:11:34
DNS	5	大高 義仁	45	男	-
DNS	109	鎌田 鉄也	33	男	-
DNS	111	梅田 航平	22	男	-
DNS	122	見月 直幸	28	男	-
DNS	125	西尾 年弘	29	男	-
DNS	144	蓮井 信一郎	36	男	-
DNS	172	岡本 健太郎	41	男	-
DNS	206	桑原 邦匡	50	男	-
DNS	301	山下 泰輔	22	男	-
DNS	304	阿野田 伊織	27	男	-
DNS	307	廣瀬 行利	33	男	-
DNS	320	湊 真吾	35	男	-
DNS	336	芳地 一也	40	男	-
DNS	341	小國 崇彦	40	男	-
DNS	365	坂口 明広	45	男	-
DNS	392	片山 昭彦	49	男	-
DNS	396	斎藤 安弘	50	男	-
DNS	506	渡邊 健	30	男	-
DNS	521	渡邊 真佐留	36	男	-
DNS	525	西出 大介	38	男	-
DNS	529	小田 芳直	39	男	-
DNS	547	岡崎 智	41	男	-
DNS	550	乾井 紀英	42	男	-
DNS	551	森本 未知数	42	男	-
DNS	566	Lintz Daniel	45	男	-
DNS	570	谷川 泰一	45	男	-
DNS	579	延 慎太郎	48	男	-
DNS	583	三宅 正一	48	男	-
DNS	588	福嶌 秀高	50	男	-
DNS	591	林山 功	50	男	-
DNS	598	森 誠治	51	男	-
DNS	610	川淵 浩充	55	男	-
DNS	703	中村 伊裕	25	男	-
DNS	718	立川 幸治	38	男	-
DNS	747	大森 千代雄	65	男	-
DNS	752	濱崎 二丸	68	男	-
DNS	820	岡村 美里	37	女	-
DNS	827	川井 幹子	41	女	-
DNS	829	大崎 りえ	42	女	-
DNS	831	岡崎 清美	43	女	-
DNS	841	田中 絵里	47	女	-
DNS	848	小国 久子	52	女	-
DNS	857	井上 富紀子	63	女	-
