総合順位	No.	氏名	年齢	性別	都道府県	総合記録	ｽｲﾑﾗｯﾌﾟ	S順	T1	ﾊﾞｲｸﾗｯﾌﾟ	B順	T2	ｽﾌﾟﾘｯﾄ	通過	ﾗﾝﾗｯﾌﾟ	R順	男子順位	女子順位
31	840	山内 実代	50	女	宮城県	1:29:27	0:12:51	20	0:04:47	0:42:22	37	0:02:34	1:00:00	34	0:26:53	28		6
32	866	池田 浩	66	男	東京都	1:29:46	0:14:20	30	0:03:15	0:41:22	36	0:02:44	0:58:57	30	0:28:06	31	26	
33	858	山崎 聡美	58	女	宮城県	1:29:56	0:11:45	11	0:02:31	0:41:07	34		0:55:23	23				7
34	831	三條 耕太	42	男	宮城県	1:30:54	0:17:42	41	0:03:35	0:39:52	28		1:01:09	36			27	
35	841	鈴木 学爾	50	男	福島県	1:32:12	0:14:03	26	0:04:16	0:41:21	35	0:02:47	0:59:39	32	0:29:47	32	28	
36	868	涌井 邦浩	66	男	福島県	1:32:49				0:41:05	33	0:04:04	1:03:57	39	0:24:48	19	29	
37	855	入江 里香	57	女	埼玉県	1:36:20	0:12:52	21	0:04:11	0:40:54	32	0:02:39	0:57:57	27	0:35:45	40		8
38	837	江口 直人	46	男	埼玉県	1:36:48	0:14:45	32	0:03:12	0:45:18	42	0:03:28	1:03:14	37	0:30:05	33	30	
39	848	東山 正樹	55	男	青森県	1:44:12	0:21:05	43	0:03:45	0:38:40	25	0:03:20	1:03:30	38	0:37:22	42	31	
40	844	片山 規央	52	男	福島県	1:44:41	0:16:35	37	0:04:13	0:44:01	39	0:01:55	1:04:50	40	0:37:56	43	32	
41	872	渡部 益夫	75	男	埼玉県	1:44:58	0:17:16	38	0:05:38	0:47:51	44	0:03:02	1:10:45	44	0:31:11	36	33	
42	845	佐藤 正一郎	52	男	宮城県	1:50:35	0:17:20	40	0:03:30	0:49:31	48	0:02:53	1:10:21	43	0:37:21	41	34	
43	869	畑中 泰二	72	男	埼玉県	1:51:21	0:15:00	33	0:06:14	0:47:51	45	0:03:48	1:09:05	41	0:38:28	44	35	
44	854	高橋 章	57	男	宮城県	1:52:30	0:22:25	44	0:06:55	0:47:51	46	0:03:46	1:17:11	45	0:31:33	38	36	
45	870	佐々木 正人	72	男	岩手県	1:53:08	0:18:13	42	0:05:29	0:45:46	43	0:02:07	1:09:28	42	0:41:33	45	37	
46	819	河合 涼太郎	27	男	宮城県	1:53:14	0:23:47	46	0:06:51	0:49:12	47	0:02:35	1:19:49	46	0:30:50	35	38	
47	861	浦窪 巳樹	61	女	岩手県	2:02:54	0:23:10	45	0:06:18	0:56:43	49	0:03:01	1:26:12	47	0:33:41	39		9
SKIP	850	中村 武	56	男	千葉県	1:22:38			0:03:43	0:39:23	27	0:03:12			0:31:14	37		
SKIP	832	石山 人洋	42	男	山形県	1:30:48			0:03:58	0:45:07	41	0:03:09			0:27:30	30		
DNS	823	滝沢 凜	30	男	福岡県													
DNS	827	阿部 優美	36	女	宮城県													
DNS	833	佐藤 桂	43	男	宮城県													
DNS	834	有馬 大蔵	43	男	東京都													
DNS	835	直下 典子	45	女	石川県													
DNS	849	三田村 達也	55	男	石川県													
DNS	853	北村 茂樹	57	男	宮城県													
DNS	857	毛利 親房	58	男	宮城県													
