Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	Bike	Run
143	Felipe Acevedo	M	M45-49	18	9:42:34	0:57:42	4:55:18	3:37:15
144	Connor robinson	M	M25-29	22	9:43:28	0:51:51	4:54:11	3:46:07
145	Mark Struiksma	M	M35-39	33	9:43:41	0:53:11	4:47:47	3:47:03
146	Vicente Bobadilla	M	M50-54	14	9:43:45	0:45:19	4:35:38	4:11:15
147	Bartosz Piasecki	M	M30-34	23	9:44:03	0:55:19	4:55:49	3:38:12
148	Trevor Morgan	M	M40-44	25	9:44:26	0:49:26	4:50:27	3:50:12
149	Markus Ernst	M	M45-49	19	9:44:33	0:56:38	4:42:10	3:52:10
150	Carlos Garza	M	M18-24	6	9:44:34	0:53:09	5:00:06	3:41:38
151	Roee Zoarets	M	MPRO	1	9:44:57	0:42:53	5:21:12	3:28:11
152	Emily Pincus	F	F25-29	1	9:45:14	0:43:04	5:07:24	3:40:05
153	Nathan Stiles	M	M35-39	34	9:45:15	0:56:25	4:59:34	3:37:29
154	Cody Quinn	M	M25-29	23	9:45:19	0:57:24	5:00:08	3:34:26
155	Santiago Leon	M	M45-49	20	9:47:05	0:46:08	4:53:51	3:55:27
156	Michael Seliske	M	M35-39	35	9:47:15	0:56:36	5:05:16	3:32:11
157	Jared Smith	M	M18-24	7	9:47:59	0:53:45	4:46:23	3:55:30
158	Bram Brakman	M	M25-29	24	9:48:11	0:50:41	4:37:17	4:02:44
159	Larry Campo Perez	M	M35-39	36	9:48:17	0:52:12	5:11:13	3:32:10
160	olivier jakob	M	M55-59	7	9:48:47	0:54:36	4:57:55	3:42:50
161	Michael Ross	M	M50-54	15	9:48:48	0:49:05	4:51:51	3:56:05
162	Chris Rodriguez	M	M30-34	24	9:49:22	0:55:20	4:54:17	3:46:08
163	Agustin Vega Crespo	M	M45-49	21	9:49:24	0:46:53	5:00:25	3:46:43
164	Micah Wilson	M	M30-34	25	9:49:36	0:45:40	4:29:03	4:26:11
165	Nick Abbinanti	M	M55-59	8	9:49:37	0:53:48	5:01:58	3:38:14
166	Kristian Ago	M	M18-24	8	9:49:43	0:50:49	5:02:23	3:45:54
167	Nicholas Torrance	M	M30-34	26	9:49:56	0:44:55	4:52:43	3:57:29
168	Mario Garibaldi	M	M35-39	37	9:50:14	0:54:08	5:03:16	3:39:48
169	Spencer Thibideau	M	M30-34	27	9:51:17	0:47:23	4:55:40	3:57:15
170	William Valenti	M	M50-54	16	9:51:37	0:47:08	5:03:58	3:47:20
171	David Black	M	M45-49	22	9:51:51	0:52:06	4:58:22	3:48:44
172	Kyle Cokinos	M	M30-34	28	9:51:51	0:53:02	4:59:05	3:45:04
173	Benjamin Stallings	M	M25-29	25	9:52:02	0:56:03	4:53:44	3:44:08
174	Kevin Hoffman	M	M30-34	29	9:52:05	0:55:40	5:10:15	3:32:57
175	Ted Albertson	M	M60-64	1	9:52:14	0:54:25	5:03:52	3:42:14
176	Zakary Prielipp	M	M35-39	38	9:52:21	0:59:44	5:09:32	3:31:04
177	Blake Hovis	M	M40-44	26	9:52:40	0:52:40	4:34:45	4:16:17
178	Scott Sucher	M	M55-59	9	9:52:50	0:52:55	4:54:43	3:51:46
179	Arthus Del Rio	M	M55-59	10	9:52:59	0:57:17	4:53:18	3:48:21
180	Charles Rak	M	M18-24	9	9:53:14	0:58:30	5:01:38	3:37:59
181	Carlos Quirós Sibaja	M	M35-39	39	9:53:48	0:55:09	5:16:11	3:29:39
182	Jocelyn Pare	M	M50-54	17	9:53:57	0:54:02	4:51:33	3:58:54
183	Bobbie Ashman	M	M40-44	27	9:54:12	0:54:20	4:52:46	3:57:27
184	Johanna Pennella	F	F30-34	1	9:54:21	0:49:51	5:12:53	3:42:20
185	Eric Mayan	M	M40-44	28	9:54:34	0:47:47	5:17:25	3:33:20
186	Justin Hoblet	M	M45-49	23	9:54:35	0:55:19	4:53:47	3:48:44
187	Kevin Lowry	M	M40-44	29	9:54:38	0:58:01	4:55:23	3:52:10
188	Noah Bryant	M	M25-29	26	9:55:13	0:54:07	4:52:48	3:54:53
189	Hunter Petersen	M	M35-39	40	9:55:24	0:58:01	4:41:26	3:59:04
190	Victor Crespo-Cuevas	M	M30-34	30	9:55:30	0:58:11	5:06:53	3:37:07
191	Michael Graw	M	M30-34	31	9:55:36	0:56:05	4:51:50	3:57:46
192	Cindy Cortes	F	F30-34	2	9:56:08	0:58:47	5:05:08	3:41:47
193	David Fritz	M	M40-44	30	9:56:10	1:01:10	4:55:33	3:46:21
194	Nathan Masarik	M	M25-29	27	9:56:28	0:47:32	5:19:24	3:38:33
195	Marc Castelanelli	M	M40-44	31	9:56:45	0:53:44	4:54:35	3:55:59
196	Tom Mi	M	M18-24	10	9:56:51	0:44:54	5:20:01	3:38:28
197	Charles Perry	M	M55-59	11	9:57:14	0:53:34	4:54:10	3:57:23
198	Jorge Francisco Sanchez Carranza	M	M35-39	41	9:57:40	0:55:54	5:10:01	3:38:20
199	Philip Richmond	M	M45-49	24	9:58:59	0:49:22	4:28:50	4:26:03
200	Keil Anderson	M	M40-44	32	9:59:07	0:51:22	5:07:44	3:49:16
201	Maxwell Hassenstein	M	M35-39	42	9:59:09	0:56:24	4:59:16	3:49:52
202	Sergey Irodov	M	M35-39	43	9:59:13	0:56:02	5:00:33	3:53:35
203	Joel Lemons	M	M35-39	44	9:59:52	0:53:34	4:48:15	4:01:21
204	Paul Gilson	M	M30-34	32	9:59:55	1:02:22	5:09:53	3:31:04
205	Ryan Smith	M	M40-44	33	10:00:10	0:54:44	5:04:16	3:46:21
206	Eduardo De La Torre Vilchis	M	M30-34	33	10:00:25	0:53:58	5:03:38	3:50:07
207	Binhao Luo	M	M25-29	28	10:00:32	1:06:31	5:02:29	3:37:46
208	Rebekah Walker	F	F40-44	2	10:01:37	0:56:06	5:05:14	3:48:32
209	Matthew Piegza	M	M25-29	29	10:01:38	0:52:36	5:16:12	3:34:14
210	Caleb Chapman	M	M35-39	45	10:01:48	0:49:20	4:59:21	4:02:27
211	Dirk Ross	M	M45-49	25	10:02:08	0:54:17	4:48:45	4:07:58
212	Kevin Killelea	M	M40-44	34	10:03:02	0:51:41	5:00:22	3:55:51
213	Jacob Kremer	M	M25-29	30	10:03:34	0:52:40	5:15:22	3:42:31
214	Rafael Silva	M	M35-39	46	10:03:48	0:58:30	5:00:06	3:55:14
215	Matthew Bermingham	M	M35-39	47	10:03:49	0:54:33	4:57:39	3:59:44
216	Joseph Davi	M	M35-39	48	10:04:20	0:52:38	5:02:48	3:59:33
217	Nicolo Vergani	M	M50-54	18	10:04:36	0:52:28	4:54:28	4:04:53
218	Kayla Kielar	F	F40-44	3	10:05:04	0:50:43	5:18:33	3:44:33
