順位	No.	氏名	年齢	性別	居住地	総合記録	ｽｲﾑﾗｯﾌﾟ	Ｓ順	ﾊﾞｲｸﾗｯﾌﾟ	Ｂ順	ｽﾌﾟﾘｯﾄ	通過	ﾗﾝﾗｯﾌﾟ	Ｒ順	男子順位	女子順位	年齢区分	区分順位
80	234	縄手 利彦	43	男	佐賀県	2:39:38	0:32:31	86	1:13:54	72	1:46:25	79	0:53:13	98	76		50歳未満	30
81	61	荒木 厚博	49	男	山口県	2:39:56	0:25:10	13	1:17:20	112	1:42:30	55	0:57:26	143	77		50歳未満	31
82	219	永石 裕二	39	男	佐賀県	2:40:04	0:32:22	79	1:17:58	126	1:50:20	103	0:49:44	63	78		40歳未満	16
83	261	横尾 剛	47	男	熊本県	2:40:07	0:33:54	116	1:12:50	65	1:46:44	82	0:53:23	103	79		50歳未満	32
84	124	三苫 信行	50	男	福岡県	2:40:20	0:34:02	118	1:16:24	95	1:50:26	104	0:49:54	65	80		60歳未満	11
85	154	三浦 正道	43	男	福岡県	2:40:23	0:32:29	85	1:19:51	154	1:52:20	125	0:48:03	51	81		50歳未満	33
86	257	大原 辰蔵	63	男	長崎県	2:40:27	0:31:45	71	1:13:54	73	1:45:39	74	0:54:48	121	82		70歳未満	3
87	106	白水 芳雄	40	男	福岡県	2:41:11	0:37:55	193	1:18:28	133	1:56:23	155	0:44:48	26	83		50歳未満	34
88	223	松崎 健太郎	49	男	佐賀県	2:41:19	0:35:53	162	1:13:52	71	1:49:45	98	0:51:34	83	84		50歳未満	35
89	99	浦田 誠	57	男	福岡県	2:41:28	0:32:23	80	1:09:31	34	1:41:54	51	0:59:34	160	85		60歳未満	12
90	189	萩尾 光昭	51	男	福岡県	2:41:32	0:35:39	155	1:19:35	150	1:55:14	148	0:46:18	38	86		60歳未満	13
91	77	高津 康弘	34	男	福岡県	2:41:47	0:31:17	65	1:09:45	38	1:41:02	43	1:00:45	171	87		40歳未満	17
92	131	長谷川 貢一	48	男	福岡県	2:42:32	0:28:34	33	1:08:21	28	1:36:55	24	1:05:37	203	88		50歳未満	36
93	10	山本 真由子	20	女	埼玉県	2:42:36	0:32:53	97	1:15:33	90	1:48:26	89	0:54:10	110		5	30歳未満	1
94	281	佐々木 孝	47	男	大分県	2:42:46	0:37:56	194	1:11:30	55	1:49:26	95	0:53:20	99	89		50歳未満	37
95	183	太田 勝徳	57	男	福岡県	2:43:18	0:34:27	131	1:16:30	97	1:50:57	108	0:52:21	88	90		60歳未満	14
96	49	中村 錦彦	55	男	奈良県	2:43:26	0:29:45	42	1:18:07	127	1:47:52	85	0:55:34	129	91		60歳未満	15
97	255	嶋田 洋平	40	男	長崎県	2:43:33	0:34:26	130	1:17:52	122	1:52:18	124	0:51:15	77	92		50歳未満	38
98	68	西村 健司	43	男	福岡県	2:43:45	0:34:09	122	1:16:51	103	1:51:00	110	0:52:45	94	93		50歳未満	39
99	14	山根 絵理	30	女	山口県	2:44:09	0:33:50	115	1:18:42	136	1:52:32	126	0:51:37	84		6	40歳未満	1
100	41	宮崎 智之	38	男	神奈川県	2:44:21	0:32:27	83	1:17:32	118	1:49:59	102	0:54:22	113	94		40歳未満	18
101	153	若菜 真一	50	男	福岡県	2:44:26	0:29:51	43	1:22:00	178	1:51:51	122	0:52:35	93	95		60歳未満	16
102	254	川畑 啓治	58	男	長崎県	2:44:30	0:35:45	157	1:19:02	139	1:54:47	143	0:49:43	62	96		60歳未満	17
103	130	倉園 幸治	39	男	福岡県	2:44:59	0:28:41	35	1:19:28	149	1:48:09	88	0:56:50	139	97		40歳未満	19
104	249	坂本 勝彦	52	男	佐賀県	2:45:07	0:32:42	92	1:14:06	77	1:46:48	83	0:58:19	151	98		60歳未満	18
105	235	野田 浩輝	37	男	佐賀県	2:45:17	0:34:34	138	1:19:19	148	1:53:53	137	0:51:24	79	99		40歳未満	20
106	168	坂本 亮	35	男	福岡県	2:45:37	0:30:19	52	1:19:05	142	1:49:24	94	0:56:13	136	100		40歳未満	21
107	267	永椎 浩樹	45	男	熊本県	2:45:43	0:31:48	72	1:23:53	194	1:55:41	150	0:50:02	68	101		50歳未満	40
108	252	馬場 真嗣	51	男	佐賀県	2:45:44	0:33:05	104	1:16:31	98	1:49:36	97	0:56:08	135	102		60歳未満	19
109	87	大場 康之	54	男	福岡県	2:45:46	0:35:56	164	1:19:15	146	1:55:11	147	0:50:35	76	103		60歳未満	20
110	241	平山 秀樹	60	男	佐賀県	2:45:52	0:35:32	150	1:17:55	123	1:53:27	133	0:52:25	90	104		70歳未満	4
111	143	堀江 明	46	男	福岡県	2:46:07	0:34:33	137	1:19:03	140	1:53:36	136	0:52:31	92	105		50歳未満	41
112	86	泉野 広太	32	男	福岡県	2:46:12	0:34:29	134	1:16:29	96	1:50:58	109	0:55:14	126	106		40歳未満	22
113	217	工藤 圭司	45	男	佐賀県	2:46:20	0:30:49	56	1:15:20	86	1:46:09	77	1:00:11	166	107		50歳未満	42
114	149	縄田 慎吾	37	男	福岡県	2:46:21	0:27:44	23	1:13:34	68	1:41:18	48	1:05:03	197	108		40歳未満	23
115	230	徳永 剛	36	男	佐賀県	2:46:34	0:32:53	96	1:17:56	125	1:50:49	106	0:55:45	131	109		40歳未満	24
116	139	西川 雅之	53	男	福岡県	2:46:49	0:35:31	149	1:19:46	152	1:55:17	149	0:51:32	81	110		60歳未満	21
117	76	西村 久徳	45	男	福岡県	2:46:55	0:35:48	159	1:16:55	104	1:52:43	128	0:54:12	111	111		50歳未満	43
118	204	福家 健作	49	男	福岡県	2:47:01	0:34:14	124	1:17:29	116	1:51:43	118	0:55:18	128	112		50歳未満	44
119	292	清水 孝明	43	男	鹿児島県	2:47:21	0:32:34	87	1:16:57	105	1:49:31	96	0:57:50	146	113		50歳未満	45
120	92	松永 修	61	男	福岡県	2:47:30	0:33:47	113	1:20:54	163	1:54:41	142	0:52:49	95	114		70歳未満	5
121	66	竹籔 博規	34	男	山口県	2:47:34	0:35:47	158	1:16:02	93	1:51:49	121	0:55:45	130	115		40歳未満	25
122	34	森永 雄太	29	男	埼玉県	2:47:50	0:33:41	111	1:25:46	215	1:59:27	179	0:48:23	54	116		30歳未満	13
123	95	佐藤 勝則	41	男	福岡県	2:48:00	0:32:11	76	1:17:00	106	1:49:11	93	0:58:49	155	117		50歳未満	46
124	122	平山 崇	52	男	福岡県	2:48:08	0:35:59	167	1:17:30	117	1:53:29	134	0:54:39	119	118		60歳未満	22
125	114	池田 純也	47	男	福岡県	2:48:13	0:36:19	177	1:15:27	89	1:51:46	119	0:56:27	137	119		50歳未満	47
126	112	上村 和也	32	男	福岡県	2:48:18	0:33:57	117	1:26:23	220	2:00:20	183	0:47:58	50	120		40歳未満	26
127	83	窪田 幸一郎	42	男	福岡県	2:48:45	0:34:40	142	1:18:13	129	1:52:53	129	0:55:52	133	121		50歳未満	48
128	245	幸島 史明	32	男	佐賀県	2:49:09	0:38:30	199	1:18:10	128	1:56:40	163	0:52:29	91	122		40歳未満	27
129	38	井上 秀	30	男	東京都	2:49:30	0:40:47	215	1:14:08	78	1:54:55	144	0:54:35	117	123		40歳未満	28
130	200	相浦 弘隆	35	男	福岡県	2:49:43	0:32:57	101	1:22:12	180	1:55:09	146	0:54:34	116	124		40歳未満	29
131	283	野田 祐司	45	男	大分県	2:49:55	0:37:30	186	1:17:08	110	1:54:38	141	0:55:17	127	125		50歳未満	49
132	15	家永 直美	49	女	山口県	2:50:16	0:36:28	179	1:21:42	174	1:58:10	171	0:52:06	86		7	50歳未満	2
133	163	石井 成一郎	48	男	福岡県	2:50:23	0:36:43	181	1:19:07	143	1:55:50	151	0:54:33	115	126		50歳未満	50
134	119	松尾 圭三	54	男	福岡県	2:50:33	0:33:49	114	1:17:05	109	1:50:54	107	0:59:39	161	127		60歳未満	23
135	275	鶴田 主税	45	男	熊本県	2:50:37	0:42:22	223	1:18:16	132	2:00:38	186	0:49:59	67	128		50歳未満	51
136	169	妹尾 晃	46	男	福岡県	2:51:06	0:36:49	183	1:16:18	94	1:53:07	130	0:57:59	147	129		50歳未満	52
137	282	安部 雄征	49	男	大分県	2:51:13	0:37:52	190	1:14:44	82	1:52:36	127	0:58:37	152	130		50歳未満	53
138	177	長澤 拓夫	50	男	福岡県	2:51:15	0:31:34	68	1:18:14	130	1:49:48	99	1:01:27	175	131		60歳未満	24
139	80	出口 秀吉	70	男	福岡県	2:51:17	0:33:13	106	1:16:39	100	1:49:52	100	1:01:25	174	132		70歳以上	1
140	290	田中 充	39	男	大分県	2:51:21	0:36:09	174	1:15:23	87	1:51:32	116	0:59:49	164	133		40歳未満	30
141	21	田中 典子	43	女	福岡県	2:51:24	0:36:13	175	1:25:18	208	2:01:31	195	0:49:53	64		8	50歳未満	3
142	69	山田 英司	46	男	福岡県	2:51:27	0:30:29	54	1:20:55	164	1:51:24	114	1:00:03	165	134		50歳未満	54
143	59	末冨 寛志	45	男	山口県	2:51:29	0:31:18	66	1:25:10	206	1:56:28	161	0:55:01	122	135		50歳未満	55
144	50	東 伸治	47	男	岡山県	2:51:35	0:32:41	91	1:19:08	145	1:51:49	120	0:59:46	162	136		50歳未満	56
145	111	金田 直一	52	男	福岡県	2:52:08	0:34:45	143	1:18:33	134	1:53:18	132	0:58:50	156	137		60歳未満	25
146	251	平田 一雄	54	男	佐賀県	2:52:21	0:36:02	169	1:12:32	63	1:48:34	90	1:03:47	190	138		60歳未満	26
147	171	児島 永	35	男	福岡県	2:52:29	0:39:51	207	1:15:17	85	1:55:08	145	0:57:21	141	139		40歳未満	31
148	67	田中 誠	51	男	福岡県	2:52:48	0:36:00	168	1:17:35	119	1:53:35	135	0:59:13	158	140		60歳未満	27
149	157	内野 慎太郎	47	男	福岡県	2:52:57	0:35:30	148	1:23:36	191	1:59:06	178	0:53:51	106	141		50歳未満	57
150	115	川坂 吉徳	47	男	福岡県	2:53:20	0:40:05	208	1:16:37	99	1:56:42	164	0:56:38	138	142		50歳未満	58
151	276	古賀 崇	48	男	熊本県	2:53:27	0:39:06	203	1:19:07	144	1:58:13	173	0:55:14	125	143		50歳未満	59
152	179	山本 拓郎	48	男	福岡県	2:53:38	0:33:11	105	1:17:26	114	1:50:37	105	1:03:01	186	144		50歳未満	60
153	277	遠山 正行	66	男	熊本県	2:53:55	0:34:08	121	1:17:46	121	1:51:54	123	1:02:01	181	145		70歳未満	6
154	212	島 登士治	52	男	佐賀県	2:53:58	0:34:31	135	1:14:24	81	1:48:55	92	1:05:03	199	146		60歳未満	28
155	121	大野 貴裕	21	男	福岡県	2:53:59	0:34:19	126	1:23:52	193	1:58:11	172	0:55:48	132	147		30歳未満	14
156	107	春本 俊	23	男	福岡県	2:54:23	0:44:04	242	1:21:16	166	2:05:20	215	0:49:03	58	148		30歳未満	15
157	228	枝吉 春喜	40	男	佐賀県	2:54:28	0:32:35	88	1:21:34	173	1:54:09	139	1:00:19	168	149		50歳未満	61
158	100	板谷 寛之	48	男	福岡県	2:54:40	0:35:57	165	1:25:21	209	2:01:18	192	0:53:22	102	150		50歳未満	62
159	144	千葉 晴久	37	男	福岡県	2:54:50	0:37:37	187	1:19:44	151	1:57:21	168	0:57:29	144	151		40歳未満	32
160	109	秋元 将志	44	男	福岡県	2:55:14	0:32:44	94	1:24:41	200	1:57:25	169	0:57:49	145	152		50歳未満	63
161	196	糸山 淳	46	男	福岡県	2:55:41	0:32:55	99	1:24:42	201	1:57:37	170	0:58:04	148	153		50歳未満	64
162	236	川﨑 弥寿博	32	男	佐賀県	2:55:54	0:34:21	127	1:22:06	179	1:56:27	159	0:59:27	159	154		40歳未満	33
163	218	山田 洋明	44	男	佐賀県	2:56:23	0:36:05	172	1:20:30	161	1:56:35	162	0:59:48	163	155		50歳未満	65
164	116	川内 佳司	49	男	福岡県	2:56:51	0:32:52	95	1:20:19	158	1:53:11	131	1:03:40	189	156		50歳未満	66
165	47	山口 誠	67	男	兵庫県	2:57:40	0:32:25	81	1:18:51	138	1:51:16	112	1:06:24	209	157		70歳未満	7
166	132	中村 大介	37	男	福岡県	2:57:53	0:35:54	163	1:26:47	223	2:02:41	205	0:55:12	124	158		40歳未満	34
167	227	向井 孝太郎	38	男	佐賀県	2:58:01	0:34:23	128	1:22:25	183	1:56:48	165	1:01:13	173	159		40歳未満	35
168	93	永元 幸裕	38	男	福岡県	2:58:12	0:40:29	211	1:25:43	214	2:06:12	222	0:52:00	85	160		40歳未満	36
169	134	水城 淳	57	男	福岡県	2:58:45	0:30:18	51	1:25:40	213	1:55:58	152	1:02:47	184	161		60歳未満	29
170	180	荒木 俊彦	63	男	福岡県	2:59:14	0:34:39	141	1:16:44	101	1:51:23	113	1:07:51	212	162		70歳未満	8
171	165	中尾 浩史	53	男	福岡県	2:59:52	0:43:20	232	1:22:19	182	2:05:39	217	0:54:13	112	163		60歳未満	30
172	176	狭間 直樹	41	男	福岡県	2:59:56	0:40:54	218	1:20:17	157	2:01:11	190	0:58:45	154	164		50歳未満	67
173	13	西野 千春	53	女	石川県	3:00:08	0:41:49	222	1:23:09	186	2:04:58	214	0:55:10	123		9	60歳未満	1
174	24	岩下 香奈	26	女	福岡県	3:00:09	0:35:35	153	1:26:29	221	2:02:04	199	0:58:05	149		10	30歳未満	2
175	285	掛布 恒弘	59	男	大分県	3:00:25	0:39:32	204	1:26:43	222	2:06:15	223	0:54:10	109	165		60歳未満	31
176	103	古庄 龍冶	46	男	福岡県	3:00:27	0:43:02	229	1:22:40	184	2:05:42	218	0:54:45	120	166		50歳未満	68
177	201	中川 泰	60	男	福岡県	3:00:49	0:36:04	171	1:20:21	159	1:56:25	157	1:04:24	192	167		70歳未満	9
178	11	吉田 綸子	24	女	東京都	3:00:54	0:32:14	77	1:24:14	195	1:56:28	160	1:04:26	193		11	30歳未満	3
179	265	小川 和広	70	男	熊本県	3:01:06	0:27:51	26	1:18:49	137	1:46:40	81	1:14:26	230	168		70歳以上	2
180	141	富永 秀和	47	男	福岡県	3:01:11	0:37:40	188	1:13:59	75	1:51:39	117	1:09:32	220	169		50歳未満	69
181	291	八ヶ代 正次	60	男	宮崎県	3:01:29	0:38:12	196	1:18:14	131	1:56:26	158	1:05:03	198	170		70歳未満	10
182	187	田中 啓司	67	男	福岡県	3:02:08	0:37:54	192	1:23:39	192	2:01:33	196	1:00:35	169	171		70歳未満	11
183	213	江口 昌利	53	男	佐賀県	3:02:09	0:33:44	112	1:22:18	181	1:56:02	153	1:06:07	207	172		60歳未満	32
184	193	坪根 徹	45	男	福岡県	3:02:22	0:36:41	180	1:17:26	113	1:54:07	138	1:08:15	215	173		50歳未満	70
185	19	籾井 博子	64	女	福岡県	3:02:34	0:34:28	132	1:26:09	217	2:00:37	185	1:01:57	179		12	70歳未満	1
186	91	林田 康寛	37	男	福岡県	3:02:41	0:47:30	248	1:20:45	162	2:08:15	229	0:54:26	114	174		40歳未満	37
187	167	岡田 正博	53	男	福岡県	3:02:57	0:40:50	216	1:21:27	172	2:02:17	202	1:00:40	170	175		60歳未満	33
188	44	西野 成人	58	男	石川県	3:03:13	0:43:28	234	1:17:55	124	2:01:23	193	1:01:50	178	176		60歳未満	34
189	62	古川 寛	27	男	山口県	3:03:43	0:35:34	151	1:26:11	218	2:01:45	198	1:01:58	180	177		30歳未満	16
190	188	宮本 正志	35	男	福岡県	3:03:45	0:43:07	231	1:23:17	189	2:06:24	225	0:57:21	142	178		40歳未満	38
191	174	井上 信也	57	男	福岡県	3:03:46	0:40:22	210	1:25:11	207	2:05:33	216	0:58:13	150	179		60歳未満	35
192	214	江口 和徳	53	男	佐賀県	3:04:06	0:32:08	75	1:24:16	196	1:56:24	156	1:07:42	211	180		60歳未満	36
193	240	池尻 朋樹	38	男	佐賀県	3:04:08	0:35:29	147	1:21:20	167	1:56:49	166	1:07:19	210	181		40歳未満	39
194	64	森本 未知数	45	男	山口県	3:04:32	0:39:38	205	1:22:49	185	2:02:27	203	1:02:05	182	182		50歳未満	71
195	29	嘉村 好子	64	女	佐賀県	3:04:39	0:43:47	239	1:21:56	176	2:05:43	219	0:58:56	157		13	70歳未満	2
196	101	菊池 洋平	35	男	福岡県	3:05:15	0:42:39	226	1:17:03	108	1:59:42	180	1:05:33	201	183		40歳未満	40
197	208	加藤 善満	37	男	佐賀県	3:05:29	0:36:03	170	1:25:38	211	2:01:41	197	1:03:48	191	184		40歳未満	41
198	126	浅羽 哲郎	47	男	福岡県	3:05:49	0:43:05	230	1:19:52	155	2:02:57	207	1:02:52	185	185		50歳未満	72
199	259	中尾 俊郎	40	男	長崎県	3:05:54	0:40:38	212	1:19:17	147	1:59:55	181	1:05:59	205	186		50歳未満	73
