順位	No.	氏名	チーム名	年齢	最終タイム	スイム記録	バイク記録	ラン記録
97	291	岡原 宏喜		53	3:28:10	0:55:54	1:25:19	1:06:57
98	290	河合 洋次郎		52	3:28:23	0:38:27	1:27:55	1:22:01
99	286	山路 斉	鉄人くらわんか	50	3:28:32	0:38:02	1:45:04	1:05:26
100	230	天満 栄太		30	3:28:37	0:40:07	1:33:26	1:15:04
101	207	中村 豊		57	3:29:13	0:42:05	1:32:41	1:14:27
102	203	宮野 直規		50	3:29:38	0:51:47	1:37:58	0:59:53
103	309	雁幕 星児		48	3:29:54	0:40:26	1:34:07	1:15:21
104	295	岸田 安弘	チーム・ザ・ゼロ	57	3:32:06	0:45:59	1:30:05	1:16:02
105	206	吉松 完		47	3:32:08	0:40:16	1:34:15	1:17:37
106	332	山口 隼仁	角刈りファイターズ	26	3:32:50	0:43:47	1:27:21	1:21:42
107	342	久原 忠		61	3:34:28	0:37:15	1:42:15	1:14:58
108	292	桶谷 重雄		54	3:35:06	0:44:12	1:33:44	1:17:10
109	329	水野 裕介		27	3:35:15	0:50:24	1:30:38	1:14:13
110	396	原 由加	丸八ランニングクラブ	53	3:35:57	0:42:01	1:41:32	1:12:24
111	246	田中 敬次郎		36	3:38:28	0:45:38	1:30:44	1:22:06
112	242	五味 史也		35	3:39:55	0:49:31	1:33:44	1:16:40
113	319	﨑山 友揮	和歌山ＹＥＧ	40	3:40:39	0:42:50	1:26:26	1:31:23
114	297	山田 豊		57	3:40:55	0:45:26	1:31:41	1:23:48
115	345	岩瀬 操		47	3:42:05	0:41:41	1:32:56	1:27:28
116	245	武田 玲司		36	3:42:40	0:34:11	1:40:22	1:28:07
117	253	坪井 洋平		40	3:42:55	0:47:29	1:34:46	1:20:40
118	261	阿尾 充訓		44	3:44:12	0:56:40	1:33:49	1:13:43
119	280	岡室 克也		49	3:46:21	0:54:08	1:40:58	1:11:15
120	209	宮本 忠広		59	3:49:55	0:40:40	1:43:05	1:26:10
121	288	峯俊 康志		51	3:52:52	0:46:25	1:31:12	1:35:15
122	211	岩田 操		45	3:56:37	0:54:22	1:37:19	1:24:56
123	256	岩橋 裕一郎	シナプス SLB	42	4:02:34	0:46:17	1:45:21	1:30:56
124	268	田中 隆之		46	4:05:05	0:48:31	1:44:51	1:31:43
125	391	山田 里陽	リヨンコ	66	4:08:12	0:54:44	1:59:10	1:14:18
126	326	西川 明宏	角刈りファイターズ	31	4:11:27	0:55:32	1:50:43	1:25:12
127	248	藤井 友博		36	4:13:54	0:50:05	1:41:30	1:42:19
