Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	Bike	Run
107	Ren Wang	M	M30-34	17	4:47:57	0:44:09	2:23:32	1:33:03
108	Ying Xu	F	F35-39	3	4:48:05	0:38:19	2:30:15	1:33:46
109	VLADIMIR LARIN	M	M35-39	24	4:48:16	0:35:52	2:25:04	1:41:17
110	Hanlong Zheng	M	M30-34	18	4:48:24	0:41:26	2:20:18	1:41:23
111	Xiang Ao	F	F40-44	2	4:48:55	0:38:25	2:24:24	1:40:51
112	Oleg Kamenev	M	M40-44	18	4:49:24	0:32:25	2:23:26	1:46:35
113	Hoi Tik Kwong	M	M45-49	11	4:49:27	0:37:01	2:27:23	1:39:00
114	Roy Chui	M	M30-34	19	4:49:47	0:35:56	2:27:50	1:38:54
115	Alexandre Sybillain	M	M55-59	4	4:49:58	0:34:26	2:28:36	1:40:13
116	Lianqin Yu	M	M50-54	3	4:50:06	0:40:53	2:32:05	1:30:32
117	俊生 曹	M	M50-54	4	4:50:09	0:41:18	2:25:53	1:36:31
118	Changbo Zhang	M	M40-44	19	4:50:37	0:41:34	2:24:55	1:38:12
119	Yang Yongjun	M	M25-29	13	4:50:42	0:43:07	2:11:21	1:47:42
120	Guanjun Chen	M	M40-44	20	4:50:46	0:40:39	2:23:24	1:41:22
121	Noriko Kumehara	F	F35-39	4	4:50:53	0:38:57	2:28:05	1:37:39
122	Beibei Qiao	F	F30-34	1	4:51:26	0:35:08	2:24:19	1:45:38
123	Allison Xu	F	F45-49	1	4:51:48	0:45:51	2:22:54	1:35:52
124	Chao Yang	M	M35-39	25	4:52:15	0:39:49	2:21:59	1:44:26
125	Bo Yuan	M	M40-44	21	4:52:20	0:39:02	2:22:36	1:43:40
126	Jia Kuan Zhang	M	M40-44	22	4:52:53	0:52:33	2:24:09	1:30:59
127	Lev Zhidkov	M	M35-39	26	4:53:05	0:35:52	2:33:04	1:37:29
128	超 王	M	M45-49	12	4:53:17	0:41:18	2:21:50	1:44:17
129	舒挺 吴	M	M50-54	5	4:53:23	0:42:48	2:24:26	1:39:51
130	Rowen Gao	M	M40-44	23	4:53:27	0:41:36	2:25:23	1:38:56
131	Dmitrii Chichkov	M	M35-39	27	4:53:33	0:39:21	2:28:02	1:40:53
132	Hua ZHONG	M	M40-44	24	4:53:43	0:45:46	2:27:42	1:35:08
133	Weiguo Xin	M	M55-59	5	4:53:57	0:38:10	2:19:37	1:51:29
134	Jean Charles Jacquelin	M	M50-54	6	4:54:03	0:32:57	2:30:30	1:42:49
135	Genhao Zhang	M	M35-39	28	4:54:12	0:35:53	2:26:30	1:45:04
136	紫州 朱	M	M40-44	25	4:54:23	0:49:00	2:21:51	1:37:52
137	銘漢 顏	M	M40-44	26	4:54:24	0:39:11	2:24:58	1:45:21
138	Alexey Perchikov	M	M45-49	13	4:54:31	0:35:01	2:10:45	2:01:32
139	Zhide Xing	M	M35-39	29	4:54:33	0:43:58	2:20:58	1:43:27
140	Yisu Liu	M	M40-44	27	4:54:42	0:45:28	2:17:07	1:42:19
141	Wang Siyu	F	FPRO	5	4:54:49	0:28:03	2:40:03	1:40:46
142	Ruben Duk	M	M25-29	14	4:54:51	0:38:12	2:24:15	1:44:07
143	Ping Li	M	M40-44	28	4:54:56	0:31:58	2:26:42	1:49:54
144	Kamil Aleksander Styla	M	M35-39	30	4:55:14	0:39:40	2:21:43	1:48:03
145	文波 裘	M	M35-39	31	4:55:24	0:37:28	2:21:50	1:49:13
146	Ruiwen Xie	F	F30-34	2	4:55:56	0:40:03	2:28:34	1:40:04
147	Yong Li	M	M35-39	32	4:56:27	0:38:57	2:24:34	1:46:50
148	Qiang Jin	M	M50-54	7	4:56:29	0:43:59	2:18:49	1:44:57
149	Huan Xia	M	M40-44	29	4:56:30	0:36:05	2:33:09	1:41:22
150	Javier Terren	M	M40-44	30	4:56:31	0:33:43	2:35:24	1:39:38
151	PUBO LIU	M	M30-34	20	4:56:42	0:37:43	2:26:49	1:45:43
152	Li Jian	M	M35-39	33	4:57:00	0:37:25	2:29:45	1:40:59
153	Bond Martin	M	M50-54	8	4:57:38	0:29:14	2:24:27	1:58:20
154	Junfei He	M	M35-39	34	4:57:53	0:38:18	2:24:02	1:49:02
155	Bai Meng	F	F35-39	5	4:58:02	0:41:08	2:23:02	1:49:48
156	Yibo Zhang	M	M18-24	6	4:58:06	0:41:21	2:21:19	1:47:16
157	Wenhao Zhou	M	M30-34	21	4:58:08	0:29:16	2:20:27	2:00:13
158	宇晨 赵	M	M18-24	7	4:58:21	0:43:09	2:23:28	1:46:13
159	Mason Swayne	M	M18-24	8	4:58:21	0:34:51	2:36:57	1:37:27
160	Siming Ji	F	F25-29	1	4:58:25	0:42:04	2:28:27	1:39:16
161	Andrew Chou	M	M35-39	35	4:58:25	0:44:27	2:18:55	1:44:27
162	Chuan Zhao	M	M40-44	31	4:58:36	0:42:49	2:30:46	1:34:25
163	Peiyu Li	M	M40-44	32	4:58:56	0:47:50	2:15:12	1:46:32
164	Yu Zhang	M	M40-44	33	4:58:57	0:41:57	2:23:35	1:43:59
165	Jingwei Jiang	M	M25-29	15	4:59:03	0:42:57	2:25:10	1:44:23
166	Dmitry Fattakhov	M	M30-34	22	4:59:11	0:34:13	2:32:41	1:46:25
167	Zhiming Zhao	M	M40-44	34	4:59:22	0:36:19	2:25:39	1:48:37
168	WEI YIN	M	M40-44	35	4:59:24	0:43:32	2:25:33	1:43:59
169	Carolina Cobos	F	F40-44	3	4:59:24	0:37:50	2:27:41	1:47:44
170	Ludovic Boisrame	M	M45-49	14	4:59:46	0:40:14	2:25:55	1:46:11
171	Yuan Xiaodong	M	M50-54	9	5:00:19	0:38:27	2:37:05	1:36:36
172	Bingxin Ma	M	M35-39	36	5:00:23	0:42:20	2:19:22	1:51:51
173	Bingning Ding	M	M45-49	15	5:00:59	0:42:30	2:31:35	1:40:01
174	YU ZHANG	M	M40-44	36	5:01:08	0:40:11	2:26:00	1:48:12
175	Rodrigo Vasconcellos	M	M45-49	16	5:01:30	0:35:19	2:28:08	1:52:13
176	Steven Matthews	M	M40-44	37	5:01:36	0:38:01	2:19:29	1:52:55
177	Xingyu Ma	M	M40-44	38	5:02:15	0:35:28	2:22:54	1:57:38
178	Ka Chun Lau	M	M35-39	37	5:02:25	0:43:50	2:25:49	1:45:10
179	Masayuki Yamakawa	M	M60-64	1	5:02:30	0:37:20	2:23:59	1:55:11
180	Ka Hung Tsang	F	F30-34	3	5:02:31	0:33:04	2:32:30	1:51:57
181	Hongfei Wei	M	M40-44	39	5:02:33	0:43:25	2:26:06	1:45:31
182	Wenjie Ding	M	M25-29	16	5:03:12	0:32:14	2:38:01	1:45:51
183	Jin Yan	M	M25-29	17	5:03:24	0:41:40	2:18:02	1:52:01
184	Antoni Bernabeu Roig	M	M30-34	23	5:03:41	0:43:41	2:25:10	1:46:10
185	Luis Javier Herrera Orduna	M	M35-39	38	5:03:48	0:44:37	2:37:19	1:32:32
186	Michael Bouchut	M	M35-39	39	5:03:53	0:35:23	2:29:42	1:51:38
187	Huuphoc Nguy	M	M50-54	10	5:04:05	0:41:59	2:26:13	1:47:30
188	Yeqi Sun	M	M30-34	24	5:04:06	0:42:35	2:27:58	1:47:17
189	Combe Rudy	M	M30-34	25	5:04:08	0:36:07	2:31:08	1:50:25
190	Zhi Peng Li	M	M35-39	40	5:04:08	0:40:58	2:20:41	1:55:45
191	茂雄 周	M	M30-34	26	5:04:19	0:43:09	2:36:05	1:38:43
192	Fei Yan	M	M40-44	40	5:04:43	0:45:41	2:21:25	1:49:12
193	泽浩 张	M	M35-39	41	5:04:47	0:41:30	2:25:30	1:49:49
194	Sun Yiming	M	M25-29	18	5:05:22	0:40:14	2:27:48	1:49:44
195	Chin Nang Ip	M	M60-64	2	5:05:39	0:33:34	2:27:07	1:55:55
196	Xiaofei Zhao	M	M40-44	41	5:05:45	0:44:16	2:26:20	1:45:03
197	Juqian Wei	F	F35-39	6	5:05:48	0:41:44	2:30:14	1:46:24
198	Chi Man Cheong	M	M35-39	42	5:05:56	0:41:08	2:22:22	1:55:05
199	Zhefu Cao	M	M35-39	43	5:06:11	0:40:01	2:25:54	1:51:45
200	YUEJIANG LIU	M	M50-54	11	5:06:15	0:40:54	2:28:55	1:49:06
201	Mathieu Conte-maiorino	M	M35-39	44	5:06:16	0:42:45	2:32:13	1:42:09
202	Mingfeng Jiang	M	M40-44	42	5:06:36	0:46:58	2:21:52	1:50:37
203	Ingrid Hansen	F	F45-49	2	5:06:40	0:31:56	2:37:30	1:51:31
204	Mauro Carannante	M	M40-44	43	5:06:48	0:35:37	2:35:41	1:48:35
205	ERIC ZHOU	M	M50-54	12	5:07:22	0:39:31	2:22:26	2:00:05
206	Boxing Cheng	M	M40-44	44	5:07:34	0:33:18	2:40:20	1:44:24
207	Kaiyuan Yu	M	M40-44	45	5:07:46	0:38:34	2:33:51	1:46:25
208	Miqueias Novais	M	M35-39	45	5:07:48	0:47:03	2:19:03	1:53:25
209	Cheng Wang	M	M40-44	46	5:07:49	0:41:38	2:33:14	1:46:39
210	Maximiliano Salas	M	M30-34	27	5:07:57	0:42:04	2:37:23	1:39:46
211	晓景 刘	M	M35-39	46	5:08:01	0:40:51	2:30:34	1:43:35
212	Bin Lin	M	M50-54	13	5:08:05	0:42:01	2:27:56	1:49:56
213	Yingchao Yu	M	M35-39	47	5:08:05	0:40:27	2:22:57	1:49:56
214	献周 叶	M	M40-44	47	5:08:07	0:36:10	2:34:38	1:49:12
215	JUNYI SUN	M	M40-44	48	5:08:09	0:40:10	2:35:00	1:46:06
216	Alvaro Mourato	M	M45-49	17	5:08:09	0:44:11	2:23:08	1:51:34
217	Qiang Wang	M	M40-44	49	5:08:12	0:51:30	2:23:04	1:44:03
218	Wen Dai	F	F40-44	4	5:08:13	0:41:59	2:34:08	1:44:58
219	katsumi Matsuo	M	M50-54	14	5:08:28	0:36:21	2:30:21	1:54:24
220	QU CHEN	M	M40-44	50	5:08:35	0:43:21	2:24:51	1:52:37
221	Chi Wai Yeung	M	M50-54	15	5:08:36	0:42:01	2:28:44	1:50:56
222	卫 谢	M	M55-59	6	5:08:57	0:34:49	2:37:15	1:50:18
223	Yijie Cheng	M	M35-39	48	5:09:14	0:46:55	2:25:57	1:49:10
224	Xueyan Jiang	F	F30-34	4	5:09:32	0:42:50	2:30:19	1:50:33
225	Teng Shen	M	M35-39	49	5:09:37	0:32:28	2:35:45	1:55:16
226	MINGQIAN SUN	M	M30-34	28	5:10:05	0:46:24	2:28:32	1:48:20
227	HaoChen Jiang	M	M30-34	29	5:10:30	0:34:18	2:25:38	1:59:10
228	Ming LI	M	M50-54	16	5:10:35	0:41:03	2:36:57	1:39:33
229	Congyu Zhu	F	F40-44	5	5:10:40	0:38:09	2:31:50	1:53:30
230	Shuhan Zhong	M	M30-34	30	5:10:51	0:45:11	2:29:35	1:46:55
231	Li Zhu	M	M40-44	51	5:11:17	0:44:58	2:28:07	1:51:35
232	Demin Zhu	M	M35-39	50	5:11:33	0:42:39	2:30:35	1:51:50
233	Heming Huang	M	M40-44	52	5:11:36	0:46:37	2:34:33	1:42:03
234	Warren Tang	M	M25-29	19	5:11:46	0:36:15	2:38:17	1:48:44
235	Fan FENG	M	M35-39	51	5:11:47	0:45:16	2:24:28	1:55:00
236	Yiming Wang	M	M25-29	20	5:11:53	0:49:17	2:35:14	1:40:56
237	Masaki Yoshimura	M	M45-49	18	5:11:58	0:45:13	2:28:33	1:49:32
238	Ian Ngai	M	M35-39	52	5:11:59	0:37:03	2:24:10	2:02:20
239	Lazar Oborov	M	M35-39	53	5:12:00	0:43:57	2:42:03	1:40:22
240	Xiaoqing Zhu	M	M45-49	19	5:12:04	0:44:05	2:34:37	1:41:24
241	Yi Ming Ji	M	M40-44	53	5:12:33	0:34:21	2:30:53	2:00:02
242	曹 震	M	M18-24	9	5:12:40	0:47:55	2:31:57	1:47:24
243	Kucmierz Marta	F	F40-44	6	5:12:48	0:37:34	2:32:04	1:56:30
244	Liu Cheng	M	M40-44	54	5:12:59	0:36:21	2:31:57	1:52:46
245	Craig Williams	M	M40-44	55	5:13:18	0:27:45	2:43:31	1:55:15
246	Ruqiang Wang	M	M35-39	54	5:13:43	0:48:53	2:34:54	1:43:47
247	Xingyuan Wang	M	M45-49	20	5:14:01	0:42:08	2:35:19	1:49:37
248	Melinda Hand	F	F45-49	3	5:14:18	0:35:47	2:34:29	1:58:00
249	Nicholas Mawdsley	M	M50-54	17	5:14:19	0:39:19	2:40:16	1:47:53
250	春超 李	M	M40-44	56	5:14:32	0:50:11	2:31:29	1:45:25
251	Tianyao Jiang	M	M18-24	10	5:14:35	0:46:04	2:32:37	1:48:20
252	雪峰 金	M	M35-39	55	5:14:36	0:38:19	2:38:29	1:49:20
253	Zhenyu Tang	M	M35-39	56	5:14:45	0:41:49	2:29:51	1:55:57
254	LI SHIFAN	M	M35-39	57	5:14:47	0:41:12	2:39:43	1:47:29
255	Enoch Kai Kang	M	M35-39	58	5:14:51	0:41:46	2:33:12	1:50:01
256	Shengpeng Yi	M	M30-34	31	5:15:25	0:45:45	2:30:52	1:48:41
257	征宇 潘	M	M40-44	57	5:15:27	0:37:28	2:40:10	1:48:35
258	Jiashuo Jing	M	M30-34	32	5:15:47	0:39:32	2:41:35	1:48:29
259	Yiming Lin	M	M40-44	58	5:16:00	0:52:38	2:30:54	1:43:35
260	茂雄 周	M	M35-39	59	5:16:05	0:49:05	2:21:28	1:59:08
261	HONGHAN CUI	M	M30-34	33	5:16:10	0:47:10	2:17:46	2:01:29
262	蒙 张	M	M40-44	59	5:16:34	0:45:05	2:26:56	1:57:48
263	Jianping Lai	M	M65-69	1	5:16:38	0:39:37	2:29:57	1:58:18
264	Tao Chen	M	M45-49	21	5:16:41	0:48:53	2:27:12	1:49:46
265	Shi Qiu	M	M18-24	11	5:16:48	0:45:08	2:40:34	1:37:35
266	Kangru Wu	M	M45-49	22	5:17:09	0:46:42	2:27:06	1:54:59
267	Youfa Xu	M	M55-59	7	5:17:24	0:44:28	2:27:40	1:57:47
268	Xinlei Zhang	F	F40-44	7	5:17:31	0:38:01	2:41:23	1:51:17
269	佳 张	M	M40-44	60	5:17:56	0:54:41	2:34:45	1:35:42
270	敏刚 郑	M	M50-54	18	5:18:02	0:41:13	2:33:26	1:54:52
271	Xiaoming Yuan	M	M35-39	60	5:18:02	0:36:39	2:31:33	2:02:02
272	CHEUK HO KONG	M	M40-44	61	5:18:05	0:48:50	2:33:40	1:41:26
273	Qiang Zhao	M	M50-54	19	5:18:06	0:50:13	2:40:17	1:40:59
274	Marek Sarovec	M	M30-34	34	5:18:09	0:49:38	2:36:03	1:45:07
275	Jie Li	M	M35-39	61	5:18:17	0:44:06	2:28:31	1:58:36
276	Richard Atkins	M	M45-49	23	5:18:29	0:35:18	2:32:40	2:02:19
277	Lizhi Jiang	M	M35-39	62	5:18:30	0:34:46	2:48:04	1:46:43
278	Runze Zhang	M	M25-29	21	5:18:49	0:47:53	2:22:12	1:56:23
279	任薇 段	F	F30-34	5	5:18:55	0:50:13	2:25:12	1:53:55
280	Yizhou Xu	M	M25-29	22	5:19:14	0:47:38	2:30:57	1:50:21
281	Benedikt Pauli	M	M30-34	35	5:19:35	0:44:07	2:28:04	1:56:36
282	Kai Liao	M	M30-34	36	5:19:40	0:45:34	2:33:11	1:51:32
283	Elizaveta Prokhorova	F	F35-39	7	5:19:42	0:39:15	2:42:10	1:52:52
284	Keji Ling	M	M30-34	37	5:19:47	0:45:23	2:28:01	1:59:09
285	Julie Jasmin Middendorp	F	F30-34	6	5:20:03	0:43:54	2:35:30	1:51:42
286	Yi Bing Cui	M	M40-44	62	5:20:03	0:42:13	2:32:28	1:57:25
287	子懿 王	M	M40-44	63	5:20:05	0:37:42	2:32:43	2:01:23
288	Yunshen Zhang	M	M25-29	23	5:20:26	0:41:29	2:33:20	1:55:16
289	Yuanyuan Liu	F	F35-39	8	5:20:34	0:46:56	2:43:29	1:42:08
290	JUE ZHANG	M	M35-39	63	5:20:36	0:48:11	2:43:45	1:37:18
291	Jiheng Zhao	M	M35-39	64	5:20:38	0:39:06	2:49:23	1:40:26
292	鼎超 杨	M	M25-29	24	5:20:59	0:44:07	2:25:44	2:04:04
293	Lun Huang	M	M35-39	65	5:21:00	0:47:03	2:28:36	2:00:35
294	Liwei Duan	M	M35-39	66	5:21:01	0:43:00	2:33:27	1:51:23
295	Paul Heddebaut	M	M35-39	67	5:21:30	0:44:19	2:27:13	2:01:39
296	Haoxuan Cheng	M	M35-39	68	5:21:50	0:45:14	2:57:47	1:29:15
297	Kunyang Yuan	F	F35-39	9	5:22:06	0:43:37	2:34:32	1:57:27
298	良字 王	M	M40-44	64	5:22:23	0:44:49	2:37:06	1:52:49
299	徐 增光	M	M35-39	69	5:22:51	0:49:58	2:44:32	1:40:08
300	Yunxiao Wang	M	M25-29	25	5:22:53	0:43:07	2:37:06	1:55:29
301	Shihuan Li	M	M40-44	65	5:22:54	0:45:41	2:31:45	1:57:03
302	Ye Chen	M	M45-49	24	5:22:57	0:43:03	2:39:47	1:47:39
303	樑 乔	M	M45-49	25	5:23:04	0:43:22	2:37:19	1:52:20
304	Guan Wang	M	M35-39	70	5:23:12	0:43:36	2:31:48	1:58:34
305	Eric Yang Liu	M	M40-44	66	5:23:17	0:45:29	2:36:53	1:53:45
306	Sheng Jin	M	M35-39	71	5:23:32	0:51:01	2:43:34	1:42:27
307	Sidong Tian	M	M45-49	26	5:24:05	0:53:29	2:26:42	1:55:26
308	Lei Jiang	M	M35-39	72	5:24:30	0:45:22	2:30:08	2:03:03
