総合順位	No.	氏名	年齢	性別	都道府県	総合記録	ｽｲﾑﾗｯﾌﾟ	S順	T1	ﾊﾞｲｸﾗｯﾌﾟ	B順	T2	ｽﾌﾟﾘｯﾄ	通過	ﾗﾝﾗｯﾌﾟ	R順	男子順位	女子順位	年代区分	年代順位
17	220	小田哲也	33	男	青森県	2:22:33	0:27:03	32	0:02:34	1:06:11	24	0:01:36	1:35:47	27	0:45:09	11	14		30歳代男子	5
18	408	隅田一徳	43	男	大阪府	2:23:46	0:24:53	16	0:01:51	1:03:10	7	0:01:34	1:29:54	10	0:52:18	38	15		40歳代男子	4
19	204	柴田和樹	25	男	宮城県	2:23:58	0:18:43	1	0:01:31	1:05:54	22	0:00:52	1:26:08	2	0:56:57	58	16		20歳代男子	5
20	603	東井久実子	44	女	岩手県	2:24:03	0:25:34	21	0:01:51	1:06:00	23	0:00:57	1:33:25	17	0:49:41	30		4	40歳代女子	2
21	405	櫻田慎	41	男	岩手県	2:24:11	0:29:34	50	0:02:46	1:03:15	8	0:01:14	1:35:35	25	0:47:22	21	17		40歳代男子	5
22	205	野田頭優作	26	男	東京都	2:25:27	0:25:37	22	0:01:57	1:08:43	38	0:01:06	1:36:17	32	0:48:04	23	18		20歳代男子	6
23	533	矢吹暁	56	男	宮城県	2:25:41	0:27:29	35	0:02:53	1:05:14	19	0:01:22	1:35:36	26	0:48:43	26	19		50歳代男子	2
24	203	大岩佑輔	24	男	宮城県	2:25:56	0:22:57	7	0:01:51	1:11:24	47	0:01:35	1:36:12	31	0:48:09	24	20		20歳代男子	7
25	513	永山史朗	52	男	岩手県	2:26:02	0:25:26	19	0:01:53	1:06:22	25	0:01:02	1:33:41	20	0:51:19	35	21		50歳代男子	3
26	503	飯島隆介	50	男	東京都	2:26:21	0:25:51	27	0:02:21	1:08:31	37	0:01:24	1:36:43	33	0:48:14	25	22		50歳代男子	4
27	510	窪田啓介	51	男	神奈川県	2:27:49	0:28:31	42	0:03:02	1:08:56	39	0:01:29	1:40:29	40	0:45:50	16	23		50歳代男子	5
28	514	加藤匠	52	男	東京都	2:29:11	0:27:28	34	0:02:06	1:08:10	34	0:01:56	1:37:44	36	0:49:32	29	24		50歳代男子	6
29	539	篠塚恭男	58	男	茨城県	2:30:10	0:25:43	24	0:02:45	1:03:51	12	0:01:33	1:32:19	15	0:56:18	55	25		50歳代男子	7
30	559	高橋克昭	66	男	埼玉県	2:31:59	0:27:22	33	0:02:05	1:06:41	28	0:01:05	1:36:08	30	0:54:46	52	26		60歳代男子	2
31	622	鈴木陽南子	22	女	宮城県	2:35:23	0:23:37	10	0:02:02	1:13:49	65	0:01:23	1:39:28	37	0:54:32	50		5	20歳代女子	1
32	428	井手伸一	48	男	大阪府	2:35:31	0:28:10	39	0:02:53	1:09:17	41	0:01:27	1:40:20	39	0:53:44	45	27		40歳代男子	6
33	228	伊藤徳史	37	男	岩手県	2:36:07	0:34:43	100	0:05:04	1:03:32	10	0:03:19	1:43:19	44	0:49:30	28	28		30歳代男子	6
34	515	三浦崇	52	男	宮城県	2:36:13	0:28:53	45	0:02:25	1:05:52	21	0:01:29	1:37:09	35	0:57:35	62	29		50歳代男子	8
35	403	虻川慎吾	40	男	秋田県	2:37:20	0:30:59	60	0:02:42	1:09:03	40	0:01:31	1:42:43	42	0:53:05	42	30		40歳代男子	7
36	229	下村浩平	37	男	岩手県	2:37:51	0:22:24	5	0:05:05	1:08:20	35	0:02:22	1:35:49	28	0:59:40	70	31		30歳代男子	7
37	231	上野幸佑	37	男	兵庫県	2:38:14	0:26:56	31	0:03:21	1:10:39	43	0:02:22	1:40:56	41	0:54:56	53	32		30歳代男子	8
38	225	鈴木信啓	36	男	福島県	2:38:31	0:24:20	12	0:02:29	1:07:52	33	0:01:19	1:34:42	23	1:02:30	82	33		30歳代男子	9
39	429	入間川祐一	48	男	宮城県	2:39:12	0:33:35	90	0:03:39	1:07:45	32	0:01:41	1:44:58	46	0:52:33	39	34		40歳代男子	8
40	404	伊藤謙	40	男	宮城県	2:41:58	0:31:23	65	0:03:06	1:12:13	54	0:01:57	1:46:42	52	0:53:20	43	35		40歳代男子	9
41	210	佐藤駿	29	男	宮城県	2:42:01	0:32:01	72	0:03:45	1:11:35	49	0:02:37	1:47:21	54	0:52:03	37	36		20歳代男子	8
42	617	黒羽美登里	62	女	東京都	2:45:05	0:31:32	70	0:03:04	1:15:32	74	0:01:31	1:50:07	66	0:53:27	44		6	60歳代女子	1
43	614	渡邉野和	18	女	岩手県	2:45:38	0:25:32	20	0:02:54	1:14:32	70	0:01:32	1:42:57	43	1:01:09	77		7	10歳代女子	2
44	415	登坂孝範	44	男	宮城県	2:45:50	0:35:00	102	0:03:58	1:12:42	56	0:02:19	1:51:40	71	0:51:51	36	37		40歳代男子	10
45	529	中川格	55	男	東京都	2:46:03	0:28:39	43	0:02:52	1:16:27	79	0:01:24	1:47:59	59	0:56:40	57	38		50歳代男子	9
46	538	佐藤浩之	58	男	福島県	2:46:15	0:28:41	44	0:03:07	1:14:18	68	0:02:39	1:46:07	48	0:57:29	61	39		50歳代男子	10
47	511	須藤和人	52	男	宮城県	2:46:47	0:32:43	79	0:03:51	1:11:18	46	0:01:50	1:47:53	58	0:57:04	59	40		50歳代男子	11
48	215	安倍築	31	男	宮城県	2:46:54	0:25:45	25	0:01:59	1:19:42	95	0:01:22	1:47:26	55	0:58:07	65	41		30歳代男子	10
49	517	菅野一真	53	男	宮城県	2:47:16	0:32:34	75	0:03:59	1:13:41	62	0:02:57	1:50:14	67	0:54:04	47	42		50歳代男子	12
50	508	米本豊	51	男	神奈川県	2:47:20	0:32:03	73	0:04:39	1:12:45	57	0:03:36	1:49:27	63	0:54:18	48	43		50歳代男子	13
51	202	吉田将人	22	男	北海道	2:47:45	0:33:15	89	0:04:04	1:14:43	71	0:01:08	1:52:02	72	0:54:34	51	44		20歳代男子	9
52	602	山本真紀恵	58	女	千葉県	2:47:55	0:31:28	69	0:02:25	1:14:00	66	0:02:19	1:47:53	57	0:57:44	63		8	50歳代女子	1
53	213	澤野太暉	30	男	東京都	2:49:08	0:31:08	63	0:03:24	1:13:49	64	0:01:06	1:48:21	60	0:59:40	71	45		30歳代男子	11
54	507	真野玲	51	男	神奈川県	2:49:18	0:31:07	62	0:04:05	1:12:37	55	0:02:06	1:47:49	56	0:59:23	68	46		50歳代男子	14
55	618	西内宮佳江	53	女	東京都	2:49:22	0:32:35	77	0:02:59	1:15:00	73	0:01:27	1:50:33	68	0:57:22	60		9	50歳代女子	2
56	509	菅井義啓	51	男	宮城県	2:49:24	0:33:03	87	0:03:21	1:09:51	42	0:02:11	1:46:15	49	1:00:58	76	47		50歳代男子	15
57	413	渡邉博幸	43	男	宮城県	2:49:51	0:30:02	53	0:03:11	1:11:50	51	0:01:46	1:45:03	47	1:03:02	88	48		40歳代男子	11
58	551	入江猛	62	男	埼玉県	2:51:45	0:25:45	26	0:02:49	1:18:15	87	0:02:28	1:46:49	53	1:02:28	81	49		60歳代男子	3
59	422	宇部博基	47	男	宮城県	2:51:50	0:32:52	82	0:03:50	1:17:37	83	0:03:03	1:54:18	77	0:54:29	49	50		40歳代男子	12
60	433	藤澤祐一	48	男	茨城県	2:52:37	0:23:33	9	0:02:40	1:13:44	63	0:01:36	1:39:57	38	1:11:05	120	51		40歳代男子	13
61	407	佐藤佳之	43	男	岩手県	2:52:47	0:36:25	112	0:03:15	1:11:29	48	0:02:29	1:51:09	70	0:59:10	67	52		40歳代男子	14
62	523	小幡秀樹	53	男	宮城県	2:53:18	0:35:31	104	0:05:23	1:12:04	53	0:02:18	1:52:58	75	0:58:02	64	53		50歳代男子	16
63	416	中畝英雄	44	男	東京都	2:53:48	0:32:59	85	0:04:09	1:17:57	84	0:02:07	1:55:05	79	0:56:35	56	54		40歳代男子	15
64	223	今野慎也	35	男	宮城県	2:54:25	0:31:24	66	0:04:49	1:14:24	69	0:02:37	1:50:37	69	1:01:11	78	55		30歳代男子	12
65	423	日下陽平	47	男	宮城県	2:54:45	0:36:34	113	0:04:35	1:12:46	58	0:02:32	1:53:55	76	0:58:18	66	56		40歳代男子	16
66	532	蛯原正一	56	男	福島県	2:56:35	0:29:39	51	0:03:34	1:13:28	60	0:02:11	1:46:40	51	1:07:44	104	57		50歳代男子	17
67	535	宮本善章	58	男	埼玉県	2:56:40	0:29:59	52	0:03:48	1:16:01	77	0:01:32	1:49:48	65	1:05:20	98	58		50歳代男子	18
68	217	相崎豪	32	男	宮城県	2:57:20	0:35:53	108	0:04:32	1:17:33	82	0:03:12	1:57:58	88	0:56:10	54	59		30歳代男子	13
69	624	能勢百合子	50	女	神奈川県	2:57:41	0:31:25	68	0:05:32	1:18:40	89	0:01:22	1:55:36	80	1:00:43	74		10	50歳代女子	3
70	530	山崎教雄	56	男	宮城県	3:00:14	0:27:54	38	0:02:57	1:15:48	76	0:02:05	1:46:39	50	1:11:30	121	60		50歳代男子	19
71	547	中野博之	60	男	宮城県	3:00:49	0:32:54	83	0:04:05	1:15:32	75	0:02:51	1:52:32	73	1:05:27	99	61		60歳代男子	4
72	227	遠藤雅博	37	男	福島県	3:01:54	0:29:18	48	0:05:08	1:14:46	72	0:02:48	1:49:12	62	1:09:54	114	62		30歳代男子	14
73	521	原田光	53	男	宮城県	3:03:28	0:33:00	86	0:03:10	1:21:14	107	0:01:24	1:57:24	87	1:04:40	96	63		50歳代男子	20
74	554	岡田浩寿	65	男	福島県	3:03:58	0:31:00	61	0:02:53	1:19:04	92	0:02:13	1:52:57	74	1:08:47	111	64		60歳代男子	5
75	214	藤井大地	31	男	東京都	3:04:46	0:31:43	71	0:02:47						2:32:01	154	65		30歳代男子	15
76	612	土樋三起	49	女	岩手県	3:05:29	0:40:49	137	0:02:56	1:16:05	78	0:01:45	1:59:50	95	1:03:54	91		11	40歳代女子	3
77	224	田中康貴	36	男	岩手県	3:06:25	0:31:24	67	0:03:51	1:20:40	103	0:02:26	1:55:56	83	1:08:03	108	66		30歳代男子	16
78	437	柳橋英憲	49	男	宮城県	3:06:32	0:38:17	122	0:04:23	1:20:11	99	0:02:13	2:02:51	102	1:01:28	79	67		40歳代男子	17
79	543	若林正人	59	男	栃木県	3:07:37	0:40:30	134	0:07:36	1:13:30	61	0:02:26	2:01:37	100	1:03:34	89	68		50歳代男子	21
80	504	柴田健	50	男	宮城県	3:09:19	0:31:13	64	0:05:31	1:18:53	90	0:03:24	1:55:36	81	1:10:18	117	69		50歳代男子	22
81	610	千葉知代	43	女	宮城県	3:09:19	0:38:27	123	0:05:01	1:20:19	100	0:03:06	2:03:47	107	1:02:25	80		12	40歳代女子	4
82	563	村越豊	69	男	青森県	3:10:16	0:32:46	80	0:03:55	1:19:44	96	0:02:52	1:56:24	86	1:10:59	119	70		60歳代男子	6
83	611	大河原美貴	53	女	宮城県	3:10:31	0:36:12	110	0:03:31	1:21:11	106	0:01:43	2:00:54	97	1:07:54	106		13	50歳代女子	4
84	558	佐藤徹	66	男	山形県	3:10:46	0:36:00	109	0:03:25	1:24:13	117	0:04:11	2:03:38	105	1:02:57	87	71		60歳代男子	7
85	401	横山文平	40	男	宮城県	3:11:15	0:38:08	119	0:07:09	1:18:39	88	0:04:31	2:03:56	108	1:02:48	86	72		40歳代男子	18
86	201	佐々木康人	19	男	青森県	3:11:54	0:30:17	55	0:02:26	1:27:06	127	0:01:21	1:59:50	94	1:10:43	118	73		10歳代男子	1
87	420	中村克弥	46	男	宮城県	3:11:57	0:30:30	58	0:05:09	1:34:58	139	0:01:46	2:10:38	130	0:59:33	69	74		40歳代男子	19
88	421	熊谷健	46	男	宮城県	3:12:23	0:37:33	117	0:05:05	1:18:58	91	0:03:02	2:01:36	99	1:07:44	105	75		40歳代男子	20
89	545	今野秀明	59	男	宮城県	3:12:39	0:34:37	99	0:03:52	1:22:08	110	0:02:09	2:00:37	96	1:09:53	113	76		50歳代男子	23
90	621	塚本千明	31	女	新潟県	3:13:58	0:39:13	127	0:02:17	1:18:02	86	0:02:55	1:59:32	93	1:11:31	122		14	30歳代女子	2
91	540	佐浦康洋	59	男	宮城県	3:14:01	0:38:15	121	0:04:15	1:24:19	118	0:03:20	2:06:49	115	1:03:52	90	77		50歳代男子	24
92	608	高橋あき子	70	女	神奈川県	3:14:06	0:32:35	78	0:04:40	1:27:28	130	0:02:35	2:04:43	111	1:06:48	102		15	70歳代女子	1
93	512	阿部洋	52	男	岩手県	3:15:00	0:49:46	154	0:03:57	1:13:14	59	0:03:33	2:06:58	116	1:04:29	95	78		50歳代男子	25
94	556	山本利幸	65	男	福島県	3:15:51	0:36:21	111	0:06:03	1:27:16	128	0:03:33	2:09:40	127	1:02:38	84	79		60歳代男子	8
95	601	山崎聡美	56	女	宮城県	3:16:55	0:29:18	47	0:02:58	1:22:33	112	0:02:02	1:54:49	78	1:20:03	141		16	50歳代女子	5
96	427	梶田穣路	47	男	青森県	3:18:35	0:32:59	84	0:04:22	1:34:32	137	0:02:39	2:11:52	133	1:04:04	92	80		40歳代男子	21
97	410	鈴木通衛	43	男	宮城県	3:18:52	0:42:00	141	0:04:38	1:20:00	98	0:03:30	2:06:38	114	1:08:45	110	81		40歳代男子	22
98	527	山本正喜	54	男	秋田県	3:19:03	0:41:25	139	0:06:25	1:20:29	102	0:04:09	2:08:19	123	1:06:35	100	82		50歳代男子	26
99	425	武山賢二郎	47	男	宮城県	3:19:35	0:44:42	149	0:04:24	1:25:52	124	0:02:04	2:14:58	140	1:02:33	83	83		40歳代男子	23
100	615	横山奈央子	50	女	宮城県	3:19:57	0:40:10	130	0:05:45	1:28:30	136	0:02:47	2:14:25	138	1:02:46	85		17	50歳代女子	6
101	534	後藤誠	57	男	宮城県	3:20:04	0:34:30	97	0:04:43	1:23:44	115	0:03:23	2:02:57	103	1:13:44	127	84		50歳代男子	27
102	536	菅原隆平	58	男	宮城県	3:20:14	0:35:43	106	0:06:10	1:25:21	121	0:03:00	2:07:14	118	1:09:59	116	85		50歳代男子	28
103	526	行場裕樹	54	男	宮城県	3:20:55	0:35:11	103	0:06:08	1:20:49	104	0:04:38	2:02:09	101	1:14:07	129	86		50歳代男子	29
104	616	大崎佳子	55	女	宮城県	3:21:12	0:40:35	135	0:03:46	1:22:14	111	0:02:09	2:06:35	113	1:12:28	123		18	50歳代女子	7
105	501	小野佳之	50	男	福島県	3:21:16				1:37:25	146	0:03:09	2:08:10	122	1:09:57	115	87		50歳代男子	30
106	561	森秀美	69	男	青森県	3:21:22	0:42:43	143	0:04:27	1:11:56	52	0:02:16	1:59:07	91	1:19:59	140	88		60歳代男子	9
107	619	川上嘉代	53	女	北海道	3:22:36	0:33:44	93	0:04:24	1:27:39	131	0:02:40	2:05:47	112	1:14:09	130		19	50歳代女子	8
108	211	堀田貴彦	29	男	青森県	3:22:45	0:42:14	142	0:05:18	1:19:37	93	0:02:13	2:07:09	117	1:13:23	126	89		20歳代男子	10
109	502	松村康崇	50	男	宮城県	3:23:55	0:38:53	126	0:06:29	1:25:39	123	0:04:13	2:11:01	131	1:08:41	109	90		50歳代男子	31
110	406	小林健太郎	41	男	宮城県	3:24:29	0:32:50	81	0:12:03	1:27:19	129	0:04:16	2:12:12	135	1:08:01	107	91		40歳代男子	24
111	518	大平幸弘	53	男	千葉県	3:25:05	0:35:37	105	0:05:52	1:26:11	125	0:03:24	2:07:40	119	1:14:02	128	92		50歳代男子	32
112	569	高柳充善	59	男	新潟県	3:25:12	0:37:33	118	0:06:21	1:19:52	97	0:05:28	2:03:46	106	1:15:58	134	93		50歳代男子	33
113	435	折橋正樹	49	男	宮城県	3:25:17	0:40:36	136	0:06:13	1:27:48	133	0:04:00	2:14:36	139	1:06:41	101	94		40歳代男子	25
114	537	植木統	58	男	宮城県	3:26:34	0:41:31	140	0:05:48	1:21:47	109	0:02:36	2:09:07	126	1:14:51	132	95		50歳代男子	34
115	411	芳川宗隆	43	男	宮城県	3:26:40	0:38:36	125	0:05:50	1:36:19	143	0:01:49	2:20:46	144	1:04:06	93	96		40歳代男子	26
116	605	渡邉緑	51	女	岩手県	3:27:00	0:34:34	98	0:06:13	1:20:26	101	0:02:51	2:01:13	98	1:22:56	145		20	50歳代女子	9
117	207	色摩優希	27	男	宮城県	3:27:01	0:38:12	120	0:04:48	1:37:18	145	0:02:31	2:20:18	143	1:04:12	94	97		20歳代男子	11
118	230	大坪庸祐	37	男	青森県	3:27:53	0:34:20	96	0:07:11	1:28:27	135	0:02:56	2:09:57	129	1:14:59	133	98		30歳代男子	17
119	222	渡邊慎太郎	35	男	宮城県	3:29:56	0:42:54	144	0:06:17	1:43:20	150	0:04:24	2:32:30	151	0:53:02	41	99		30歳代男子	18
120	516	三浦良浩	52	男	宮城県	3:30:02	0:43:52	147	0:04:35	1:19:38	94	0:04:31	2:08:04	120	1:17:27	137	100		50歳代男子	35
121	562	佐竹彰	69	男	宮城県	3:30:39	0:33:07	88	0:04:16	1:26:50	126	0:03:22	2:04:13	109	1:23:04	146	101		60歳代男子	10
122	567	山川清一	77	男	宮城県	3:30:43	0:40:00	129	0:06:54	1:25:34	122	0:05:17	2:12:29	136	1:12:57	125	102		70歳代男子	1
123	609	新田泰子	59	女	宮城県	3:35:27	0:33:44	94	0:04:11	1:47:53	151	0:02:48	2:25:48	148	1:06:51	103		21	50歳代女子	10
124	560	穴澤隆	67	男	福島県	3:37:56	0:36:47	114	0:03:57	1:35:53	142	0:01:33	2:16:37	142	1:19:46	139	103		60歳代男子	11
125	604	蛯名真弓	19	女	東京都	3:37:59	0:29:09	46	0:03:38	1:35:20	140	0:01:29	2:08:07	121	1:28:23	148		22	10歳代女子	3
126	557	神田秀仁	66	男	埼玉県	3:38:12	0:35:53	107	0:08:04	1:24:31	119	0:07:26	2:08:28	124	1:22:17	143	104		60歳代男子	12
127	418	渡邊牧人	46	男	新潟県	3:38:13	0:36:47	115	0:07:08	1:27:56	134	0:04:33	2:11:51	132	1:21:49	142	105		40歳代男子	27
128	531	牧野彰	56	男	宮城県	3:38:50	0:40:10	131	0:07:10	1:24:45	120	0:03:59	2:12:06	134	1:22:45	144	106		50歳代男子	36
129	524	古本憲一	54	男	岩手県	3:42:04	0:41:08	138	0:05:06	1:27:39	132	0:03:22	2:13:53	137	1:24:49	147	107		50歳代男子	37
130	544	熊谷孝	59	男	宮城県	3:46:07	0:43:59	148	0:04:49	1:38:11	148	0:02:53	2:27:00	149	1:16:14	136	108		50歳代男子	38
131	620	盛幸枝	42	女	福島県	3:47:25	0:43:14	146	0:05:28	1:36:21	144	0:04:15	2:25:03	147	1:18:06	138		23	40歳代女子	5
132	505	清井憲一	51	男	埼玉県	3:49:55	0:40:19	133	0:06:16	1:23:12	114	0:04:09	2:09:47	128	1:35:59	151	109		50歳代男子	39
133	506	池田慶太	51	男	岩手県	3:50:11	0:30:16	54	0:05:51	1:38:52	149	0:03:24	2:14:58	141	1:31:48	150	110		50歳代男子	40
134	564	畑中泰二	70	男	埼玉県	3:57:59	0:40:17	132	0:06:26	1:37:53	147	0:04:30	2:24:36	146	1:28:54	149	111		70歳代男子	2
135	613	熊谷三千代	50	女	福島県	4:01:23	0:48:43	153	0:04:37	1:52:36	153	0:02:39	2:45:55	153	1:12:48	124		24	50歳代女子	11
136	550	末永典弘	62	男	宮城県	4:05:06	0:47:58	152	0:06:02	1:52:30	152	0:04:08	2:46:30	154	1:14:28	131	112		60歳代男子	13
137	566	野田朋芳	77	男	東京都	4:11:48	0:47:12	151	0:06:01	1:34:33	138	0:04:23	2:27:46	150	1:39:38	152	113		70歳代男子	3
138	555	小田正人	65	男	北海道	4:22:38	0:42:57	145	0:03:37	1:35:23	141	0:02:56	2:21:58	145	1:57:45	153	114		60歳代男子	14
DNF	221	高橋怜央奈	35	男	東京都		0:30:22	56	0:02:09	1:03:37	11	0:01:38	1:36:08	29	0:38:12	1			30歳代男子	
DNF	233	伊辺佑成	39	男	宮城県		0:37:12	116	0:05:08										30歳代男子	
DNF	438	生神敏基	40	男	新潟県		0:34:52	101	0:04:25	1:16:33	80	0:02:37	1:55:49	82	1:05:03	97			40歳代男子	
DNF	414	エイムズアンドリュークラーク	43	男	宮城県		0:33:39	91	0:04:36	1:17:57	85	0:03:00	1:56:13	85	0:53:53	46			40歳代男子	
DNF	417	山崎裕介	45	男	北海道		0:32:23	74	0:07:13	1:57:01	154	0:03:18	2:36:37	152	1:16:06	135			40歳代男子	
DNF	424	清水紀孝	47	男	神奈川県		0:30:28	57	0:03:20	1:11:01	45	0:01:52	1:44:48	45	0:40:36	3			40歳代男子	
DNF	426	渡邉崇弘	47	男	新潟県		0:46:30	150	0:04:39	1:08:22	36	0:02:43	1:59:30	92	0:41:09	4			40歳代男子	
DNF	431	岩井啓訓	48	男	福島県		0:32:35	76	0:04:36	1:21:37	108	0:02:39	1:58:47	89	1:00:19	73			40歳代男子	
DNF	430	内舘保明	48	男	岩手県		0:38:36	124											40歳代男子	
DNF	436	青沼伸	49	男	宮城県		0:30:54	59	0:04:08	1:23:58	116	0:02:52	1:58:59	90	0:51:02	34			40歳代男子	
DNF	519	渡邉淳	53	男	岩手県		0:33:46	95	0:04:06	1:10:45	44	0:03:10	1:48:36	61	0:59:48	72			50歳代男子	
DNF	522	岩渕貴光	53	男	岩手県		0:27:41	36	0:02:59	1:03:52	13	0:01:04	1:34:33	22	0:43:48	6			50歳代男子	
DNF	528	早川真	55	男	岩手県		0:27:43	37	0:02:00	1:05:46	20	0:01:11	1:35:29	24	0:39:43	2			50歳代男子	
DNF	541	山本慈朗	59	男	千葉県		0:28:20	41	0:02:03	1:06:30	27	0:01:30	1:36:54	34	0:50:42	33			50歳代男子	
DNF	542	松本智幸	59	男	福島県		0:29:26	49	0:05:35	1:20:55	105	0:02:28	1:55:56	84	0:49:48	31			50歳代男子	
DNF	546	山川雅之	60	男	東京都														60歳代男子	
DNF	553	森哲	64	男	茨城県		0:33:43	92	0:04:15	1:11:45	50	0:03:36	1:49:42	64	0:52:37	40			60歳代男子	
DNF	568	金子一郎	79	男	新潟県		0:39:33	128	0:06:20	1:22:40	113	0:07:00	2:08:33	125					70歳代男子	
DNS	216	YoungCallumJack	32	男	宮城県														30歳代男子	
DNS	402	結城孝	40	男	宮城県														40歳代男子	
DNS	409	佐藤利幸	43	男	宮城県														40歳代男子	
DNS	606	佐久間久子	54	女	福島県														50歳代女子	
DNS	625	渡辺華史	56	女	東京都														50歳代女子	
DNS	549	梶川彰三	61	男	大阪府														60歳代男子	
DNS	552	櫻田光治	64	男	宮城県														60歳代男子	
DNS	565	岩松茂樹	72	男	宮城県														70歳代男子	
SKIP	434	小山田龍司	48	男	岩手県	3:17:42				1:17:31	81	0:04:10	2:04:16	110	1:09:17	112			40歳代男子	
SKIP	525	柚原洋一	54	男	北海道	3:07:50				1:14:11	67	0:03:34	2:03:30	104	1:00:46	75			50歳代男子	
