総合順位	No.	氏名	性別	年齢区分	総合記録	ｽｲﾑﾗｯﾌﾟ	T1	ﾊﾞｲｸﾗｯﾌﾟ	ﾗﾝﾗｯﾌﾟ	ステータス
35	791	Tsedendamba Tserenbat	男	40-44男子	2:22:53	0:26:41	0:02:39	1:12:22	0:41:11	
36	214	村山 昇	男	40-44男子	2:22:55	0:27:32	0:02:26	1:11:43	0:41:14	
37	540	各務 亨	男	50-54男子	2:25:35	0:33:21	0:03:57	1:02:30	0:45:47	
38	83	本間 武蔵	男	25-29男子	2:25:45	0:29:50	0:03:03	1:08:49	0:44:03	
39	779	木田 史彦	男	35-39男子	2:25:55	0:26:48	0:03:05	1:08:46	0:47:16	
40	755	霜出 祐輝	男	25-29男子	2:26:05	0:23:25	0:04:41	1:01:59	0:56:00	
41	367	若穂囲 貴之	男	45-49男子	2:26:08	0:24:12	0:03:10	1:13:13	0:45:33	
42	281	高橋 悟	男	40-44男子	2:26:24	0:27:26	0:02:58	1:11:24	0:44:36	
43	7	忍田 雄哉	男	20-24男子	2:27:34	0:25:44	0:02:10	1:11:23	0:48:17	
44	43	家山 達也	男	25-29男子	2:28:11	0:30:03	0:02:57	1:14:29	0:40:42	
45	782	山田 直輝	男	35-39男子	2:28:24	0:31:22	0:03:23	1:12:44	0:40:55	
46	762	大友 貴之	男	30-34男子	2:28:29	0:28:14	0:03:02	1:13:56	0:43:17	
47	585	藤本 徳正	男	55-59男子	2:28:32	0:28:07	0:02:46	1:12:34	0:45:05	
48	23	木綿 渡来	男	20-24男子	2:28:33	0:25:45	0:03:07	1:07:59	0:51:42	
49	9	東 周平	男	20-24男子	2:28:50	0:30:59	0:04:11	1:12:44	0:40:56	
50	271	宮崎 健太郎	男	40-44男子	2:29:11	0:30:26	0:02:26	1:10:06	0:46:13	
51	445	田野 康夫	男	50-54男子	2:29:33	0:28:05	0:04:25	1:09:46	0:47:17	
52	112	川崎 省太	男	30-34男子	2:29:48	0:33:10	0:03:20	1:09:41	0:43:37	
53	474	竹本 禄是	男	50-54男子	2:29:49	0:36:50	0:02:21	1:05:39	0:44:59	
54	65	藤井 勇樹	男	25-29男子	2:29:54	0:25:01	0:02:29	1:13:12	0:49:12	
55	304	藤川 大輔	男	45-49男子	2:30:32	0:33:29	0:03:58	1:08:38	0:44:27	
56	405	嶌田 一幸	男	45-49男子	2:30:46	0:30:56	0:03:02	1:12:26	0:44:22	
57	205	有松 信輔	男	35-39男子	2:31:04	0:27:08	0:02:07	1:15:46	0:46:03	
58	855	山岸 汐里	女	25-29女子	2:31:06	0:21:46	0:02:26	1:20:34	0:46:20	
59	459	日比 章善	男	50-54男子	2:31:10	0:31:10	0:03:32	1:10:45	0:45:43	
60	789	松本 宗太郎	男	40-44男子	2:31:21	0:23:26	0:03:48	1:19:00	0:45:07	
61	151	村上 慎太郎	男	35-39男子	2:31:35	0:30:43	0:04:01	1:09:33	0:47:18	
62	842	入江 正和	男	55-59男子	2:31:53	0:29:50	0:02:48	1:12:34	0:46:41	
63	178	富樫 優介	男	35-39男子	2:31:58	0:30:57	0:02:57	1:14:07	0:43:57	
64	78	栗山 尚輝	男	25-29男子	2:32:03	0:22:50	0:03:37	1:10:41	0:54:55	
65	492	三富 匠	男	50-54男子	2:32:05	0:31:37	0:03:34	1:11:23	0:45:31	
66	379	角田 有希	男	45-49男子	2:32:07	0:26:02	0:02:59	1:11:44	0:51:22	
67	774	本間 廣曉	男	30-34男子	2:32:31	0:28:10	0:02:51	1:16:31	0:44:59	
68	144	小松 正宜	男	35-39男子	2:32:43	0:30:45	0:03:09	1:15:07	0:43:42	
69	298	入江 スグル	男	45-49男子	2:33:01	0:31:12	0:02:56	1:14:03	0:44:50	
70	113	江畑 俊行	男	30-34男子	2:33:02	0:28:14	0:02:51	1:19:52	0:42:05	
71	406	浅見 義彦	男	45-49男子	2:33:05	0:34:45	0:04:05	1:09:11	0:45:04	
72	219	下田 健吾	男	40-44男子	2:33:16	0:30:18	0:03:30	1:11:30	0:47:58	
73	212	鈴木 宏隆	男	40-44男子	2:33:19	0:27:24	0:04:28	1:15:03	0:46:24	
74	550	掛樋 勇次	男	50-54男子	2:33:38	0:30:53	0:04:50	1:12:50	0:45:05	
75	504	松井 仁	男	50-54男子	2:33:57	0:35:09	0:04:19	1:08:14	0:46:15	
76	481	渡邉 昌弘	男	50-54男子	2:34:03	0:30:53	0:04:47	1:15:03	0:43:20	
77	140	赤尾 遊一	男	35-39男子	2:34:06	0:23:00	0:03:04	1:18:18	0:49:44	
78	631	河野 篤志	男	55-59男子	2:34:14	0:31:52	0:03:22	1:09:49	0:49:11	
79	258	木ノ内 一壮	男	40-44男子	2:34:29	0:38:39	0:03:01	1:09:30	0:43:19	
80	84	菅谷 勘佑	男	30-34男子	2:34:31	0:29:59	0:04:18	1:17:43	0:42:31	
81	857	竹内 愛	女	25-29女子	2:34:52	0:21:45	0:02:19	1:20:40	0:50:08	
82	817	松永 秀樹	男	45-49男子	2:34:58	0:28:23	0:03:35	1:13:21	0:49:39	
83	276	山崎 克偉	男	40-44男子	2:35:00	0:33:07	0:03:17	1:15:02	0:43:34	
84	62	岡北 慎司	男	25-29男子	2:35:11	0:30:10	0:02:23	1:19:19	0:43:19	
85	263	福原 真人	男	40-44男子	2:35:13	0:24:14	0:03:24	1:18:47	0:48:48	
86	183	鈴木 俊裕	男	35-39男子	2:35:25	0:28:22	0:03:31	1:22:36	0:40:56	
87	410	大久保 一成	男	45-49男子	2:35:29	0:25:08	0:03:37	1:16:56	0:49:48	
88	547	宮田 應晃	男	50-54男子	2:35:45	0:32:45	0:03:14	1:08:01	0:51:45	
89	424	伊藤 哲雄	男	45-49男子	2:36:24	0:30:48	0:03:15	1:16:02	0:46:19	
90	293	福島 唯実	男	45-49男子	2:36:25	0:31:16	0:03:22	1:16:41	0:45:06	
91	135	柴田 晟至	男	30-34男子	2:36:32	0:28:59	0:05:58	1:18:45	0:42:50	
92	38	大エキ 正隆	男	25-29男子	2:36:47	0:34:47	0:02:33	1:14:46	0:44:41	
93	300	新井 宏幸	男	45-49男子	2:36:52	0:36:34	0:03:20	1:11:53	0:45:05	
94	189	有賀 竜	男	35-39男子	2:36:54	0:27:45	0:03:58	1:25:51	0:39:20	
95	353	幸坂 健太郎	男	45-49男子	2:37:10	0:25:04	0:04:01	1:11:43	0:56:22	
96	687	吉野 聡	男	45-49男子	2:37:14	0:29:44	0:03:23	1:20:46	0:43:21	
97	549	土居 誠司	男	50-54男子	2:37:20	0:29:40	0:04:25	1:17:54	0:45:21	
98	565	古宮 聡	男	55-59男子	2:37:23	0:33:28	0:04:40	1:16:34	0:42:41	
99	149	黒根 雄太	男	35-39男子	2:37:25	0:33:16	0:04:37	1:16:57	0:42:35	
100	335	須原 康	男	45-49男子	2:37:36	0:34:32	0:03:55	1:12:12	0:46:57	
101	186	石田 明寛	男	35-39男子	2:37:59	0:33:15	0:04:30	1:16:13	0:44:01	
102	680	佐々木 惇	男	40-44男子	2:38:05	0:27:59	0:04:04	1:18:40	0:47:22	
103	322	山﨑 文隆	男	45-49男子	2:38:16	0:28:26	0:04:03	1:21:38	0:44:09	
104	73	黒野 龍星	男	25-29男子	2:38:41	0:32:44	0:08:13	1:14:00	0:43:44	
105	646	皆川 健次	男	55-59男子	2:38:49	0:33:07	0:03:31	1:19:41	0:42:30	
106	378	杉田 好士郎	男	45-49男子	2:38:58	0:30:32	0:05:28	1:12:50	0:50:08	
107	47	新倉 俊平	男	25-29男子	2:39:17	0:29:35	0:03:00	1:14:33	0:52:09	
108	368	鶴見 英斉	男	45-49男子	2:39:23	0:37:56	0:03:20	1:18:37	0:39:30	
109	316	高瀬 誠	男	45-49男子	2:39:28	0:35:27	0:04:24	1:13:12	0:46:25	
110	176	増原 雄太郎	男	35-39男子	2:39:31	0:39:54	0:03:19	1:11:54	0:44:24	
111	682	池川 寿一	男	40-44男子	2:39:31	0:32:02	0:04:32	1:29:16	0:33:41	DSQ
112	431	張ヶ谷 真	男	50-54男子	2:39:33	0:29:29	0:03:56	1:16:10	0:49:58	
113	296	内海 貴之	男	45-49男子	2:39:48	0:31:47	0:03:42	1:16:30	0:47:49	
114	120	安西 達哉	男	30-34男子	2:39:53	0:29:32	0:04:32	1:10:19	0:55:30	
115	76	小杉 隆造	男	25-29男子	2:40:06	0:27:29	0:03:39	1:22:14	0:46:44	
116	207	矢口 貴志	男	35-39男子	2:40:12	0:22:44	0:02:26	1:24:07	0:50:55	
117	209	遠藤 慧	男	40-44男子	2:40:23	0:29:05	0:02:37	1:14:16	0:54:25	
118	444	近藤 和吉	男	50-54男子	2:40:25	0:31:09	0:03:53	1:15:17	0:50:06	
119	907	加藤 知子	女	55-59女子	2:40:33	0:25:08	0:03:25	1:22:41	0:49:19	
120	330	山本 和孝	男	45-49男子	2:40:50	0:30:28	0:05:16	1:16:30	0:48:36	
121	233	井原 隆	男	40-44男子	2:41:16	0:34:29	0:03:40	1:18:06	0:45:01	
122	191	小松 由和	男	35-39男子	2:41:20	0:31:37	0:04:10	1:27:09	0:38:24	
123	6	實方 悠生	男	20-24男子	2:41:22	0:27:11	0:02:17	1:15:22	0:56:32	
124	509	眞澤 暢宏	男	50-54男子	2:41:22	0:30:31	0:03:39	1:21:43	0:45:29	
125	39	池田 英弘	男	25-29男子	2:41:25	0:32:57	0:03:32	1:20:54	0:44:02	
126	261	武藤 哲	男	40-44男子	2:42:02	0:40:45	0:03:50	1:13:21	0:44:06	
127	866	小倉 遥	女	35-39女子	2:42:04	0:27:14	0:03:20	1:23:49	0:47:41	
128	679	桒野 友佑	男	35-39男子	2:42:38	0:31:57	0:03:33	1:26:52	0:40:16	
129	269	片岡 桂太	男	40-44男子	2:42:43	0:36:01	0:04:26	1:18:29	0:43:47	
130	400	鈴木 浩樹	男	45-49男子	2:42:43	0:42:24	0:05:55	1:27:43	0:26:41	DSQ
131	331	齋藤 健介	男	45-49男子	2:42:58	0:30:36	0:03:37	1:18:22	0:50:23	
132	650	榛澤 尚武	男	55-59男子	2:43:10	0:28:06	0:03:26	1:14:29	0:57:09	
133	369	三浦 健二	男	45-49男子	2:43:19	0:35:26	0:04:01	1:12:27	0:51:25	
134	361	可児 伸広	男	45-49男子	2:43:25	0:35:47	0:04:48	1:15:36	0:47:14	
135	452	鈴木 正毅	男	50-54男子	2:43:26	0:29:33	0:03:07	1:18:16	0:52:30	
136	155	川戸 康司	男	35-39男子	2:43:31	0:34:19	0:05:04	1:20:59	0:43:09	
137	768	逸見 勇貴	男	30-34男子	2:43:50	0:28:45	0:03:58	1:23:23	0:47:44	
138	348	Mira Alfaro Emilio Jose	男	45-49男子	2:43:51	0:38:47	0:05:11	1:15:08	0:44:45	
139	161	三浦 翔太	男	35-39男子	2:44:00	0:24:45	0:03:15	1:24:14	0:51:46	
140	517	石井 慶太	男	50-54男子	2:44:04	0:28:54	0:03:12	1:19:06	0:52:52	
141	371	加藤 彰宏	男	45-49男子	2:44:15	0:30:30	0:04:51	1:18:36	0:50:18	
142	265	野田 農	男	40-44男子	2:44:24	0:33:43	0:03:55	1:14:48	0:51:58	
143	180	杉田 一暢	男	35-39男子	2:44:47	0:42:09	0:04:06	1:15:12	0:43:20	
144	555	小池 誠治	男	55-59男子	2:44:53	0:31:36	0:04:28	1:15:38	0:53:11	
145	68	小野 誠士	男	25-29男子	2:45:35	0:30:33	0:04:18	1:22:47	0:47:57	
146	685	魚津 悠介	男	40-44男子	2:45:35	0:40:33	0:03:27	1:17:39	0:43:56	
147	446	髙橋 祐一郎	男	50-54男子	2:45:37	0:37:59	0:04:39	1:11:58	0:51:01	
148	53	武田 伊織	男	25-29男子	2:45:39	0:38:05	0:05:26	1:10:08	0:52:00	
149	458	白井 伸明	男	50-54男子	2:45:39	0:33:41	0:04:06	1:16:37	0:51:15	
150	246	山村 周平	男	40-44男子	2:45:47	0:41:29	0:04:55	1:15:14	0:44:09	
151	416	尾崎 陽	男	45-49男子	2:45:49	0:36:03	0:03:13	1:18:16	0:48:17	
152	838	穴田 慎次郎	男	50-54男子	2:45:51	0:30:36	0:03:53	1:18:56	0:52:26	
153	868	藤木 美貴	女	35-39女子	2:45:51	0:25:22	0:03:47	1:27:51	0:48:51	
154	668	高倉 徹	男	60-64男子	2:45:53	0:33:20	0:04:35	1:17:29	0:50:29	
155	781	冨田 良	男	35-39男子	2:45:57	0:34:14	0:03:50	1:15:34	0:52:19	
156	350	須々木 宏次	男	45-49男子	2:45:59	0:30:57	0:05:20	1:23:55	0:45:47	
157	285	中村 達矢	男	40-44男子	2:45:59	0:37:04	0:03:21	1:19:16	0:46:18	
158	241	西村 廣起	男	40-44男子	2:46:04	0:34:16	0:05:40	1:18:04	0:48:04	
159	613	中山 浩志	男	55-59男子	2:46:12	0:39:19	0:04:14	1:11:54	0:50:45	
160	239	田中 淳平	男	40-44男子	2:46:15	0:37:47	0:06:10	1:10:46	0:51:32	
161	115	中村 和樹	男	30-34男子	2:46:15	0:25:23	0:04:17	1:17:17	0:59:18	
162	99	小林 直人	男	30-34男子	2:46:20	0:32:26	0:03:05	1:19:06	0:51:43	
163	720	秤屋 尚生	男	60-64男子	2:46:29	0:31:09	0:04:49	1:13:24	0:57:07	
164	871	櫻井 広美	女	40-44女子	2:46:32	0:29:44	0:03:03	1:25:10	0:48:35	
165	411	佐々木 誠	男	45-49男子	2:46:34	0:25:19	0:03:30	1:23:29	0:54:16	
166	714	徳倉 基宏	男	60-64男子	2:46:37	0:26:41	0:04:00	1:20:56	0:55:00	
167	126	仲村 圭祐	男	30-34男子	2:46:40	0:37:44	0:03:42	1:13:01	0:52:13	
168	488	小鹿 文彦	男	50-54男子	2:46:48	0:35:57	0:04:40	1:19:04	0:47:07	
169	497	高橋 義典	男	50-54男子	2:46:51	0:28:57	0:04:09	1:23:59	0:49:46	
170	200	友國 弘規	男	35-39男子	2:46:52	0:33:24	0:04:12	1:17:21	0:51:55	
171	227	重野 剛志	男	40-44男子	2:46:56	0:25:43	0:03:45	1:23:22	0:54:06	
172	288	春原 有貴	男	40-44男子	2:47:01	0:39:06	0:04:06	1:12:24	0:51:25	
173	347	白田 智明	男	45-49男子	2:47:03	0:30:28	0:04:01	1:15:12	0:57:22	
174	97	金 希匡	男	30-34男子	2:47:09	0:32:36	0:04:09	1:16:57	0:53:27	
175	421	斉藤 信行	男	45-49男子	2:47:11	0:31:30	0:03:49	1:18:22	0:53:30	
176	357	片岡 弘至	男	45-49男子	2:47:11	0:33:08	0:05:30	1:18:33	0:50:00	
177	128	青木 大地	男	30-34男子	2:47:20	0:31:53	0:03:48	1:19:54	0:51:45	
178	670	川原 広美	男	60-64男子	2:47:25	0:31:13	0:03:38	1:21:23	0:51:11	
179	168	田口 大誠	男	35-39男子	2:47:28	0:33:05	0:03:46	1:20:33	0:50:04	
180	554	赤瀬 一夫	男	55-59男子	2:47:36	0:33:54	0:04:40	1:12:55	0:56:07	
181	433	八尋 大	男	50-54男子	2:47:44	0:24:24	0:04:32	1:23:52	0:54:56	
182	119	米田 感人	男	30-34男子	2:47:45	0:30:28	0:03:20	1:22:08	0:51:49	
183	618	谷口 博康	男	55-59男子	2:47:54	0:31:15	0:03:55	1:16:18	0:56:26	
184	317	佐藤 和幸	男	45-49男子	2:48:15	0:28:52	0:04:12	1:18:17	0:56:54	
185	287	川村 賢史	男	40-44男子	2:48:21	0:39:35	0:03:59	1:16:07	0:48:40	
186	245	佐藤 基	男	40-44男子	2:48:45	0:33:26	0:04:15	1:23:06	0:47:58	
187	811	大森 慎司	男	40-44男子	2:48:57	0:30:46	0:04:55	1:22:30	0:50:46	
188	256	木月 浩平	男	40-44男子	2:49:08	0:28:06	0:04:31	1:18:47	0:57:44	
189	313	今村 誠	男	45-49男子	2:49:11	0:31:20	0:06:17	1:20:27	0:51:07	
190	12	上田 壮佑	男	20-24男子	2:49:38	0:39:39	0:06:30	1:11:16	0:52:13	
191	359	市川 卓生	男	45-49男子	2:49:56	0:32:57	0:04:56	1:22:26	0:49:37	
192	213	永島 寛士	男	40-44男子	2:50:01	0:30:40	0:03:42	1:21:00	0:54:39	
193	45	山﨑 洋平	男	25-29男子	2:50:04	0:33:13	0:04:23	1:26:04	0:46:24	
194	414	佐俣 裕信	男	45-49男子	2:50:08	0:29:16	0:06:31	1:26:19	0:48:02	
195	487	松清 大	男	50-54男子	2:50:25	0:32:41	0:06:12	1:18:01	0:53:31	
196	854	木戸 まとい	女	20-24女子	2:50:30	0:25:14	0:04:07	1:28:00	0:53:09	
197	543	伊藤 泰寿	男	50-54男子	2:50:40	0:31:13	0:04:32	1:21:26	0:53:29	
198	567	津山 恒	男	55-59男子	2:50:53	0:36:10	0:05:40	1:19:05	0:49:58	
199	80	岩田 大樹	男	25-29男子	2:50:57	0:32:22	0:05:12	1:22:35	0:50:48	
200	323	脇屋 博幸	男	45-49男子	2:50:57	0:32:41	0:04:58	1:29:47	0:43:31	
201	757	木村 大介	男	25-29男子	2:51:08	0:35:39	0:05:00	1:21:04	0:49:25	
202	669	高橋 治	男	60-64男子	2:51:23	0:33:12	0:04:58	1:25:25	0:47:48	
203	171	寺田 茂紀	男	35-39男子	2:51:23	0:29:19	0:05:43	1:22:26	0:53:55	
204	389	林 健太郎	男	45-49男子	2:51:28	0:34:37	0:03:47	1:16:24	0:56:40	
205	380	藤森 浩之	男	45-49男子	2:51:29	0:33:28	0:04:41	1:23:17	0:50:03	
206	545	長谷部 吉紀	男	50-54男子	2:51:30	0:31:19	0:03:51	1:19:43	0:56:37	
207	30	北口 大悟	男	25-29男子	2:51:35	0:32:34	0:07:57	1:25:04	0:46:00	
208	122	落合 祐貴	男	30-34男子	2:51:41	0:32:11	0:05:06	1:23:19	0:51:05	
209	59	尾崎 友秋	男	25-29男子	2:51:45	0:31:26	0:04:29	1:25:08	0:50:42	
210	346	高野 佑造	男	45-49男子	2:51:46	0:32:53	0:04:20	1:24:22	0:50:11	
211	888	俵 るみ子	女	45-49女子	2:51:49	0:33:53	0:03:23	1:21:38	0:52:55	
212	48	小山 宜洋	男	25-29男子	2:51:56	0:33:43	0:03:39	1:23:33	0:51:01	
213	419	野中 秋世	男	45-49男子	2:51:57	0:34:42	0:04:08	1:24:35	0:48:32	
214	652	竹迫 実	男	55-59男子	2:51:59	0:30:58	0:05:34	1:27:27	0:48:00	
215	306	新谷 健城	男	45-49男子	2:52:06	0:25:49	0:06:50	1:31:26	0:48:01	
216	148	高橋 大智	男	35-39男子	2:52:09	0:42:32	0:03:41	1:25:36	0:40:20	
217	824	中丸 隆一郎	男	50-54男子	2:52:11	0:34:26	0:03:31	1:21:02	0:53:12	
218	450	下嶋 聖二	男	50-54男子	2:52:14	0:27:09	0:04:11	1:22:08	0:58:46	
219	237	糸賀 佳朋	男	40-44男子	2:52:21	0:40:26	0:03:19	1:17:25	0:51:11	
220	603	小岩井 英樹	男	55-59男子	2:52:26	0:28:29	0:04:14	1:23:58	0:55:45	
221	255	四軒家 省三	男	40-44男子	2:52:35	0:31:43	0:03:45	1:24:02	0:53:05	
222	314	下間 敬之	男	45-49男子	2:52:38			1:22:19	1:07:24	SKIP
223	571	阿部 厚司	男	55-59男子	2:52:39	0:36:02	0:04:16	1:20:07	0:52:14	
224	678	星川 健夫	男	35-39男子	2:52:44	0:36:42	0:03:54	1:23:13	0:48:55	
225	645	斉藤 親	男	55-59男子	2:52:46	0:29:52	0:02:57	1:22:15	0:57:42	
226	608	松原 洋	男	55-59男子	2:52:48	0:29:32	0:03:58	1:31:41	0:47:37	
227	280	伊藤 竜広	男	40-44男子	2:53:02	0:30:39	0:05:38	1:33:42	0:43:03	
228	303	毛利 浩二郎	男	45-49男子	2:53:13	0:33:39	0:05:25	1:19:14	0:54:55	
229	763	梶川 琢馬	男	30-34男子	2:53:15	0:29:51	0:05:39	1:19:39	0:58:06	
230	270	古嶋 俊明	男	40-44男子	2:53:21	0:43:13	0:04:56	1:19:18	0:45:54	
231	390	黒石 晃介	男	45-49男子	2:53:26	0:35:58	0:04:34	1:23:43	0:49:11	
232	56	渡邉 佑哉	男	25-29男子	2:53:32	0:35:00	0:05:30	1:25:43	0:47:19	
233	44	佐々木 諒太朗	男	25-29男子	2:53:39	0:27:34	0:03:25	1:24:00	0:58:40	
234	786	井本 悠樹	男	35-39男子	2:53:40	0:34:09	0:04:12	1:22:56	0:52:23	
235	877	岩尾 珠希	女	40-44女子	2:53:42	0:28:02	0:04:09	1:30:18	0:51:13	
236	283	板倉 理造	男	40-44男子	2:53:45	0:34:52	0:05:17	1:24:08	0:49:28	
237	222	椎葉 洋	男	40-44男子	2:54:01	0:32:12	0:04:13	1:23:39	0:53:57	
238	529	内山 篤	男	50-54男子	2:54:03	0:35:44	0:04:34	1:20:35	0:53:10	
239	278	佐藤 賢	男	40-44男子	2:54:09	0:29:16	0:05:34	1:21:17	0:58:02	
240	375	友永 惠大	男	45-49男子	2:54:13	0:22:57	0:03:03	1:20:16	1:07:57	
241	79	大黒 康介	男	25-29男子	2:54:14	0:31:22	0:05:04	1:26:53	0:50:55	
242	387	岡本 康弘	男	45-49男子	2:54:18	0:26:43	0:04:05	1:25:37	0:57:53	
243	477	松枝 宏司	男	50-54男子	2:54:26	0:39:42	0:05:34	1:14:45	0:54:25	
244	456	小池 紀洋	男	50-54男子	2:54:30	0:35:56	0:03:51	1:21:55	0:52:48	
245	17	中庭 礼	男	20-24男子	2:54:31	0:43:32	0:05:11	1:21:07	0:44:41	
246	232	里見 直也	男	40-44男子	2:54:40	0:46:20	0:03:46	1:16:16	0:48:18	
247	286	江畑 将也	男	40-44男子	2:54:42	0:30:26	0:04:03	1:24:11	0:56:02	
248	264	水口 直也	男	40-44男子	2:54:54	0:34:04	0:05:15	1:25:14	0:50:21	
249	70	及川 博斗	男	25-29男子	2:55:05	0:28:35	0:04:54	1:24:41	0:56:55	
250	849	幸村 秀生	男	60-64男子	2:55:18	0:35:41	0:04:16	1:23:31	0:51:50	
251	790	赤星 友太	男	40-44男子	2:55:27	0:35:29	0:04:53	1:22:34	0:52:31	
252	396	西川 仁	男	45-49男子	2:55:31	0:27:11	0:03:59	1:20:56	1:03:25	
253	22	林 稜梧	男	20-24男子	2:55:37	0:27:57	0:03:54	1:20:15	1:03:31	
254	72	堀田 将生	男	25-29男子	2:55:42	0:33:45	0:03:03	1:25:37	0:53:17	
255	557	菊池 英二	男	55-59男子	2:55:42	0:42:28	0:05:49	1:18:37	0:48:48	
256	133	伊藤 太一	男	30-34男子	2:55:50	0:33:55	0:06:09	1:25:43	0:50:03	
257	182	渡辺 貴男	男	35-39男子	2:56:02	0:38:47	0:05:40	1:26:44	0:44:51	
258	91	佐藤 亮介	男	30-34男子	2:56:03	0:41:27	0:07:05	1:21:47	0:45:44	
259	622	上原 一男	男	55-59男子	2:56:17	0:33:40	0:05:23	1:22:05	0:55:09	
260	165	山本 和宏	男	35-39男子	2:56:25	0:33:30	0:04:51	1:24:36	0:53:28	
261	401	廣川 敦史	男	45-49男子	2:56:25	0:34:36	0:03:24	1:17:32	1:00:53	
262	41	大橋 尚悟	男	25-29男子	2:56:29	0:37:05	0:02:59	1:25:44	0:50:41	
263	709	広見 松男	男	60-64男子	2:56:30	0:31:38	0:04:17	1:23:38	0:56:57	
264	175	黒田 雄太	男	35-39男子	2:56:33	0:44:32	0:04:54	1:18:53	0:48:14	
265	329	永野 雅之	男	45-49男子	2:56:47	0:35:28	0:05:08	1:24:23	0:51:48	
266	582	名倉 良雄	男	55-59男子	2:56:49	0:28:48	0:04:57	1:17:58	1:05:06	
267	236	小泉 佑介	男	40-44男子	2:57:15	0:36:11	0:04:24	1:20:21	0:56:19	
268	501	西井 健一	男	50-54男子	2:57:24	0:34:18	0:05:16	1:18:48	0:59:02	
269	404	潮田 和也	男	45-49男子	2:57:37	0:38:07	0:07:14	1:20:59	0:51:17	
270	483	羽尾 和久	男	50-54男子	2:57:37	0:46:01	0:05:03	1:16:26	0:50:07	
271	526	西野谷 旅	男	50-54男子	2:57:41	0:31:48	0:06:51	1:25:29	0:53:33	
