総合順位	No.	氏名	年齢	性別	登録	総合記録	ｽｲﾑﾗｯﾌﾟ	Ｓ順	ﾊﾞｲｸﾗｯﾌﾟ	Ｂ順	ｽﾌﾟﾘｯﾄ	通過	ﾗﾝﾗｯﾌﾟ	Ｒ順	男子順位	女子順位	年齢区分	年齡別順	選手権順
50	1556	須田 泰之	59	男	長野県	1:39:10	0:21:28	57	0:48:32	47	1:10:00	54	0:29:10	49	45		20歳以上男子	35	
51	1544	浜本 英昭	51	男	愛知県	1:39:19	0:24:29	65	0:51:13	56	1:15:42	61	0:23:37	18	46		20歳以上男子	36	
52	1505	坂川 紘一	25	男	愛知県	1:39:32	0:18:36	43	0:51:16	57	1:09:52	53	0:29:40	53	47		20歳以上男子	37	
53	1511	木村 有至	27	男	愛知県	1:40:23	0:20:21	55	0:51:26	58	1:11:47	56	0:28:36	43	48		20歳以上男子	38	
54	1545	向井 雅文	51	男	福井県	1:40:40	0:16:00	27	0:49:00	49	1:05:00	37	0:35:40	67	49		20歳以上男子	39	
55	1508	黒澤 進伍	26	男	愛知県	1:40:46	0:22:10	60	0:48:54	48	1:11:04	55	0:29:42	54	50		20歳以上男子	40	
56	1555	古井 佳雄	58	男	愛知県	1:41:09	0:17:35	32	0:50:27	55	1:08:02	50	0:33:07	65	51		20歳以上男子	41	
57	1560	村田 吉昭	63	男	愛知県	1:41:23	0:25:59	67	0:49:48	52	1:15:47	62	0:25:36	25	52		20歳以上男子	42	
58	1567	坂上 悦子	50	女	東京都	1:41:30	0:18:25	41	0:53:50	62	1:12:15	57	0:29:15	51		6	20歳以上女子	2	
59	1549	伊藤 秀司	53	男	愛知県	1:44:14	0:22:43	63	0:52:45	61	1:15:28	59	0:28:46	46	53		20歳以上男子	43	
60	1557	落合 公昭	61	男	長野県	1:47:06	0:22:37	62	0:46:41	39	1:09:18	52	0:37:48	69	54		20歳以上男子	44	
61	1548	増田 公基	52	男	静岡県	1:47:18	0:18:18	37	0:58:46	67	1:17:04	63	0:30:14	58	55		20歳以上男子	45	
62	1561	服部 和都美	27	女	愛知県	1:47:35	0:17:58	35	0:55:58	65	1:13:56	58	0:33:39	66		7	20歳以上女子	3	
63	1551	崔 利浩	54	男	愛知県	1:48:29	0:21:36	58	0:53:59	64	1:15:35	60	0:32:54	63	56		20歳以上男子	46	
64	1519	岡本 一輝	32	男	愛知県	1:50:52	0:29:12	70	0:51:45	60	1:20:57	66	0:29:55	57	57		20歳以上男子	47	
65	1568	中山 裕海	56	女	愛知県	1:51:13	0:24:26	64	0:53:57	63	1:18:23	64	0:32:50	61		8	20歳以上女子	4	
66	1563	今泉 真奈美	37	女	愛知県	1:54:18	0:22:33	61	1:01:52	69	1:24:25	70	0:29:53	56		9	20歳以上女子	5	
67	1520	山本 晃基	32	男	愛知県	1:55:02	0:21:50	59	1:00:18	68	1:22:08	68	0:32:54	64	58		20歳以上男子	48	
68	1537	田中 浩司	46	男	愛知県	1:55:04	0:25:59	66	0:56:14	66	1:22:13	69	0:32:51	62	59		20歳以上男子	49	
69	1542	降幡 幸徳	49	男	長野県	1:56:20	0:28:22	69	0:51:26	59	1:19:48	65	0:36:32	68	60		20歳以上男子	50	
70	1540	守屋 直行	48	男	愛知県	2:18:12	0:16:45	29	1:04:33	70	1:21:18	67	0:56:54	70	61		20歳以上男子	51	
SKIP	1532	遠山 正和	43	男	愛知県				0:42:22				0:34:23				20歳以上男子		
SKIP	1565	小石原 裕子	42	女	愛知県				0:48:00				0:46:12				20歳以上女子		
DSQ	1510	池田 直人	27	男	愛知県				0:48:54				0:24:37				20歳以上男子		
DSQ	1513	大矢 敏史	28	男	愛知県	1:00:32	0:20:50		0:26:53		0:47:43		0:12:49				20歳以上男子		
DSQ	1515	鈴木 大悟	28	男	愛知県	1:14:44	0:15:55		0:44:10		1:00:05		0:14:39				20歳以上男子		
DSQ	1546	鈴木 悟	52	男	静岡県	1:25:33	0:16:18		0:52:04		1:08:22		0:17:11				20歳以上男子		
DNF	1564	木村 いつか	37	女	愛知県		0:17:42										20歳以上女子		
DNF	1524	布野 孝幸	33	男	愛知県		0:19:04										20歳以上男子		
DNS	1003	長尾 星史朗	17	男	愛知県												19歳以下男子		
DNS	1525	稲葉 尚輝	34	男	愛知県												20歳以上男子		
DNS	1531	村上 知史	42	男	愛知県												20歳以上男子		
DNS	1562	清水 七実	29	女	愛知県												20歳以上女子		
