総合順位	No.	氏名	性別	年齢区分	合計タイム	Swimラップ	S順	バイクラップ	B順	通過	ランラップ	R順	年代別順位
44	247	楮原 裕二	男	30代	2:32:55	0:31:59	18	1:17:00	8	11	0:43:56	11	11
46	231	安⻫ 昌照	男	30代	2:33:26	0:26:03	2	1:21:54	20	7	0:45:30	16	12
48	219	瀧 敬⼠	男	30代	2:33:52	0:34:12	29	1:17:39	10	19	0:42:02	8	13
54	227	太田 晃⽣	男	30代	2:35:49	0:26:13	3	1:21:45	19	8	0:47:52	20	14
58	246	山本 直樹	男	30代	2:36:45	0:32:36	22	1:16:23	6	10	0:47:47	19	15
72	207	中村 兼悟	男	30代	2:41:02	0:32:12	21	1:20:49	16	20	0:48:02	22	16
73	228	堀江 祥平	男	30代	2:41:13	0:32:56	24	1:18:09	11	16	0:50:09	24	17
74	203	東田 優紀	男	30代	2:41:20	0:30:45	16	1:20:15	15	15	0:50:21	25	18
80	229	中西 智之	男	30代	2:42:26	0:33:40	28	1:23:21	23	23	0:45:26	15	19
82	250	西山 紀章	男	30代	2:43:29	0:31:57	17	1:27:28	34	27	0:44:05	12	20
85	214	正岡 晃	男	30代	2:44:39	0:27:39	6	1:25:40	29	21	0:51:22	29	21
92	248	脇坂 雄三	男	30代	2:46:12	0:32:03	19	1:19:34	12	18	0:54:37	37	22
95	212	堀内 浩貴	男	30代	2:47:06	0:33:40	27	1:23:59	26	25	0:49:29	23	23
103	204	阿部 真吾	男	30代	2:47:59	0:29:17	12	1:25:10	28	22	0:53:33	33	24
107	254	河村 隆之	男	30代	2:48:53	0:42:29	45	1:24:52	27	38	0:41:33	6	25
111	210	神田 達哉	男	30代	2:49:38	0:30:43	15	1:26:35	31	24	0:52:22	30	26
117	221	澤井 和宏	男	30代	2:50:44	0:46:27	49	1:21:20	17	39	0:42:58	9	27
118	240	中丸 大輔	男	30代	2:50:58	0:32:43	23	1:32:25	44	31	0:45:52	17	28
123	232	川田 浩史	男	30代	2:52:41	0:39:19	40	1:19:35	13	26	0:53:48	35	29
129	243	伊東 和則	男	30代	2:53:42	0:27:37	5	1:22:57	22	14	1:03:09	45	30
137	257	西川 礼司	男	30代	2:56:37	0:34:54	32	1:28:55	36	29	0:52:49	32	31
140	255	今村 俊介	男	30代	2:56:45	0:41:38	44	1:29:56	37	44	0:45:12	14	32
141	209	小村 哲哉	男	30代	2:57:24	0:39:05	39	1:27:17	32	36	0:51:03	28	33
144	206	岡本 祐一	男	30代	2:57:46	0:33:10	25	1:32:03	41	32	0:52:34	31	34
149	236	長野 ⻯也	男	30代	2:58:46	0:39:58	42	1:23:58	25	30	0:54:50	38	35
150	253	中川 大輔	男	30代	2:59:01	0:45:12	48	1:25:55	30	43	0:47:54	21	36
153	249	服部 ⾠樹	男	30代	2:59:41	0:37:24	34	1:22:52	21	28	0:59:26	41	37
154	202	島津 泰彦	男	30代	2:59:43	0:37:41	36	1:28:22	35	35	0:53:42	34	38
161	234	桐 知⺒	男	30代	3:01:25	0:38:31	38	1:32:09	42	42	0:50:46	27	39
166	211	木下 将詞	男	30代	3:03:37	0:33:34	26	1:31:41	40	33	0:58:22	40	40
168	213	藤原 雄司	男	30代	3:04:34	0:37:37	35	1:30:22	39	40	0:56:36	39	41
184	201	稲鍵 拓人	男	30代	3:06:51	0:38:29	37	1:27:25	33	34	1:00:58	43	42
213	226	江坂 洋亮	男	30代	3:16:04	0:34:37	31	1:38:24	47	45	1:03:04	44	43
215	245	秋田 和也	男	30代	3:16:45	0:34:34	30	1:32:26	45	37	1:09:46	49	44
219	223	郡嶋 秀樹	男	30代	3:19:53	0:55:54	50	1:30:04	38	49	0:53:56	36	45
220	230	堀内 一哉	男	30代	3:19:59	0:39:19	41	1:40:13	48	47	1:00:28	42	46
222	222	ダグラス アンソニー	男	30代	3:20:56	0:40:08	43	1:33:33	46	46	1:07:16	47	47
237	205	平岩 郷志	男	30代	3:31:06	0:42:43	46	1:42:04	49	48	1:06:20	46	48
265	239	⽶田 泰之	男	30代	4:02:21	0:43:10	47	2:11:35	50	50	1:07:37	48	49
4	334	森長 宏一	男	30代	2:16:47	0:26:02	1	1:12:07	1	1	0:38:39	2	1
5	314	広本 成志	男	30代	2:19:02	0:26:15	3	1:15:13	3	3	0:37:35	1	2
6	309	細川 政浩	男	30代	2:19:10	0:26:13	2	1:12:53	2	2	0:40:05	3	3
23	321	木村 哲也	男	30代	2:27:17	0:28:23	6	1:17:49	8	4	0:41:06	6	4
27	310	沖野 剛久	男	30代	2:29:19	0:32:00	12	1:17:12	6	9	0:40:08	4	5
40	302	神崎 宏治	男	30代	2:31:52	0:31:53	11	1:16:13	5	6	0:43:47	8	6
43	320	石井 伸佑	男	30代	2:32:15	0:26:56	4	1:19:36	9	5	0:45:44	11	7
51	329	木南 和彦	男	30代	2:34:45	0:31:26	10	1:21:21	12	11	0:41:59	7	8
52	331	丸岡 正和	男	30代	2:34:51	0:27:35	5	1:20:55	10	8	0:46:22	12	9
55	332	梶山 英昭	男	30代	2:35:55	0:30:26	7	1:17:48	7	7	0:47:42	14	10
62	338	石川 吾郎	男	30代	2:37:46	0:31:12	9	1:21:23	13	10	0:45:12	9	11
66	330	⾶嶋 和寿	男	30代	2:39:17	0:43:08	25	1:15:37	4	16	0:40:33	5	12
75	325	上坊 幸裕	男	30代	2:41:30	0:30:39	8	1:25:23	16	13	0:45:29	10	13
106	333	長⾕川 猛	男	30代	2:48:47	0:32:23	13	1:25:40	17	15	0:50:45	16	14
109	311	江原 研	男	30代	2:49:25	0:33:32	17	1:21:20	11	12	0:54:34	19	15
116	306	池田 靖夫	男	30代	2:50:30	0:35:20	20	1:27:46	21	19	0:47:25	13	16
133	318	田島 憲一	男	30代	2:55:30	0:44:40	27	1:21:55	14	21	0:48:56	15	17
142	315	平前 有史	男	30代	2:57:25	0:34:31	19	1:22:00	15	14	1:00:55	24	18
145	327	伊藤 俊一郎	男	30代	2:58:02	0:36:23	21	1:26:42	19	18	0:54:59	20	19
151	312	小宮山 眞	男	30代	2:59:08	0:32:49	15	1:33:30	24	20	0:52:51	17	20
155	301	田中 雅之	男	30代	2:59:50	0:34:00	18	1:27:10	20	17	0:58:42	21	21
196	339	⽵田 智治	男	30代	3:10:55	0:32:39	14	1:36:18	27	22	1:01:59	25	22
203	337	佐藤 孝徳	男	30代	3:12:26	0:38:49	23	1:33:53	25	24	0:59:46	22	23
214	303	山中 武	男	30代	3:16:21	0:33:19	16	1:39:51	29	25	1:03:13	26	24
221	305	高橋 隆二	男	30代	3:20:10	0:51:08	31	1:28:18	22	26	1:00:45	23	25
224	336	伊藤 靖哲	男	30代	3:22:15	0:43:13	26	1:45:32	32	31	0:53:32	18	26
225	328	宮⾕ 直希	男	30代	3:23:33	0:45:35	28	1:26:13	18	23	1:11:46	30	27
228	324	嵯峨根 康之	男	30代	3:27:48	0:47:45	30	1:34:49	26	28	1:05:16	27	28
230	317	中井 健二	男	30代	3:29:12	0:38:20	22	1:41:39	30	27	1:09:14	29	29
235	304	白木 智宏	男	30代	3:30:49	0:46:54	29	1:38:20	28	29	1:05:36	28	30
256	308	桑田 徹也	男	30代	3:50:09	1:04:33	32	1:28:41	23	32	1:16:56	31	31
261	316	岡崎 太	男	30代	3:54:37	0:41:45	24	1:44:12	31	30	1:28:41	32	32
8	448	奥山 知昭	男	30代	2:20:43	0:28:07	6	1:11:26	1	1	0:41:11	4	1
11	401	名越 秀国	男	30代	2:22:36	0:26:11	1	1:16:32	5	3	0:39:55	1	2
12	456	西村 直章	男	30代	2:24:10	0:28:14	9	1:13:22	2	2	0:42:35	9	3
17	420	坂本 宗章	男	30代	2:25:47	0:27:17	4	1:16:36	6	4	0:41:56	8	4
18	446	⾕岡 道悦	男	30代	2:26:17	0:26:25	2	1:18:27	11	5	0:41:26	6	5
31	416	佐藤 昭則	男	30代	2:30:23	0:29:36	15	1:16:16	4	7	0:44:33	13	6
32	415	中野 徹	男	30代	2:30:30	0:28:42	12	1:21:26	16	12	0:40:22	3	7
38	441	兼友 正明	男	30代	2:31:45	0:30:52	19	1:18:08	10	11	0:42:46	10	8
39	434	高⾕ 佳宏	男	30代	2:31:49	0:33:17	25	1:18:29	12	16	0:40:03	2	9
45	414	入江 誠	男	30代	2:33:11	0:29:04	13	1:17:07	7	8	0:47:02	17	10
49	429	富澤 裕行	男	30代	2:34:12	0:29:20	14	1:23:40	19	17	0:41:13	5	11
53	447	大田 慎三	男	30代	2:35:06	0:28:11	8	1:18:57	13	9	0:47:59	19	12
64	451	倉本 昌司	男	30代	2:38:30	0:28:08	7	1:17:36	8	6	0:52:48	30	13
65	402	真田 祐治	男	30代	2:39:12	0:35:39	33	1:15:55	3	15	0:47:38	18	14
68	409	茂野 雅彦	男	30代	2:39:52	0:27:58	5	1:25:55	26	19	0:46:00	15	15
77	412	日高 裕一	男	30代	2:42:00	0:33:12	24	1:17:51	9	14	0:50:57	25	16
78	417	田村 忠⼠	男	30代	2:42:09	0:32:19	22	1:28:24	31	25	0:41:27	7	17
81	440	友井 則美	男	30代	2:42:38	0:26:37	3	1:22:15	17	10	0:53:48	34	18
83	407	⽚山 晃	男	30代	2:43:56	0:28:37	11	1:25:18	23	20	0:50:02	22	19
89	403	伊藤 瑞樹	男	30代	2:45:32	0:33:56	28	1:20:25	15	21	0:51:13	27	20
90	427	石村 和之	男	30代	2:45:40	0:29:40	16	1:25:49	25	22	0:50:12	23	21
100	438	東 伸治	男	30代	2:47:48	0:30:31	18	1:26:14	27	23	0:51:03	26	22
102	426	鈴木 勝弘	男	30代	2:47:57	0:29:53	17	1:20:18	14	13	0:57:47	45	23
108	432	井上 久一	男	30代	2:49:03	0:35:30	32	1:29:41	32	28	0:43:53	11	24
114	424	稻田 修敏	男	30代	2:50:11	0:31:04	20	1:22:47	18	18	0:56:21	41	25
120	405	⽜見 誠	男	30代	2:51:46	0:31:25	21	1:33:56	36	29	0:46:26	16	26
121	444	川村 史明	男	30代	2:51:52	0:39:07	37	1:28:04	30	31	0:44:41	14	27
122	452	足⽴ 昌章	男	30代	2:52:03	0:33:24	26	1:24:50	22	24	0:53:49	35	28
134	419	尾崎 登	男	30代	2:55:53	0:35:25	31	1:25:25	24	26	0:55:05	39	29
147	406	岡田 充弘	男	30代	2:58:26	0:40:31	41	1:24:29	20	27	0:53:26	32	30
158	439	日野 健一	男	30代	3:00:40	0:36:28	34	1:34:16	37	35	0:49:57	21	31
164	437	西川 正⽂	男	30代	3:02:54	0:41:37	43	1:37:03	41	45	0:44:14	12	32
167	431	友重 昌泰	男	30代	3:04:14	0:41:37	42	1:27:53	29	34	0:54:45	38	33
172	449	安齋 清志	男	30代	3:04:56	0:40:21	40	1:26:27	28	30	0:58:10	46	34
173	428	松本 浩	男	30代	3:05:05	0:28:30	10	1:40:01	46	32	0:56:36	44	35
174	423	野間 康宏	男	30代	3:05:17	0:49:56	48	1:24:31	21	40	0:50:52	24	36
175	422	沖原 昌幸	男	30代	3:05:22	0:37:54	35	1:31:08	34	33	0:56:21	40	37
180	411	西井 桂一	男	30代	3:06:22	0:33:49	27	1:39:50	45	38	0:52:44	29	38
183	457	佐藤 稔	男	30代	3:06:41	0:45:42	46	1:31:31	35	43	0:49:29	20	39
186	450	澤田 正宏	男	30代	3:07:06	0:34:50	30	1:38:40	43	37	0:53:37	33	40
200	455	児⽟ 哲洋	男	30代	3:11:57	0:34:05	29	1:41:26	48	41	0:56:27	42	41
201	404	日野 聡	男	30代	3:12:08	0:43:43	44	1:34:23	38	44	0:54:03	36	42
206	433	元家 孝治	男	30代	3:13:10	0:40:07	39	1:36:33	40	42	0:56:30	43	43
216	418	野坂 博	男	30代	3:17:02	0:46:05	47	1:38:43	44	47	0:52:15	28	44
217	454	小蔦 道雄	男	30代	3:18:00	0:43:53	45	1:29:50	33	39	1:04:18	47	45
223	445	⽵田 典靖	男	30代	3:22:04	0:50:06	49	1:37:29	42	48	0:54:30	37	46
226	442	小林 徹伸	男	30代	3:24:23	0:38:12	36	1:34:43	39	36	1:11:29	49	47
249	421	森田 哲司	男	30代	3:39:46	0:39:55	38	1:40:38	47	46	1:19:14	50	48
257	443	中原 圭介	男	30代	3:50:45	0:55:08	50	2:02:22	50	50	0:53:16	31	49
264	435	大崎 雅彦	男	30代	3:58:45	0:58:31	51	1:52:28	49	49	1:07:48	48	50
20	545	井上 盛⽂	男	50代	2:26:31	0:29:01	9	1:15:48	5	5	0:41:43	1	1
22	541	川西 隆史	男	50代	2:27:10	0:28:20	7	1:15:38	4	3	0:43:13	2	2
25	548	坪井 修一	男	50代	2:28:19	0:29:10	10	1:14:21	1	2	0:44:48	7	3
28	513	大田 泰正	男	50代	2:29:43	0:28:05	6	1:14:41	2	1	0:46:58	9	4
36	510	山本 浩二	男	50代	2:31:09	0:29:24	11	1:14:42	3	4	0:47:04	11	5
41	550	下 隆俊	男	50代	2:32:01	0:26:43	2	1:18:09	7	6	0:47:10	12	6
47	552	尾崎 宏康	男	50代	2:33:37	0:29:55	12	1:19:58	8	8	0:43:45	4	7
60	553	茅野 真	男	50代	2:37:19	0:32:37	22	1:20:44	9	10	0:43:59	5	8
67	528	福本 雅和	男	50代	2:39:24	0:30:33	15	1:21:50	10	9	0:47:02	10	9
69	521	永田 善郎	男	50代	2:40:31	0:30:57	18	1:17:59	6	7	0:51:36	24	10
76	540	前川 雅洋	男	50代	2:41:36	0:33:02	24	1:23:01	11	12	0:45:34	8	11
93	511	田中 康雄	男	50代	2:46:19	0:33:39	26	1:24:48	14	18	0:47:53	15	12
99	514	樋口 芳紀	男	50代	2:47:40	0:33:03	25	1:27:04	19	19	0:47:35	14	13
105	527	宝橋 敦	男	50代	2:48:45	0:26:53	3	1:29:10	24	13	0:52:43	25	14
110	535	中山 浩一	男	50代	2:49:28	0:30:26	13	1:27:54	21	17	0:51:10	22	15
113	512	森下 徹	男	50代	2:50:07	0:40:58	34	1:25:28	16	25	0:43:42	3	16
115	519	小川 浩二	男	50代	2:50:18	0:28:02	4	1:28:31	22	14	0:53:45	27	17
119	517	清 哲朗	男	50代	2:51:15	0:40:20	32	1:26:31	18	26	0:44:26	6	18
127	507	新山 忠	男	50代	2:53:13	0:30:27	14	1:24:32	13	11	0:58:16	31	19
128	530	小川 晃範	男	50代	2:53:27	0:38:01	31	1:25:20	15	22	0:50:08	19	20
131	554	河村 敏成	男	50代	2:54:22	0:28:37	8	1:34:37	30	21	0:51:09	21	21
132	509	今井 博隆	男	50代	2:54:27	0:28:03	5	1:32:46	27	20	0:53:38	26	22
139	525	柏木 和夫	男	50代	2:56:43	0:40:56	33	1:27:04	20	28	0:48:43	17	23
152	518	藤井 央⼰	男	50代	2:59:10	0:30:38	16	1:33:17	28	23	0:55:17	29	24
162	551	甲斐 利浩	男	50代	3:02:45	0:36:59	30	1:30:00	25	27	0:55:46	30	25
169	505	今井 広二	男	50代	3:04:36	0:47:39	44	1:28:48	23	31	0:48:10	16	26
171	506	藤井 義弘	男	50代	3:04:39	0:31:00	19	1:39:38	37	29	0:54:02	28	27
176	547	熊佐 俊介	男	50代	3:05:23	0:26:38	1	1:30:51	26	15	1:07:54	39	28
178	543	正長 伸二	男	50代	3:05:50	0:34:16	27	1:41:22	38	30	0:50:13	20	29
181	529	三苫 幸雄	男	50代	3:06:37	0:32:10	21	1:26:00	17	16	1:08:28	40	30
195	503	上村 将道	男	50代	3:10:50	0:43:03	36	1:36:25	31	35	0:51:23	23	31
197	549	高橋 浩一	男	50代	3:10:57	0:44:18	40	1:37:29	32	36	0:49:11	18	32
204	502	浅利 崇史	男	50代	3:12:30	0:46:23	42	1:38:57	36	42	0:47:11	13	33
208	531	茨田 二三夫	男	50代	3:14:47	0:32:45	23	1:43:46	42	32	0:58:17	32	34
209	520	丸田 賢悟	男	50代	3:14:49	0:30:43	17	1:34:00	29	24	1:10:07	42	35
227	504	多田 明弘	男	50代	3:25:19	0:36:19	28	1:42:31	40	34	1:06:30	36	36
231	516	鈴木 康史	男	50代	3:29:39	0:44:12	39	1:38:07	33	37	1:07:22	38	37
233	546	足⽴ 浩一	男	50代	3:30:18	0:44:02	37	1:45:29	44	44	1:00:48	33	38
239	522	三好 研治	男	50代	3:32:57	0:46:28	43	1:41:28	39	43	1:05:01	35	39
242	555	池田 尚明	男	50代	3:35:03	0:45:51	41	1:38:28	34	39	1:10:44	43	40
243	526	藤田 真幸	男	50代	3:35:22	0:48:09	45	1:45:09	43	46	1:02:04	34	41
248	544	三宅 一善	男	50代	3:38:26	0:31:51	20	1:46:03	45	33	1:20:33	46	42
254	538	野髙 義明	男	50代	3:43:31	0:44:03	38	1:46:23	46	45	1:13:06	45	43
258	532	赤木 政春	男	50代	3:52:30	1:06:49	49	1:38:54	35	48	1:06:48	37	44
259	523	斎原 哲也	男	50代	3:53:01	0:53:40	46	1:46:48	47	47	1:12:34	44	45
262	533	須藤 正雄	男	50代	3:55:20	0:36:32	29	1:48:02	48	40	1:30:47	47	46
263	536	槇岡 裕治	男	50代	3:55:32	0:41:11	35	1:43:27	41	41	1:30:55	48	47
50	601	安田 寛治	男	60以上	2:34:41	0:26:40	1	1:21:14	4	1	0:46:48	3	1
63	603	新井 千尋	男	60以上	2:38:00	0:30:53	4	1:18:27	1	3	0:48:40	5	2
71	613	原田 雄二	男	60以上	2:40:54	0:32:35	6	1:18:49	2	4	0:49:31	6	3
84	602	渡部 良太	男	60以上	2:44:07	0:29:09	2	1:20:06	3	2	0:54:52	8	4
88	615	⾕本 佳昭	男	60以上	2:44:59	0:31:29	5	1:26:58	6	5	0:46:33	2	5
97	612	三木 学	男	60以上	2:47:09	0:33:33	10	1:27:20	7	7	0:46:16	1	6
124	606	杉原 正一	男	60以上	2:52:45	0:34:40	12	1:29:33	10	11	0:48:33	4	7
138	610	岡崎 節男	男	60以上	2:56:42	0:33:09	8	1:28:30	8	9	0:55:04	9	8
143	614	権 明燦	男	60以上	2:57:37	0:32:51	7	1:26:25	5	6	0:58:23	12	9
160	616	下村 明敬	男	60以上	3:01:20	0:33:18	9	1:29:04	9	10	0:58:59	13	10
165	624	宮丸 公三	男	60以上	3:03:25	0:29:15	3	1:31:55	12	8	1:02:15	17	11
170	621	川本 正行	男	60以上	3:04:37	0:33:38	11	1:35:53	14	14	0:55:07	10	12
188	607	中川 和夫	男	60以上	3:07:55	0:37:32	18	1:30:34	11	12	0:59:49	15	13
192	618	広中 利次	男	60以上	3:09:23	0:37:18	17	1:32:12	13	13	0:59:54	16	14
218	604	⽵田 秋雄	男	60以上	3:18:10	0:44:19	21	1:36:15	17	20	0:57:37	11	15
234	628	松山 哲也	男	60以上	3:30:40	0:39:28	19	1:44:36	19	19	1:06:37	18	16
238	611	上田 富雄	男	60以上	3:32:13	0:35:01	13	1:45:16	20	16	1:11:57	22	17
241	625	吉本 洋⽂	男	60以上	3:34:48	0:35:45	15	1:42:32	18	15	1:16:32	24	18
246	617	橘高 義夫	男	60以上	3:36:51	0:46:28	22	1:39:49	16	21	1:10:35	20	19
247	620	⽷賀 栄司	男	60以上	3:37:07	0:35:24	14	1:46:14	22	17	1:15:30	23	20
251	608	間野 憲彦	男	60以上	3:40:30	0:52:18	25	1:38:07	15	22	1:10:06	19	21
252	609	寺本 卓司	男	60以上	3:41:11	0:37:10	16	1:45:52	21	18	1:18:10	25	22
253	623	中西 啓一	男	60以上	3:42:05	0:50:32	24	1:52:04	24	24	0:59:30	14	23
255	627	⽵林 宏	男	60以上	3:46:16	0:48:11	23	1:47:25	23	23	1:10:42	21	24
260	626	酒井 省二	男	60以上	3:53:45	0:56:41	26	2:03:55	25	25	0:53:10	7	25
59	713	岩原 愛	女	45未満	2:37:15	0:32:17	2	1:16:27	1	1	0:48:32	2	1
126	706	蔵重 知子	女	45未満	2:52:59	0:38:07	9	1:30:17	4	5	0:44:35	1	2
136	703	渡部 夏海	女	45未満	2:56:34	0:37:20	8	1:27:31	2	4	0:51:45	4	3
156	709	清水 絢子	女	45未満	3:00:25	0:30:53	1	1:28:57	3	2	1:00:35	9	4
177	711	甲村 亜紀子	女	45未満	3:05:30	0:39:32	11	1:30:44	6	6	0:55:15	6	5
179	707	藤⾕ 真⼣	女	45未満	3:05:56	0:33:15	3	1:37:02	9	7	0:55:40	7	6
191	710	津村 綾	女	45未満	3:08:44	0:38:57	10	1:36:06	7	8	0:53:42	5	7
193	714	長⾕川 幸子	女	45未満	3:10:11	0:36:47	6	1:42:10	10	9	0:51:15	3	8
211	701	小林 渚	女	45未満	3:15:12	0:42:55	13	1:36:21	8	10	0:55:57	8	9
212	712	五味 明菜	女	45未満	3:16:00	0:34:00	5	1:30:34	5	3	1:11:27	12	10
240	708	山西 美奈子	女	45未満	3:33:13	0:37:07	7	1:49:03	13	12	1:07:03	10	11
244	705	弓狩 加代子	女	45未満	3:35:31	0:42:49	12	1:44:44	11	13	1:07:59	11	12
245	715	久篠 美佳	女	45未満	3:36:05	0:33:29	4	1:48:44	12	11	1:13:54	13	13
104	811	政田 由紀	女	45以上	2:48:45	0:26:14	1	1:33:47	5	1	0:48:45	2	1
112	816	住廣 寿子	女	45以上	2:49:42	0:33:17	4	1:27:06	1	2	0:49:20	3	2
185	807	稲村 範子	女	45以上	3:06:53	0:32:27	3	1:31:02	2	3	1:03:24	9	3
187	804	北畑 まゆみ	女	45以上	3:07:50	0:37:04	6	1:32:58	3	4	0:57:49	8	4
189	814	小⽟ 容子	女	45以上	3:08:10	0:36:50	5	1:34:21	6	5	0:57:00	7	5
194	809	石井 郁子	女	45以上	3:10:14	0:37:36	8	1:43:55	10	9	0:48:44	1	6
198	815	塚本 宣恵	女	45以上	3:11:32	0:43:15	11	1:33:45	4	6	0:54:33	4	7
207	817	大内 和枝	女	45以上	3:14:24	0:41:35	10	1:36:31	7	7	0:56:19	6	8
210	802	井上 ルミ子	女	45以上	3:15:12	0:39:47	9	1:39:12	8	8	0:56:13	5	9
229	812	栗 町子	女	45以上	3:28:42	0:27:34	2	1:55:16	12	10	1:05:53	11	10
250	806	兼友 愛子	女	45以上	3:39:59	0:55:42	12	1:40:01	9	12	1:04:17	10	11
