総合順位	No.	氏名	年齢	性別	都道府県	総合記録	ｽｲﾑﾗｯﾌﾟ	S順	T1	ﾊﾞｲｸﾗｯﾌﾟ	B順	T2	ｽﾌﾟﾘｯﾄ	通過	ﾗﾝﾗｯﾌﾟ	R順	男子順位	女子順位	年代区分	年代順位
30	538	早川 真	56	男	岩手県	1:49:54	0:23:53	59	0:02:01	1:02:30	16	0:01:12	1:28:24	33	0:20:18	27	30		50歳～59歳男子	3
31	608	岡本 真依	23	女	宮城県	1:50:26	0:17:04	9	0:01:48	1:08:15	48	0:01:13	1:27:07	31	0:22:07	44		1	20歳～29歳女子	1
32	571	Shrosbree Mark	65	男	神奈川県	1:50:53	0:21:49	43	0:01:46	1:04:50	33	0:01:05	1:28:25	34	0:21:23	36	31		60歳～69歳男子	2
33	408	櫻田 慎	42	男	岩手県	1:51:09	0:23:32	58	0:02:07	1:04:48	32	0:01:08	1:30:27	42	0:19:34	16	32		40歳～49歳男子	5
34	223	野田頭 優作	27	男	東京都	1:51:30	0:22:02	45	0:01:32	1:07:37	46	0:00:51	1:31:11	45	0:19:28	15	33		20歳～29歳男子	18
35	614	東井 久実子	45	女	岩手県	1:51:34	0:20:12	30	0:01:37	1:06:58	43	0:01:18	1:28:47	37	0:21:29	37		2	40歳～49歳女子	1
36	547	矢吹 暁	57	男	宮城県	1:51:57	0:22:26	49	0:02:43	1:04:46	31	0:01:42	1:29:55	41	0:20:20	28	34		50歳～59歳男子	4
37	215	鈴木 爽太	22	男	宮城県	1:52:16	0:19:01	19	0:01:42	1:07:51	47	0:01:17	1:28:34	36	0:22:25	47	35		20歳～29歳男子	19
38	528	ＳＩＭＳ ＤＡＶＩＤ	54	男	東京都	1:52:31	0:21:15	39	0:02:21	1:01:46	11	0:01:41	1:25:23	27	0:25:27	86	36		50歳～59歳男子	5
39	530	岩渕 貴光	54	男	岩手県	1:53:38				1:04:08	28	0:01:17	1:28:59	39	0:23:22	58	37		50歳～59歳男子	6
40	606	堀内 結衣	21	女	宮城県	1:54:32	0:20:46	37	0:01:58	1:09:44	56	0:01:03	1:32:28	49	0:21:01	34		3	20歳～29歳女子	2
41	550	松山 文人	58	男	神奈川県	1:54:37	0:17:44	15	0:02:14	1:10:34	61	0:01:26	1:30:32	43	0:22:39	50	38		50歳～59歳男子	7
42	204	岩渕 泳人	20	男	岩手県	1:55:35				1:06:54	42	0:01:28	1:32:13	48	0:21:54	40	39		20歳～29歳男子	20
43	202	渡邉 滉大	19	男	福島県	1:55:44				1:12:35	71	0:01:06	1:30:36	44	0:24:02	70	40		19歳以下男子	3
44	236	鈴木 信啓	37	男	福島県	1:55:50	0:19:33	25	0:02:23	1:05:21	37	0:01:27	1:27:17	32	0:27:06	105	41		30歳～39歳男子	4
45	233	長井 秀興	35	男	東京都	1:56:16	0:20:14	31	0:03:02	1:05:43	38	0:01:29	1:28:59	38	0:25:48	88	42		30歳～39歳男子	5
46	429	笹森 孝明	49	男	青森県	1:56:37	0:24:44	68	0:02:35	1:06:51	41	0:01:53	1:34:10	53	0:20:34	29	43		40歳～49歳男子	6
47	430	田中 康志	49	男	東京都	1:56:57	0:20:17	32	0:02:23	1:08:37	51	0:02:29	1:31:17	47	0:23:10	55	44		40歳～49歳男子	7
48	615	多田 純子	47	女	宮城県	1:58:05	0:23:24	55	0:02:12	1:09:40	55	0:01:04	1:35:16	56	0:21:45	38		4	40歳～49歳女子	2
49	403	岩畔 浩次	40	男	東京都	1:58:06	0:21:53	44	0:02:35	1:08:47	53	0:01:22	1:33:15	51	0:23:30	61	45		40歳～49歳男子	8
50	426	入間川 祐一	49	男	宮城県	1:58:24	0:26:48	98	0:02:18	1:05:51	39	0:01:14	1:34:57	55	0:22:14	45	46		40歳～49歳男子	9
51	610	阿部 優美	35	女	宮城県	1:58:32	0:20:26	33	0:02:38	1:11:01	64	0:01:37	1:34:05	52	0:22:50	52		5	30歳～39歳女子	1
52	506	浅野 朗宏	50	男	茨城県	1:59:46	0:25:24	81	0:04:04	1:07:02	44	0:02:19	1:36:30	59	0:20:57	33	47		50歳～59歳男子	8
53	512	福島 一彦	51	男	福島県	2:00:35	0:22:35	50	0:02:18	1:09:45	57	0:01:21	1:34:38	54	0:24:35	76	48		50歳～59歳男子	9
54	505	小原 誠悟	50	男	宮城県	2:00:37	0:26:24	93	0:04:06	1:06:41	40	0:02:32	1:37:11	61	0:20:54	32	49		50歳～59歳男子	10
55	237	上野 幸佑	38	男	兵庫県	2:00:53	0:22:03	46	0:02:54	1:10:39	62	0:01:51	1:35:35	57	0:23:26	60	50		30歳～39歳男子	6
56	524	永山 史朗	53	男	岩手県	2:01:19	0:22:22	48	0:02:07	1:12:54	73	0:01:31	1:37:23	62	0:22:24	46	51		50歳～59歳男子	11
57	418	澤井 宏文	46	男	東京都	2:02:44	0:25:40	86	0:03:35	1:08:46	52	0:02:05	1:38:01	65	0:22:38	49	52		40歳～49歳男子	10
58	525	佐藤 直也	54	男	福島県	2:03:11	0:24:19	65	0:03:23	1:04:58	35	0:03:34	1:32:39	50	0:26:58	103	53		50歳～59歳男子	12
59	518	石井 建一	52	男	岩手県	2:03:23	0:22:45	52	0:02:40	1:13:10	78	0:01:51	1:38:35	67	0:22:56	53	54		50歳～59歳男子	13
60	617	大志田 紀子	48	女	岩手県	2:03:48	0:20:49	38	0:01:50	1:16:34	96	0:01:19	1:39:13	70	0:23:16	57		6	40歳～49歳女子	3
61	424	日下 陽平	48	男	宮城県	2:04:02	0:28:16	112				0:02:48	1:31:13	46	0:30:01	130	55		40歳～49歳男子	11
62	501	渡部 峰輝	50	男	宮城県	2:04:44	0:23:31	57	0:03:38	1:12:01	69	0:01:51	1:39:10	69	0:23:43	63	56		50歳～59歳男子	14
63	556	佐藤 浩之	59	男	福島県	2:05:16	0:22:40	51	0:03:01	1:11:52	68	0:02:30	1:37:34	63	0:25:11	83	57		50歳～59歳男子	15
64	572	和田 勝美	65	男	福岡県	2:05:34	0:24:33	67	0:03:10	1:08:37	50	0:02:27	1:36:20	58	0:26:47	97	58		60歳～69歳男子	3
65	411	永井  陽一	44	男	岩手県	2:05:36	0:26:30	95	0:03:26	1:10:55	63	0:01:34	1:40:51	76	0:23:11	56	59		40歳～49歳男子	12
66	239	遠藤 雅博	38	男	福島県	2:05:52				1:11:30	66	0:01:57	1:38:16	66	0:25:39	87	60		30歳～39歳男子	7
67	410	渡邉  博幸	44	男	宮城県	2:05:54	0:24:52	70	0:03:24	1:11:18	65	0:01:28	1:39:33	72	0:24:53	79	61		40歳～49歳男子	13
68	611	澤井 咲乃	36	女	福島県	2:05:56	0:24:19	66	0:02:10	1:12:29	70	0:01:39	1:38:58	68	0:25:19	85		7	30歳～39歳女子	2
69	238	森 隆之	38	男	青森県	2:06:04	0:24:04	60	0:02:35	1:13:15	79	0:01:37	1:39:54	73	0:24:32	75	62		30歳～39歳男子	8
70	575	綿野 潔治	67	男	神奈川県	2:06:07	0:25:16	75	0:02:17	1:09:35	54	0:01:54	1:37:09	60	0:27:04	104	63		60歳～69歳男子	4
71	605	江里口 明里	20	女	宮城県	2:06:27	0:19:06	20	0:02:07	1:19:14	108	0:01:02	1:40:26	74	0:24:59	80		8	20歳～29歳女子	3
72	229	宍戸 鉱二朗	32	男	宮城県	2:07:06	0:22:53	53	0:04:24	1:15:28	90	0:02:20	1:42:45	83	0:22:01	43	64		30歳～39歳男子	9
73	402	渡部 純一	40	男	福島県	2:07:37	0:32:12	140	0:02:30	1:07:36	45	0:01:24	1:42:19	80	0:23:54	65	65		40歳～49歳男子	14
74	519	須藤 和人	53	男	宮城県	2:07:52	0:26:38	96	0:03:30	1:10:19	60	0:02:23	1:40:27	75	0:25:02	81	66		50歳～59歳男子	16
75	629	山本 真紀恵	59	女	千葉県	2:08:18	0:25:14	73	0:02:11	1:14:14	82	0:02:39	1:41:39	78	0:24:00	69		9	50歳～59歳女子	1
76	428	藤澤 祐一	49	男	茨城県	2:08:24	0:20:35	35	0:03:31	1:15:13	89	0:02:18	1:39:19	71	0:26:47	96	67		40歳～49歳男子	15
77	227	佐藤 駿	30	男	宮城県	2:08:30	0:25:23	79	0:03:34	1:13:08	77	0:02:30	1:42:05	79	0:23:55	66	68		30歳～39歳男子	10
78	604	蛯名 真弓	20	女	東京都	2:08:30	0:21:40	42	0:02:39	1:18:43	105	0:01:30	1:43:01	85	0:23:59	67		10	20歳～29歳女子	4
79	544	松浦 正裕	57	男	神奈川県	2:08:50	0:28:09	108	0:04:16	1:09:58	59	0:02:07	1:42:24	82	0:24:19	73	69		50歳～59歳男子	17
80	214	内田 龍一	22	男	福島県	2:09:10	0:28:10	109	0:02:29	1:12:44	72	0:01:33	1:43:23	86	0:24:13	71	70		20歳～29歳男子	21
81	404	及川 貢	40	男	宮城県	2:09:21	0:29:08	121	0:04:16	1:13:05	76	0:02:46	1:46:30	94	0:20:05	26	71		40歳～49歳男子	16
82	603	佐々木 麻瑚	20	女	滋賀県	2:09:30	0:17:41	13	0:01:52	1:04:06	24	0:01:19	1:23:39	16	0:44:33	170		11	20歳～29歳女子	5
83	427	岩井 啓訓	49	男	福島県	2:10:05	0:24:56	71	0:02:58	1:09:50	58	0:02:25	1:37:43	64	0:29:56	129	72		40歳～49歳男子	17
84	522	大村 幸儀	53	男	東京都	2:10:28	0:27:14	103				0:01:42	1:44:47	91	0:23:59	68	73		50歳～59歳男子	18
85	431	齋藤 卓也	49	男	山形県	2:11:21	0:28:05	107	0:04:49	1:14:53	86	0:01:37	1:47:46	100	0:21:57	41	74		40歳～49歳男子	18
86	521	田邉 保晴	53	男	埼玉県	2:11:46	0:27:13	102	0:03:38	1:13:59	81		1:44:50	92			75		50歳～59歳男子	19
87	558	今井 章義	60	男	宮城県	2:11:59	0:26:25	94	0:03:35	1:12:57	74	0:02:28	1:42:57	84	0:26:33	92	76		60歳～69歳男子	5
88	534	山口 英則	55	男	福島県	2:12:31	0:24:18	64	0:03:26	1:18:37	104	0:03:13	1:46:20	93	0:22:58	54	77		50歳～59歳男子	20
89	602	閼伽井 柚香	19	女	大阪府	2:13:16	0:24:17	63	0:02:19	1:17:10	98	0:01:43	1:43:46	89	0:27:47	109		12	19歳以下女子	1
90	527	齋藤 克朗	54	男	山形県	2:14:05	0:25:17	76	0:03:42	1:14:35	84	0:02:14	1:43:35	87	0:28:15	113	78		50歳～59歳男子	21
91	543	蛯原 正一	57	男	福島県	2:14:22	0:24:50	69	0:03:12	1:14:16	83	0:02:23	1:42:19	81	0:29:41	126	79		50歳～59歳男子	22
92	529	原田 光	54	男	宮城県	2:14:26	0:25:17	77	0:02:40	1:19:27	110	0:01:44	1:47:25	99	0:25:17	84	80		50歳～59歳男子	23
93	415	登坂 孝範	45	男	宮城県	2:14:40	0:29:46	124	0:04:53	1:15:05	87	0:02:21	1:49:44	107	0:22:36	48	81		40歳～49歳男子	19
94	554	宮本 善章	59	男	埼玉県	2:15:32	0:25:04	72	0:03:30	1:15:45	91	0:02:12	1:44:19	90	0:29:01	120	82		50歳～59歳男子	24
95	609	安藤 舞佳	24	女	青森県	2:15:43	0:18:07	17	0:03:16	1:22:21	128	0:01:54	1:43:44	88	0:30:05	131		13	20歳～29歳女子	6
96	406	伊藤 謙	41	男	宮城県	2:16:25	0:29:01	118	0:03:35	1:16:01	94	0:03:05	1:48:37	103	0:24:43	78	83		40歳～49歳男子	20
97	409	澤井 研作	43	男	愛知県	2:16:26	0:26:57	101	0:03:41	1:16:16	95	0:02:18	1:46:54	96	0:27:14	108	84		40歳～49歳男子	21
98	618	土樋 三起	50	女	岩手県	2:16:26	0:31:18	133	0:03:05	1:13:25	80	0:02:02	1:47:49	101	0:26:35	93		14	50歳～59歳女子	2
99	539	岡本 豊	56	男	青森県	2:16:29	0:31:33	136	0:03:14	1:13:04	75	0:01:50	1:47:50	102	0:26:48	98	85		50歳～59歳男子	25
100	621	横山 奈央子	51	女	宮城県	2:17:41	0:31:55	137	0:04:01	1:15:54	93	0:02:26	1:51:50	116	0:23:24	59		15	50歳～59歳女子	3
101	567	入江 猛	63	男	埼玉県	2:18:42				1:24:20	137	0:03:13	1:49:21	106	0:26:08	90	86		60歳～69歳男子	6
102	562	中野 博之	61	男	宮城県	2:18:46				1:14:44	85	0:02:41	1:48:55	104	0:27:11	107	87		60歳～69歳男子	7
103	573	岡田 浩寿	66	男	福島県	2:18:53	0:25:48	89	0:02:26	1:18:55	107	0:02:06	1:47:09	98	0:29:38	124	88		60歳～69歳男子	8
104	407	伊藤 紘一	42	男	岩手県	2:19:26	0:28:14	111	0:03:44	1:17:09	97	0:03:28	1:49:06	105	0:26:52	101	89		40歳～49歳男子	22
105	541	徳光 芳文	56	男	東京都	2:19:42						0:03:22	1:41:26	77	0:34:54	155	90		50歳～59歳男子	26
106	425	宇部 博基	48	男	福島県	2:19:43	0:29:03	119	0:04:26	1:19:45	113	0:02:56	1:53:14	124	0:23:33	62	91		40歳～49歳男子	23
107	520	三浦 良浩	53	男	宮城県	2:20:28	0:32:11	139	0:03:50	1:15:07	88	0:02:11	1:51:08	114	0:27:09	106	92		50歳～59歳男子	27
108	623	田宮 明子	53	女	神奈川県	2:20:46	0:28:45	116	0:05:02	1:20:57	121	0:02:18	1:54:43	130	0:23:44	64		16	50歳～59歳女子	4
109	560	小松 弘昌	60	男	宮城県	2:21:15	0:25:35	83	0:04:18	1:19:59	117	0:03:00	1:49:51	109	0:28:23	115	93		60歳～69歳男子	9
110	616	武田 勝江	47	女	福島県	2:21:35	0:24:05	62	0:04:44	1:21:45	122	0:03:07	1:50:34	111	0:27:54	110		17	40歳～49歳女子	4
111	612	星 砂斗子	44	女	宮城県	2:21:49	0:25:43	87	0:06:44	1:22:41	131		1:55:08	134				18	40歳～49歳女子	5
112	502	柳橋 英憲	50	男	宮城県	2:22:13	0:31:10	132	0:04:11	1:19:46	114	0:02:31	1:55:06	133	0:24:36	77	94		50歳～59歳男子	28
113	548	山崎 教雄	57	男	宮城県	2:22:44	0:24:04	61	0:02:51	1:19:54	116	0:02:52	1:46:49	95	0:33:02	145	95		50歳～59歳男子	29
114	630	新田 泰子	60	女	宮城県	2:23:37	0:28:12	110	0:04:05	1:20:31	120	0:02:44	1:52:48	121	0:28:05	111		19	60歳～69歳女子	1
115	582	岩松 茂樹	73	男	宮城県	2:23:52	0:26:54	100	0:03:56	1:20:15	119	0:02:12	1:51:05	113	0:30:36	136	96		70歳以上男子	1
116	509	鈴木 崇久	51	男	栃木県	2:24:01	0:31:29	135	0:03:53	1:17:38	99	0:02:08	1:53:00	123	0:28:53	119	97		50歳～59歳男子	30
117	627	杉浦 弥子	57	女	東京都	2:24:44	0:25:20	78	0:03:44	1:23:14	133	0:02:21	1:52:18	118	0:30:05	132		20	50歳～59歳女子	5
118	513	飯野 由和	51	男	福島県	2:24:47	0:31:23	134	0:04:38	1:18:31	103	0:03:24	1:54:33	129	0:26:50	100	98		50歳～59歳男子	31
119	565	日當 仁己	63	男	岩手県	2:25:07	0:26:09	90	0:03:45	1:20:13	118	0:03:53	1:50:07	110	0:31:07	137	99		60歳～69歳男子	10
120	574	佐藤 徹	67	男	山形県	2:25:09	0:28:22	113	0:03:58	1:22:07	127	0:04:06	1:54:26	127	0:26:37	94	100		60歳～69歳男子	11
121	234	渡邊 慎太郎	36	男	宮城県	2:25:45	0:32:09	138	0:05:18	1:24:41	139	0:01:37	2:02:09	150	0:21:59	42	101		30歳～39歳男子	11
122	570	菅野 隆浩	65	男	福島県	2:26:11				1:19:36	112	0:03:20	1:46:55	97	0:35:56	158	102		60歳～69歳男子	12
123	628	山崎 聡美	57	女	宮城県	2:26:18	0:22:56	54	0:02:56	1:23:57	134	0:01:56	1:49:50	108	0:34:32	153		21	50歳～59歳女子	6
124	545	川合 邦之	57	男	神奈川県	2:26:18	0:28:26	114	0:04:08	1:21:53	125	0:02:44	1:54:27	128	0:29:07	121	103		50歳～59歳男子	32
125	568	武田 豊三	63	男	宮城県	2:27:04	0:30:11	126	0:06:19	1:18:23	102	0:03:22	1:54:53	131	0:28:49	118	104		60歳～69歳男子	13
126	510	中鉢 秀人	51	男	宮城県	2:27:08	0:28:29	115	0:03:39	1:25:12	142	0:03:56	1:57:19	139	0:25:53	89	105		50歳～59歳男子	33
127	559	今野 秀明	60	男	宮城県	2:27:13	0:26:47	97	0:04:09	1:21:46	123	0:02:51	1:52:42	120	0:31:40	138	106		60歳～69歳男子	14
128	417	三上 哲彦	45	男	宮城県	2:27:38	0:25:34	82	0:04:58	1:25:09	141	0:02:42	1:55:41	135	0:29:15	122	107		40歳～49歳男子	24
129	235	佐藤 顕太	36	男	岩手県	2:27:50	0:28:52	117	0:03:43	1:22:22	129	0:02:32	1:54:57	132	0:30:22	135	108		30歳～39歳男子	12
130	422	熊谷 健	47	男	宮城県	2:27:53				1:18:06	100	0:02:28	1:56:42	137	0:28:43	116	109		40歳～49歳男子	25
131	551	中島 直	58	男	宮城県	2:27:58	0:27:37	105	0:04:32	1:19:22	109	0:03:25	1:51:32	115	0:33:02	144	110		50歳～59歳男子	34
132	561	大津 伸一	61	男	神奈川県	2:29:01	0:25:24	80	0:04:44	1:22:52	132	0:02:49	1:53:00	122	0:33:12	147	111		60歳～69歳男子	15
133	532	田中  宏治	55	男	宮城県	2:29:59	0:30:17	127	0:06:17	1:23:58	135	0:05:08	2:00:32	146	0:24:19	72	112		50歳～59歳男子	35
134	601	渡邉 野和	19	女	岩手県	2:30:02	0:23:27	56	0:03:09	1:30:30	160	0:02:37	1:57:07	138	0:30:18	134		22	19歳以下女子	2
135	622	渡邉 緑	52	女	岩手県	2:30:04	0:28:02	106	0:05:48	1:18:52	106	0:03:32	1:52:41	119	0:33:51	150		23	50歳～59歳女子	7
136	579	前口 隆広	69	男	東京都	2:30:38	0:27:22	104	0:06:08	1:22:25	130	0:02:33	1:55:55	136	0:32:10	141	113		60歳～69歳男子	16
137	581	佐竹 彰	70	男	宮城県	2:31:05	0:25:39	85	0:03:11	1:24:39	138	0:02:49	1:53:28	125	0:34:47	154	114		70歳以上男子	2
138	624	大河原 美貴	54	女	宮城県	2:31:11	0:29:44	123	0:03:50	1:26:01	144	0:01:56	1:59:35	144	0:29:40	125		24	50歳～59歳女子	8
139	576	神田 秀仁	67	男	埼玉県	2:31:44	0:29:22	122	0:06:01	1:18:07	101	0:05:02	1:53:31	126	0:33:12	148	115		60歳～69歳男子	17
140	620	小村 由香	51	女	神奈川県	2:31:54	0:26:10	91	0:03:57	1:31:11	162	0:02:13	2:01:18	147	0:28:23	114		25	50歳～59歳女子	9
141	416	渡邉 弘樹	45	男	宮城県	2:32:05	0:30:48	129	0:04:03	1:25:03	140	0:01:54	1:59:55	145	0:30:16	133	116		40歳～49歳男子	26
142	222	浅見 涼介	25	男	宮城県	2:32:17	0:25:15	74	0:03:54	1:29:48	158	0:03:32	1:58:57	142	0:29:48	127	117		20歳～29歳男子	22
143	613	千葉 知代	44	女	宮城県	2:32:43	0:32:15	141	0:04:52	1:24:18	136		2:01:24	148				26	40歳～49歳女子	6
144	583	小嶋 健司	75	男	東京都	2:35:00	0:29:07	120	0:03:47	1:26:23	146	0:02:14	1:59:16	143	0:33:30	149	118		70歳以上男子	3
145	412	エイムズ アンドリュ クラク	44	男	宮城県	2:35:28	0:26:53	99	0:04:30	1:19:31	111	0:02:33	1:50:55	112	0:42:01	168	119		40歳～49歳男子	27
146	580	森 秀美	70	男	青森県	2:36:10	0:37:24	155	0:04:51	1:15:47	92	0:02:46	1:58:02	140	0:35:21	156	120		70歳以上男子	4
147	531	渡邉 淳	54	男	岩手県	2:36:22				1:21:52	124	0:03:41	1:52:04	117	0:40:37	167	121		50歳～59歳男子	36
148	566	末永 典弘	63	男	宮城県	2:37:22	0:35:30	150	0:05:17	1:26:33	148	0:03:20	2:07:20	153	0:26:42	95	122		60歳～69歳男子	18
149	523	阿部 洋	53	男	岩手県	2:39:21	0:44:18	159	0:03:24	1:19:50	115	0:03:03	2:07:32	155	0:28:47	117	123		50歳～59歳男子	37
150	413	山下 賢之介	45	男	宮城県	2:40:49	0:38:09	157	0:05:57	1:29:22	156	0:02:15	2:13:28	161	0:25:06	82	124		40歳～49歳男子	28
151	578	山下 修	68	男	北海道	2:41:20	0:31:06	131	0:05:46						0:26:49	99	125		60歳～69歳男子	19
152	504	坪内 啓	50	男	宮城県	2:42:50	0:33:37	144	0:05:48	1:28:49	153	0:02:47	2:08:14	157	0:31:49	139	126		50歳～59歳男子	38
153	626	渡辺 華史	57	女	東京都	2:43:13	0:30:46	128	0:08:40	1:28:33	152	0:03:13	2:07:58	156	0:32:01	140		27	50歳～59歳女子	10
154	577	穴澤 隆	68	男	福島県	2:43:14	0:34:07	147	0:04:21	1:29:01	155	0:01:45	2:07:29	154	0:34:00	151	127		60歳～69歳男子	20
155	514	吉田 英樹	51	男	宮城県	2:45:38	0:35:26	149	0:05:04	1:29:33	157	0:02:25	2:10:02	159	0:33:10	146	128		50歳～59歳男子	39
156	585	山川 清一	78	男	宮城県	2:45:57	0:33:55	146	0:04:58	1:27:44	150	0:03:31	2:06:37	152	0:35:49	157	129		70歳以上男子	5
157	619	熊谷 三千代	51	女	福島県	2:46:16	0:39:10	158	0:05:26	1:29:58	159	0:03:28	2:14:34	162	0:28:14	112		28	50歳～59歳女子	11
158	516	池田 慶太	52	男	岩手県	2:47:20	0:26:21	92	0:06:21	1:26:11	145	0:03:34	1:58:53	141	0:44:53	171	130		50歳～59歳男子	40
159	542	田中 和則	56	男	岩手県	2:47:26	0:36:03	152	0:05:28	1:27:44	151	0:03:58	2:09:15	158	0:34:13	152	131		50歳～59歳男子	41
160	508	柴田 健	51	男	宮城県	2:47:45	0:25:44	88	0:05:37	1:30:38	161	0:03:38	2:01:59	149	0:42:08	169	132		50歳～59歳男子	42
161	553	高畑  進	55	男	福島県	2:47:56	0:32:19	142	0:07:50	1:32:13	163	0:03:23	2:12:22	160	0:32:11	142	133		50歳～59歳男子	43
162	584	野田 朋芳	78	男	東京都	2:49:55	0:32:58	143	0:05:00	1:26:42	149	0:06:25	2:04:39	151	0:38:50	164	134		70歳以上男子	6
163	557	佐浦 康洋	60	男	宮城県	2:50:10	0:29:57	125	0:04:13	1:43:31	169	0:03:10	2:17:41	167	0:29:19	123	135		60歳～69歳男子	21
164	511	佐藤 正一郎	51	男	宮城県	2:54:09	0:33:47	145	0:05:40	1:36:08	166	0:02:37	2:15:35	163	0:35:57	159	136		50歳～59歳男子	44
165	536	福本 年秀	55	男	大阪府	2:55:49	0:35:39	151	0:05:45	1:36:13	167	0:05:16	2:17:37	166	0:32:55	143	137		50歳～59歳男子	45
