Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	Bike	Run
134	Megan Whitehouse	F	F25-29	2	10:42:13	1:22:51	5:41:23	3:27:34
135	Scott Iott	M	M45-49	25	10:42:58	1:07:50	5:41:20	3:42:05
136	Hector Daniel Navarro Peralta	M	M45-49	26	10:43:12	1:15:27	5:34:45	3:42:39
137	Nicholas Hartman	M	M30-34	27	10:43:45	1:14:17	5:25:34	3:46:51
138	Andre Dompierre	M	M35-39	25	10:44:05	1:12:56	5:39:38	3:36:14
139	Bob Schaller	M	M60-64	3	10:44:10	1:12:56	5:36:47	3:39:17
140	Georgi Bilyarski	M	M35-39	26	10:44:32	1:12:24	5:29:22	3:52:15
141	Glen Osmond	M	M50-54	6	10:45:05	1:01:28	5:31:51	4:00:15
142	David Sun	M	M18-24	17	10:45:11	1:06:58	5:37:32	3:47:33
143	William Lagreca	M	M30-34	28	10:45:54	1:11:01	5:10:22	4:14:11
144	Christine Sonnemann	F	F45-49	1	10:46:05	1:09:29	5:37:46	3:45:16
145	Melissa Postoll-Downs	F	F30-34	2	10:46:18	0:54:37	5:48:53	3:54:11
146	Adam Powers	M	M50-54	7	10:46:19	1:01:07	5:13:56	4:16:45
147	Kieffer Vittetow	M	M25-29	17	10:46:46	1:03:05	6:05:46	3:20:01
148	Alexander Nunn	M	M25-29	18	10:46:50	0:59:12	5:45:37	3:48:42
149	Marcus Chapman	M	M55-59	3	10:46:56	1:15:04	5:25:28	3:52:45
150	Easton Syvertson	M	M25-29	19	10:47:12	1:01:56	5:35:23	3:58:25
151	Hans-Kristen Rootalu	M	M25-29	20	10:47:36	1:06:09	5:33:12	4:00:34
152	Michael Nyerges	M	M45-49	27	10:48:05	1:06:22	5:30:33	3:58:31
153	Matthew Williams	M	M25-29	21	10:48:23	1:15:47	5:48:34	3:27:38
154	Michael Aleixo	M	M30-34	29	10:49:30	1:06:51	5:35:27	3:54:34
155	Danny Stevens	M	M40-44	17	10:52:13	1:06:41	5:30:02	4:02:41
156	Eric Gabriel	M	M35-39	27	10:53:03	1:03:57	6:06:17	3:24:26
157	David Coleman	M	M40-44	18	10:53:10	1:12:21	5:26:19	4:01:51
158	Jesse Kieffer	M	M45-49	28	10:53:31	1:14:41	5:47:02	3:38:50
159	Leah Roberts	F	F40-44	1	10:53:36	1:09:33	5:37:16	3:55:57
160	Will Cornish	M	M25-29	22	10:55:13	1:00:07	5:47:59	3:55:38
161	Antoine Bouchard	M	M25-29	23	10:55:20	1:15:13	5:39:27	3:47:21
162	Hunter Jameson	M	M25-29	24	10:56:09	1:10:01	5:48:04	3:44:06
163	Nick Goldston	M	M35-39	28	10:56:15	1:14:38	5:28:02	3:54:26
164	Sara Black	F	F35-39	1	10:56:17	0:59:58	6:00:26	3:44:03
