順位	氏名	性別	年齢	ランク	ｾﾞｯｹﾝ	スイム	バイク	ラン	合計
336	菅 伊知郎	M	47	3	289	0:41:06	1:30:06	1:01:33	3:12:45
337	山本 栄行	M	45	3	268	0:35:49	1:30:41	1:06:16	3:12:46
338	大野 健二	M	51	4	309	0:36:49	1:30:27	1:05:38	3:12:54
339	住田 信幸	M	43	3	478	0:40:40	1:31:14	1:01:04	3:12:58
340	中村 逸男	M	65	5	625	0:38:01	1:25:44	1:09:16	3:13:01
341	河野 宗平	M	34	2	436	0:41:03	1:27:28	1:04:31	3:13:02
342	松本 肇	M	46	3	285	0:35:17	1:34:29	1:03:24	3:13:10
343	稲井 憲也	M	41	3	467	0:37:59	1:30:26	1:04:51	3:13:16
344	小山 雄太郎	M	36	2	443	0:40:56	1:35:58	0:56:22	3:13:16
345	勝本 悠介	M	28	1	419	0:44:16	1:29:58	0:59:06	3:13:20
346	越智 健二	M	50	4	513	0:41:32	1:33:45	0:58:39	3:13:56
347	岡 豊	M	57	4	538	0:39:54	1:30:45	1:03:21	3:14:00
348	亀井 康平	M	27	1	410	0:38:21	1:20:34	1:15:15	3:14:10
349	濱 善正	M	48	3	294	0:42:37	1:30:50	1:00:59	3:14:26
350	酒井 一男	M	66	5	628	0:36:48	1:33:53	1:03:51	3:14:32
351	山本 剛志	M	34	2	217	0:37:37	1:32:04	1:04:53	3:14:34
352	門部 知史	M	40	3	233	0:41:52	1:29:32	1:03:16	3:14:40
353	大橋 正和	M	46	3	491	0:37:07	1:37:06	1:00:32	3:14:45
354	山崎 浩平	M	44	3	265	0:34:12	1:34:35	1:06:04	3:14:51
355	佐藤 美奈	F	38	7	716	0:42:01	1:38:37	0:54:26	3:15:04
356	美馬 尚貴	M	26	1	408	0:37:00	1:39:08	0:58:57	3:15:05
357	井上 匡啓	M	51	4	310	0:39:20	1:36:05	0:59:48	3:15:13
358	谷 裕二	M	50	4	514	0:39:49	1:26:17	1:09:18	3:15:24
359	徳永 信道	M	64	5	623	0:34:08	1:33:35	1:07:47	3:15:30
360	米屋 富夫	M	49	3	506	0:45:36	1:39:01	0:51:00	3:15:37
361	越智 恵美	F	31	7	708	0:37:10	1:37:28	1:01:04	3:15:42
362	水野 真弓	F	50	9	750	0:39:09	1:37:38	0:59:15	3:16:02
363	上田 孝枝	F	46	8	737	0:42:10	1:31:36	1:02:17	3:16:03
364	桜井 れい	M	42	3	471	0:34:50	1:38:29	1:03:03	3:16:22
365	村上 茂	M	56	4	533	0:42:35	1:38:18	0:56:13	3:17:06
366	寺本 紘起	M	21	1	401	0:44:47	1:29:05	1:03:29	3:17:21
367	日野 健治	M	46	3	493	0:38:58	1:35:12	1:03:15	3:17:25
368	加藤 和正	M	50	4	304	0:36:58	1:38:16	1:02:19	3:17:33
369	久保 聖子	F	40	8	724	0:33:25	1:34:45	1:10:02	3:18:12
370	曾根 淳一	M	51	4	516	0:38:41	1:29:13	1:10:54	3:18:48
371	細川 洋	M	36	2	444	0:37:05	1:33:45	1:08:21	3:19:11
372	森 広志	M	49	3	118	0:35:51	1:44:48	0:58:35	3:19:14
373	菅 大介	M	38	2	226	0:43:02	1:30:36	1:05:37	3:19:15
374	徳永 直人	M	45	3	486	0:36:35	1:36:52	1:06:04	3:19:31
375	新居 義徳	M	42	3	469	0:51:27	1:25:31	1:02:46	3:19:44
376	山内 朋子	F	44	8	733	0:36:42	1:41:02	1:02:09	3:19:53
377	児玉 浩仁	M	46	3	283	0:41:05	1:30:05	1:08:46	3:19:56
378	茅原 一斗	M	34	2	439	0:42:50	1:34:58	1:02:13	3:20:01
379	倉本 治	M	56	4	534	0:37:08	1:37:28	1:05:26	3:20:02
380	武井 節子	F	49	8	747	0:42:05	1:42:40	0:55:19	3:20:04
381	尾関 雅司	M	40	3	462	0:38:51	1:37:09	1:04:43	3:20:43
382	石坂 閣啓	M	34	2	437	0:46:13	1:39:01	0:55:30	3:20:44
383	田村 清美	F	54	9	758	0:38:11	1:47:34	0:54:59	3:20:44
384	箭代 伸幸	M	53	4	136	0:32:28	1:24:02	1:24:15	3:20:45
385	若田 吉昭	M	64	5	617	0:36:34	1:40:18	1:03:59	3:20:51
386	岩田 秀夫	M	53	4	327	0:39:26	1:45:16	0:56:20	3:21:02
387	小野 恵	F	41	8	725	0:44:12	1:38:57	0:57:57	3:21:06
388	梅末 正芳	M	51	4	314	0:36:54	1:30:01	1:14:43	3:21:38
389	古本 伸志	M	48	3	501	0:44:58	1:35:13	1:01:29	3:21:40
390	亀井 崇	M	36	2	445	0:45:18	1:41:14	0:55:49	3:22:21
391	深水 一成	M	59	4	150	0:35:42	1:38:05	1:08:44	3:22:31
392	中村 仁	M	60	5	603	0:37:18	1:32:48	1:12:30	3:22:36
393	中宇禰 正義	M	64	5	622	0:40:18	1:39:38	1:03:35	3:23:31
394	三好 雅雄	M	57	4	536	0:36:24	1:48:37	0:58:43	3:23:44
395	中川 博	M	51	4	517	0:44:47	1:34:58	1:04:21	3:24:06
396	佐藤 公彦	M	59	4	348	0:35:09	1:29:38	1:19:30	3:24:17
397	坪内 洋	M	50	4	122	0:30:12	1:36:13	1:18:13	3:24:38
398	森 淳二	M	51	4	519	0:41:37	1:34:55	1:08:27	3:24:59
399	大久保 紗恵子	F	28	6	704	0:45:19	1:36:16	1:03:50	3:25:25
400	森田 耕一	M	66	5	627	0:42:34	1:38:15	1:04:37	3:25:26
401	越智 文子	F	39	7	719	0:45:39	1:36:16	1:03:34	3:25:29
402	長尾 隆司	M	33	2	32	0:39:33	1:36:37	1:09:24	3:25:34
403	松澤 正仁	M	59	4	541	0:36:50	1:39:30	1:09:18	3:25:38
404	奥本 晋也	M	61	5	605	0:40:58	1:33:41	1:11:24	3:26:03
405	藤本 邦弘	M	42	3	251	0:36:19	1:32:49	1:17:03	3:26:11
406	清水 健太郎	M	46	3	281	0:41:07	1:36:55	1:08:21	3:26:23
407	日野 暁登	M	24	1	403	0:45:55	1:37:46	1:02:56	3:26:37
408	平 孝志	M	66	5	629	0:46:02	1:40:54	0:59:49	3:26:45
409	高橋 修	M	66	5	631	0:36:46	1:36:15	1:13:52	3:26:53
410	岡本 哲侍	M	48	3	296	0:43:46	1:38:09	1:05:23	3:27:18
411	熊本 真理	F	52	9	757	0:35:40	1:47:09	1:04:44	3:27:33
412	山田 正志	M	43	3	480	0:41:20	1:40:24	1:05:51	3:27:35
413	髙石 久仁	M	41	3	241	0:37:26	1:40:19	1:09:58	3:27:43
414	正岡 清志	M	37	2	447	0:39:59	1:33:10	1:14:34	3:27:43
415	岡田 教人	M	35	2	440	0:46:38	1:31:59	1:09:10	3:27:47
416	木野 昭範	M	43	3	474	0:43:20	1:37:48	1:06:46	3:27:54
417	池田 拓也	M	39	2	232	0:33:45	1:41:26	1:12:54	3:28:05
418	小笠原 昭生	M	59	4	349	0:33:54	1:44:22	1:10:27	3:28:43
419	白石 雅人	M	45	3	274	0:37:12	1:36:56	1:14:54	3:29:02
420	赤峯 慎太郎	M	48	3	503	0:43:24	1:36:22	1:09:21	3:29:07
421	河野 晃伸	M	24	1	405	0:36:28	1:39:19	1:13:28	3:29:15
422	浅海 康二	M	50	4	302	0:34:32	1:45:57	1:08:59	3:29:28
423	窪中 都和	M	21	1	402	0:56:56	1:38:39	0:54:32	3:30:07
424	井上 仁	M	45	3	488	0:42:16	1:38:56	1:09:39	3:30:51
425	宮内 幸子	F	44	8	732	0:40:20	1:46:32	1:04:18	3:31:10
426	有田 寅照	M	42	3	93	0:27:39	1:35:59	1:27:45	3:31:23
427	仲矢 文和	M	66	5	632	0:36:52	1:39:22	1:16:31	3:32:45
428	山岡 英雄	M	47	3	497	0:43:23	1:34:40	1:15:18	3:33:21
429	奥村 幸二	M	54	4	530	0:38:23	1:39:25	1:15:33	3:33:21
430	川上 和彦	M	48	3	500	0:59:35	1:29:47	1:04:05	3:33:27
431	白石 裕英	M	50	4	508	0:38:11	1:39:43	1:16:06	3:34:00
432	西尾 朋教	M	35	2	219	0:36:08	1:56:44	1:01:54	3:34:46
433	上岡 修	M	33	2	432	0:44:26	1:48:22	1:02:35	3:35:23
434	矢野 陽子	F	45	8	734	0:35:57	1:43:26	1:16:11	3:35:34
435	竹内 伸明	M	51	4	521	0:39:26	1:46:06	1:11:06	3:36:38
436	重松 孝尚	M	49	3	505	0:53:24	1:32:48	1:10:50	3:37:02
437	村上 優	M	31	2	425	0:52:19	1:45:44	0:59:07	3:37:10
438	開 幸子	F	48	8	744	0:42:56	1:37:43	1:17:22	3:38:01
439	石川 裕太	M	26	1	202	0:37:35	1:44:35	1:16:36	3:38:46
440	渡部 通子	F	46	8	736	0:44:32	1:46:26	1:08:11	3:39:09
441	中矢 政和	M	42	3	250	0:47:58	1:35:02	1:16:15	3:39:15
442	辻 健一	M	31	2	424	0:45:27	1:42:10	1:11:56	3:39:33
443	鷹尾 明彦	M	48	3	504	0:48:44	1:38:29	1:12:43	3:39:56
444	梶川 明宏	M	54	4	529	1:06:41	1:30:21	1:03:06	3:40:08
445	林 周一	M	51	4	518	0:51:20	1:41:27	1:09:52	3:42:39
446	田中 義雄	M	56	4	345	0:31:32	1:46:43	1:25:08	3:43:23
447	松田 明	M	65	5	624	0:38:06	1:46:20	1:19:31	3:43:57
448	石川 哲夫	M	53	4	525	0:41:41	1:44:49	1:17:32	3:44:02
449	山口 顕	M	40	3	460	0:39:58	1:40:40	1:23:34	3:44:12
450	今岡 大也	M	45	3	489	0:36:54	1:50:33	1:16:52	3:44:19
451	重松 縁	F	48	8	742	0:51:40	1:43:48	1:09:08	3:44:36
452	門脇 信子	F	50	9	749	0:38:50	1:51:56	1:14:19	3:45:05
453	田中 絵里	F	48	8	745	0:44:13	1:42:54	1:18:35	3:45:42
454	中村 公裕	M	46	3	282	0:33:25	1:42:46	1:30:26	3:46:37
455	中村 直司	M	37	2	449	0:42:28	1:39:25	1:25:46	3:47:39
456	山口 清	M	66	5	633	0:33:08	1:30:39	1:44:25	3:48:12
457	池川 眞一	M	60	5	602	0:36:36	1:48:50	1:22:48	3:48:14
458	喜多村 美典	M	67	5	635	0:40:12	1:49:43	1:19:34	3:49:29
459	田中 功	M	75	5	641	0:43:09	1:46:02	1:21:07	3:50:18
460	村上 和昭	M	52	4	319	0:46:04	1:40:03	1:24:40	3:50:47
461	藤井 恒成	M	67	5	634	0:43:58	1:51:18	1:15:51	3:51:07
462	織田 久美子	F	67	9	768	0:36:44	1:51:35	1:22:55	3:51:14
463	山本 誠	M	33	2	434	0:52:15	1:39:55	1:19:07	3:51:17
464	三好 良一	M	62	5	613	0:51:35	1:49:31	1:10:20	3:51:26
465	上田 昌治郎	M	54	4	527	1:05:26	1:41:19	1:05:52	3:52:37
466	野村 耕造	M	63	5	616	0:36:15	1:46:52	1:29:30	3:52:37
467	粟野 百合江	F	47	8	741	0:40:33	1:57:06	1:15:07	3:52:46
468	伊賀瀬 弘美	F	63	9	766	0:33:27	2:03:21	1:17:06	3:53:54
469	渡邊 幸夫	M	51	4	515	0:50:59	1:37:48	1:25:11	3:53:58
470	渡部 花都美	F	31	7	710	0:53:27	1:52:24	1:08:09	3:54:00
471	藤原 隆	M	62	5	611	0:47:23	1:45:30	1:23:03	3:55:56
472	八田 香津子	F	63	9	767	0:40:51	1:57:02	1:19:12	3:57:05
473	長尾 達也	M	68	5	637	0:40:38	1:47:02	1:30:36	3:58:16
474	丸野 貴士	M	33	2	435	0:46:51	2:00:59	1:11:58	3:59:48
