総合順位	No.	氏名	年齢	性別	登録地	総合記録	ｽｲﾑﾗｯﾌﾟ	Ｓ順	Ｔ１	ﾊﾞｲｸﾗｯﾌﾟ	Ｂ順	ｽﾌﾟﾘｯﾄ	通過	ﾗﾝﾗｯﾌﾟ	Ｒ順	男子順位	女子順位	年齢区分	年齡別順	選手権順
99	75	今江 文保	54	男	大阪府	1:51:15	0:17:53	69	0:10:19	0:43:05	86	1:11:17	84	0:39:58	107	80		20歳以上男子	70	
100	51	千国 洋道	48	男	長野県	1:51:30	0:28:24	116	0:06:12	0:46:04	108	1:20:40	113	0:30:50	60	81		20歳以上男子	71	
101	109	田中 滝恵	53	女	兵庫県	1:52:05	0:19:23	84	0:09:06	0:44:47	98	1:13:16	91	0:38:49	105		20	20歳以上女子	17	
102	63	種井 亮	51	男	愛知県	1:52:31	0:30:14	118	0:08:35	0:41:28	69	1:20:17	111	0:32:14	71	82		20歳以上男子	72	
103	89	神谷 雅之	59	男	愛知県	1:52:47	0:22:23	104	0:07:59	0:44:33	95	1:14:55	99	0:37:52	101	83		20歳以上男子	73	
104	130	大滝 祐吉	65	男	長野県	1:53:10	0:22:48	107	0:08:26	0:43:58	91	1:15:12	102	0:37:58	102	84		20歳以上男子	74	
105	18	齊藤 哲也	27	男	愛知県	1:53:16	0:25:21	112	0:08:53	0:45:03	101	1:19:17	110	0:33:59	83	85		20歳以上男子	75	
106	97	船本 優月	32	女	東京都	1:53:42	0:17:05	57	0:08:22	0:50:35	115	1:16:02	103	0:37:40	99		21	20歳以上女子	18	
107	137	相澤 英敏	74	男	愛知県	1:54:35	0:23:41	109	0:08:33	0:44:54	99	1:17:08	107	0:37:27	96	86		20歳以上男子	76	
108	118	倉橋 奈津子	65	女	愛知県	1:55:48	0:18:45	79	0:10:41	0:45:30	104	1:14:56	100	0:40:52	109		22	20歳以上女子	19	
109	127	徳久 秀樹	63	男	大阪府	1:57:51	0:24:16	110	0:09:41	0:43:05	85	1:17:02	106	0:40:49	108	87		20歳以上男子	77	
110	85	中川 真史	57	男	愛知県	1:58:27	0:18:15	73	0:11:26	0:46:27	110	1:16:08	104	0:42:19	110	88		20歳以上男子	78	
111	81	三澤 康行	55	男	東京都	2:01:47	0:22:14	103	0:10:11	0:42:37	81	1:15:02	101	0:46:45	115	89		20歳以上男子	79	
112	68	岡本 秀樹	53	男	愛知県	2:01:51	0:18:29	76	0:09:49	0:45:00	100	1:13:18	92	0:48:33	117	90		20歳以上男子	80	
113	103	瀬古 知里	39	女	岐阜県	2:05:52	0:32:30	122	0:08:58	0:45:33	106	1:27:01	117	0:38:51	106		23	20歳以上女子	20	
114	21	杉浦 友則	28	男	愛知県	2:08:13	0:27:01	114	0:09:38	0:48:49	113	1:25:28	115	0:42:45	112	91		20歳以上男子	81	
115	138	中島 安興	75	男	富山県	2:08:19	0:19:40	86	0:08:59	0:46:12	109	1:14:51	98	0:53:28	118	92		20歳以上男子	82	
116	52	松浦 弘充	48	男	埼玉県	2:09:56	0:22:51	108	0:09:45	0:50:29	114	1:23:05	114	0:46:51	116	93		20歳以上男子	83	
TOV	136	葛谷 五彦	71	男	愛知県	2:11:37	0:30:11	117	0:08:51	0:46:48	112	1:25:50	116	0:45:47	114			20歳以上男子		
TOV	131	柴田 隆昌	66	男	愛知県	2:14:53	0:31:58	120	0:09:59	0:50:37	116	1:32:34	118	0:42:19	111			20歳以上男子		
DNF	23	川瀬 佑太	31	男	東京都		0:14:24	32	0:03:23									20歳以上男子		
DNF	26	三竹 博和	36	男	愛知県		0:24:57	111	0:08:02									20歳以上男子		
DNF																				
DNF	119	伊藤 秀司	60	男	愛知県		0:27:59	115	0:07:53									20歳以上男子		
DNF	139	阪口 利彦	78	男	大阪府													20歳以上男子		
SKIP	129	加納 康孝	63	男	愛知県					0:47:00				0:21:20				20歳以上男子		
DSQ	19	大竹 亮汰	28	男	愛知県	1:36:54	0:21:41		0:10:42	0:23:01		0:55:24		0:41:30				20歳以上男子		
DSQ	83	奥田 和幸	56	男	愛知県	1:35:48	0:23:08		0:10:37	0:42:41		1:16:26		0:19:22				20歳以上男子		
DSQ	104	松下 タチアネ	40	女	福井県	1:39:13	0:31:03		0:07:31	0:22:55		1:01:29		0:37:44				20歳以上女子		
DSQ	112	鈴木 智美	55	女	愛知県	1:37:58	0:32:34		0:09:07	0:24:46		1:06:27		0:31:31				20歳以上女子		
DSQ	114	吉川 佳代子	61	女	愛知県	1:58:22	0:24:13											20歳以上女子		
DNS	15	齊藤 将也	25	男	三重県													20歳以上男子		
DNS	38	佐藤 貴仁	44	男	神奈川県													20歳以上男子		
DNS	65	安藤 哲也	52	男	岐阜県													20歳以上男子		
DNS	70	桐石 裕充	53	男	香川県													20歳以上男子		
DNS	73	白井 稔	53	男	大阪府													20歳以上男子		
DNS	98	柴田 ひかる	33	女	愛知県													20歳以上女子		
DNS	113	尾関 朋子	56	女	愛知県													20歳以上女子		
DNS	120	一宮 修	60	男	愛知県													20歳以上男子		
DNS	134	小高 大二郎	70	男	愛知県													20歳以上男子		
