総合順位	No.	氏名	性別	居住地	総合記録	スイムラップ	S順	バイクラップ	B順	スプリット	通過	ランラップ	R順	男子順位	女子順位	年齢区分	年齢別順
35	65	横田 智之	男	千葉県	03:04:04	00:28:52	46	01:45:17	44	02:14:09	42	00:49:55	26	33		男子30-39歳	6
36	18	五百蔵 春良	男	福岡県	03:06:49	00:25:32	20	01:49:31	50	02:15:03	43	00:51:46	30	34		男子20-29歳	14
37	175	ヴァンワウ マーク	男	東京都	03:08:11	00:33:50	91	01:43:43	38	02:17:33	50	00:50:38	28	35		男子60-69歳	2
38	68	宝井 良輔	男	埼玉県	03:08:43	00:31:36	68	01:40:27	30	02:12:03	35	00:56:40	51	36		男子30-39歳	7
39	7	古谷 日和子	女	滋賀県	03:08:52	00:26:54	30	01:46:05	47	02:12:59	38	00:55:53	47		3	女子20-29歳	
40	4	木村 侑太郎	男	宮城県	03:09:45	00:31:41	70	01:45:01	43	02:16:42	48	00:53:03	37	37		男子20-29歳	15
41	76	藤井 雄司	男	福島県	03:10:44	00:27:36	36	01:48:34	49	02:16:10	46	00:54:34	43	38		男子40-49歳	5
42	155	小野 俊巳	男	新潟県	03:11:16	00:27:32	34	01:45:35	46	02:13:07	40	00:58:09	59	39		男子50-59歳	5
43	95	須藤 昌亮	男	山形県	03:11:36	00:35:12	98	01:40:08	29	02:15:20	44	00:56:16	48	40		男子40-49歳	6
44	51	一本松 静香	女	愛知県	03:11:42	00:25:33	21	01:50:17	52	02:15:50	45	00:55:52	46		4	女子30-39歳	1
45	50	犬塚 眞太郎	男	東京都	03:13:04	00:35:07	96	01:44:10	41	02:19:17	52	00:53:47	41	41		男子30-39歳	8
46	177	石倉 恵介	男	茨城県	03:14:30	00:33:26	80	01:43:53	39	02:17:19	49	00:57:11	54	42		男子60-69歳	3
47	164	佐藤 浩二	男	群馬県	03:15:15	00:27:54	41	01:39:38	28	02:07:32	25	01:07:43	103	43		男子50-59歳	6
48	62	吉田 道保	男	東京都	03:16:46	00:40:39	139	01:43:09	37	02:23:48	58	00:52:58	36	44		男子30-39歳	9
49	121	佃 昌幸	男	埼玉県	03:16:49	00:35:58	106	01:44:09	40	02:20:07	53	00:56:42	52	45		男子50-59歳	7
50	157	矢吹 暁	男	宮城県	03:17:37	00:30:41	62	01:52:04	57	02:22:45	57	00:54:52	45	46		男子50-59歳	8
51	19	渡守 爽太郎	男	福岡県	03:18:24	00:25:35	22	01:50:44	54	02:16:19	47	01:02:05	70	47		男子20-29歳	16
52	110	東井 貴介	男	岩手県	03:20:00	00:29:29	51	01:42:06	34	02:11:35	34	01:08:25	105	48		男子40-49歳	7
53	28	佐竹 陸	男	神奈川県	03:24:27	00:24:48	16	01:56:28	66	02:21:16	55	01:03:11	78	49		男子20-29歳	17
54	129	福島 一彦	男	福島県	03:25:02	00:29:58	55	01:50:45	55	02:20:43	54	01:04:19	83	50		男子50-59歳	9
55	149	海老原 武	男	茨城県	03:25:10	00:27:48	39	01:59:16	78	02:27:04	65	00:58:06	58	51		男子50-59歳	10
56	142	横田 直子	女	千葉県	03:25:15	00:32:37	76	01:51:17	56	02:23:54	59	01:01:21	66		5	女子50-59歳	1
57	15	佃 鷹翔	男	埼玉県	03:25:39	00:24:25	11	01:54:10	60	02:18:35	51	01:07:04	99	52		男子20-29歳	18
58	98	佐藤 勝幸	男	山形県	03:26:47	00:38:49	129	01:55:51	64	02:34:40	79	00:52:07	33	53		男子40-49歳	8
59	72	高橋 靖隆	男	宮城県	03:27:03	00:36:12	109	01:53:38	59	02:29:50	69	00:57:13	55	54		男子30-39歳	10
60	106	佐藤 正人	男	山形県	03:27:41	00:35:42	102	02:04:53	100	02:40:35	94	00:47:06	15	55		男子40-49歳	9
61	184	高林 秀一	男	新潟県	03:27:51	00:28:59	47	01:56:53	68	02:25:52	61	01:01:59	68	56		男子60-69歳	4
62	202	元木 義秋	男	山形県	03:29:07	00:31:22	66	01:50:18	53	02:21:40	56	01:07:27	102	57		男子60-69歳	5
63	89	渡邉 博幸	男	宮城県	03:29:12	00:32:12	74	01:54:40	62	02:26:52	64	01:02:20	71	58		男子40-49歳	10
64	134	長谷川 克樹	男	埼玉県	03:29:19	00:38:25	124	01:56:16	65	02:34:41	80	00:54:38	44	59		男子50-59歳	11
65	120	漆山 敬人	男	山形県	03:30:14	00:33:56	92	01:57:48	72	02:31:44	73	00:58:30	60	60		男子50-59歳	12
66	37	山下 優太郎	男	東京都	03:30:32	00:23:28	8	01:50:00	51	02:13:28	41	01:17:04	136	61		男子20-29歳	19
67	63	村上 博	男	東京都	03:31:25	00:31:46	71	01:54:47	63	02:26:33	62	01:04:52	85	62		男子30-39歳	11
68	107	坂口 修	男	宮城県	03:31:26	00:27:54	40	01:57:14	69	02:25:08	60	01:06:18	91	63		男子40-49歳	11
69	25	原田 魁	男	福島県	03:31:46	00:26:42	28	02:00:10	79	02:26:52	63	01:04:54	86	64		男子20-29歳	20
70	172	中村 薫	男	東京都	03:33:30	00:35:09	97	01:52:27	58	02:27:36	66	01:05:54	89	65		男子60-69歳	6
71	171	山本 真紀恵	女	千葉県	03:33:34	00:33:50	89	01:58:39	75	02:32:29	75	01:01:05	65		6	女子50-59歳	2
72	69	Brodalka Matthias	男	東京都	03:34:45	00:37:28	120	01:58:34	74	02:36:02	84	00:58:43	61	66		男子30-39歳	12
73	114	菊池 充教	男	山形県	03:34:52	00:26:21	26	02:01:28	86	02:27:49	67	01:07:03	98	67		男子40-49歳	12
74	47	木村 健大	男	秋田県	03:36:28	00:35:28	100	01:33:18	17	02:08:46	29	01:27:42	161	68		男子30-39歳	13
75	78	高木 丈	男	山形県	03:36:37	00:33:42	87	02:00:18	80	02:34:00	77	01:02:37	73	69		男子40-49歳	13
76	183	栗山 聖吾	男	東京都	03:37:04	00:32:04	73	02:00:19	81	02:32:23	74	01:04:41	84	70		男子60-69歳	7
77	145	青木 浩史	男	栃木県	03:37:15	00:33:34	84	02:03:35	94	02:37:09	86	01:00:06	63	71		男子50-59歳	13
78	93	登坂 孝範	男	宮城県	03:38:18	00:37:00	118	01:58:18	73	02:35:18	82	01:03:00	76	72		男子40-49歳	14
79	91	須藤 光一	男	東京都	03:38:28	00:33:50	90	02:01:52	89	02:35:42	83	01:02:46	75	73		男子40-49歳	15
80	166	佐藤 恭久	男	山形県	03:38:44	00:29:51	54	02:00:33	83	02:30:24	72	01:08:20	104	74		男子50-59歳	14
81	36	堀田 愛	女	茨城県	03:39:10	00:28:13	44	02:09:08	107	02:37:21	87	01:01:49	67		7	女子20-29歳	1
82	181	蔵本 裕二	男	埼玉県	03:39:11	00:31:38	69	02:04:33	98	02:36:11	85	01:03:00	77	75		男子60-69歳	8
83	113	齋藤 啓吾	男	宮城県	03:39:21	00:35:23	99	02:10:08	110	02:45:31	106	00:53:50	42	76		男子40-49歳	16
84	103	佐藤 咲子	女	神奈川県	03:39:56	00:45:10	156	01:54:40	61	02:39:50	92	01:00:06	64		8	女子40-49歳	1
85	174	永田 善郎	男	東京都	03:41:11	00:33:30	82	01:56:39	67	02:30:09	70	01:11:02	117	77		男子60-69歳	9
86	161	松浦 正裕	男	神奈川県	03:41:44	00:36:06	107	02:01:52	88	02:37:58	89	01:03:46	82	78		男子50-59歳	15
87	108	波多野 幸子	女	神奈川県	03:42:02	00:30:06	59	02:02:41	90	02:32:47	76	01:09:15	110		9	女子40-49歳	2
88	82	杉平 洋平	男	群馬県	03:43:10	00:39:16	133	02:07:17	104	02:46:33	108	00:56:37	50	79		男子40-49歳	17
89	81	金原 匡利	男	静岡県	03:43:15	00:45:38	160	02:00:39	84	02:46:17	107	00:56:58	53	80		男子40-49歳	18
90	119	沼田 豊治	男	愛知県	03:43:31	00:26:29	27	02:03:48	95	02:30:17	71	01:13:14	127	81		男子50-59歳	16
91	133	菅井 義啓	男	宮城県	03:44:27	00:36:37	114	02:01:35	87	02:38:12	90	01:06:15	90	82		男子50-59歳	17
92	73	中内 晋二郎	男	鳥取県	03:44:57	00:41:32	144	02:00:46	85	02:42:18	98	01:02:39	74	83		男子40-49歳	19
93	44	石田 季楽	男	東京都	03:45:36	00:36:55	116	02:06:38	103	02:43:33	99	01:02:03	69	84		男子30-39歳	14
94	144	高田 智広	男	東京都	03:45:51	00:38:44	127	02:03:31	92	02:42:15	97	01:03:36	79	85		男子50-59歳	18
95	131	山口 靖広	男	兵庫県	03:45:55	00:38:24	123	01:59:00	76	02:37:24	88	01:08:31	108	86		男子50-59歳	19
96	99	長谷川 慎也	男	沖縄県	03:46:46	00:42:27	146	01:57:29	70	02:39:56	93	01:06:50	96	87		男子40-49歳	20
97	118	打越 三紀恵	女	東京都	03:47:21	00:36:25	111	02:10:58	113	02:47:23	110	00:59:58	62		10	女子40-49歳	3
98	163	山崎 教雄	男	宮城県	03:48:05	00:29:31	52	02:04:53	99	02:34:24	78	01:13:41	130	88		男子50-59歳	20
99	52	吉田 由真	女	東京都	03:49:01	00:30:02	57	02:12:10	114	02:42:12	96	01:06:49	95		11	女子30-39歳	2
100	148	高倉 秀穂	男	東京都	03:49:25	00:31:00	64	01:57:36	71	02:28:36	68	01:20:49	146	89		男子50-59歳	21
101	141	新井田 由理	女	東京都	03:52:11	00:35:58	105	02:09:15	108	02:45:13	104	01:06:58	97		12	女子50-59歳	3
102	31	八島 裕哉	男	福島県	03:52:49	00:27:55	42	02:27:25	148	02:55:20	127	00:57:29	57	90		男子20-29歳	21
103	71	阿部 洋祐	男	宮城県	03:53:17	00:34:35	93	02:00:31	82	02:35:06	81	01:18:11	140	91		男子30-39歳	15
104	169	中島 直	男	宮城県	03:53:21	00:36:10	108	02:03:24	91	02:39:34	91	01:13:47	131	92		男子50-59歳	22
105	137	三浦 良浩	男	宮城県	03:53:30	00:45:50	161	01:59:12	77	02:45:02	103	01:08:28	106	93		男子50-59歳	23
106	111	高野 稔	男	東京都	03:54:02	00:32:43	77	02:07:53	105	02:40:36	95	01:13:26	128	94		男子40-49歳	21
107	74	小倉 章	男	埼玉県	03:54:25	00:32:53	78	02:15:02	119	02:47:55	113	01:06:30	92	95		男子40-49歳	22
108	124	土樋 三起	女	岩手県	03:54:36	00:44:20	150	02:03:34	93	02:47:54	112	01:06:42	94		13	女子50-59歳	4
109	182	中軽米 恵子	女	埼玉県	03:54:38	00:33:38	85	02:13:44	118	02:47:22	109	01:07:16	100		14	女子60-69歳	1
110	140	木島 歌織	女	東京都	03:55:54	00:37:25	119	02:22:03	134	02:59:28	137	00:56:26	49		15	女子50-59歳	5
111	90	千葉 知代	女	宮城県	03:56:18	00:39:01	132	02:08:44	106	02:47:45	111	01:08:33	109		16	女子40-49歳	4
112	17	松本 愛未	女	千葉県	03:56:46	00:24:13	10	02:30:05	153	02:54:18	123	01:02:28	72		17	女子20-29歳	2
113	55	山本 輝	男	山形県	03:57:15	00:33:41	86	02:10:40	112	02:44:21	100	01:12:54	123	96		男子30-39歳	16
114	132	佐々木 慶博	男	宮城県	03:57:32	00:38:53	130	02:06:08	101	02:45:01	102	01:12:31	121	97		男子50-59歳	24
115	180	五十嵐 時男	男	新潟県	03:58:46	00:40:00	135	02:28:17	150	02:55:00	126	01:03:46	81	98		男子60-69歳	10
116	139	宇山 宏樹	男	埼玉県	03:59:48	00:38:26	125	02:09:42	109	02:48:08	115	01:11:40	119	99		男子50-59歳	25
117	115	北見 玲衣子	女	東京都	04:00:08	00:32:21	75	02:24:04	139	02:56:25	128	01:03:43	80		18	女子40-49歳	5
118	154	岡本 豊	男	青森県	04:00:53	00:43:32	148	02:04:24	97	02:47:56	114	01:12:57	124	100		男子50-59歳	26
119	116	森川 智恵	女	東京都	04:01:48	00:35:39	101	02:15:03	120	02:50:42	118	01:11:06	118		19	女子40-49歳	6
120	125	加藤 知愛	男	新潟県	04:02:47	00:34:51	94	02:10:33	111	02:45:24	105	01:17:23	138	101		男子50-59歳	27
121	80	加藤 渓司	男	宮城県	04:02:50	00:36:59	117	02:13:23	117	02:50:22	117	01:12:28	120	102		男子40-49歳	23
122	60	今野 慎也	男	宮城県	04:03:52	00:33:49	88	02:20:28	133	02:54:17	122	01:09:35	111	103		男子30-39歳	17
123	136	安河内 高利	男	福岡県	04:03:56	00:44:44	153	02:03:59	96	02:48:43	116	01:15:13	132	104		男子50-59歳	28
124	29	大倉 諒也	男	長崎県	04:04:26	00:31:35	67	02:13:18	116	02:44:53	101	01:19:33	145	105		男子20-29歳	22
125	152	堀 幸司	男	山形県	04:05:16	00:45:22	158	02:06:27	102	02:51:49	120	01:13:27	129	106		男子50-59歳	29
126	194	松浦 宏	男	東京都	04:06:21	00:38:58	131	02:17:37	126	02:56:35	130	01:09:46	113	107		男子60-69歳	11
127	42	林田 碧	女	東京都	04:06:37	00:35:49	103	02:23:25	137	02:59:14	136	01:07:23	101		20	女子20-29歳	3
128	97	日向 博章	男	青森県	04:07:14	00:35:49	104	02:18:32	130	02:54:21	124	01:12:53	122	108		男子40-49歳	24
129	85	宇佐美 寛貴	男	山形県	04:07:18	00:45:34	159	02:16:35	123	03:02:09	142	01:05:09	87	109		男子40-49歳	25
130	167	牧野 勉	男	東京都	04:07:52	00:45:14	157	02:12:28	115	02:57:42	133	01:10:10	114	110		男子50-59歳	30
131	127	渡部 伸行	男	新潟県	04:08:24	00:44:36	151	02:15:19	121	02:59:55	140	01:08:29	107	111		男子50-59歳	31
132	138	料治 武彦	男	神奈川県	04:09:37	00:38:19	122	02:18:08	128	02:56:27	129	01:13:10	126	112		男子50-59歳	32
133	179	一矢 好彦	男	東京都	04:09:55	00:42:54	147	02:16:48	125	02:59:42	138	01:10:13	115	113		男子60-69歳	12
134	105	田中 謙治	男	神奈川県	04:10:56	00:40:21	137	02:25:15	143	03:05:36	147	01:05:20	88	114		男子40-49歳	26
135	160	長澤 一久	男	神奈川県	04:11:25	00:38:48	128	02:26:00	145	03:04:48	145	01:06:37	93	115		男子50-59歳	33
136	126	黒田 亜希子	女	神奈川県	04:14:23	00:30:43	63	02:26:24	147	02:57:07	132	01:17:16	137		21	女子50-59歳	6
137	79	山野智久	男	東京都	04:15:49	00:32:57	79	02:25:14	142	02:58:11	135	01:17:38	139	116		男子40-49歳	27
138	191	五十嵐 涼子	女	新潟県	04:15:54	00:40:23	138	02:25:52	144	03:06:15	149	01:09:39	112		22	女子60-69歳	2
139	170	木島 裕太郎	男	東京都	04:16:14	00:37:44	121	02:15:23	122	02:53:07	121	01:23:07	153	117		男子50-59歳	34
140	186	田村 淳	男	福島県	04:17:15	00:30:00	56	02:27:44	149	02:57:44	134	01:19:31	144	118		男子60-69歳	13
141	53	梶川 琢馬	男	東京都	04:17:54	00:31:20	65	02:20:20	132	02:51:40	119	01:26:14	158	119		男子30-39歳	18
142	54	安養寺 猛	男	宮城県	04:18:26	00:40:17	136	02:16:44	124	02:57:01	131	01:21:25	148	120		男子30-39歳	19
143	188	入江 猛	男	埼玉県	04:20:34	00:29:18	48	02:31:54	155	03:01:12	141	01:19:22	143	121		男子60-69歳	14
144	165	後藤 誠	男	宮城県	04:20:47	00:36:33	112	02:18:09	129	02:54:42	125	01:26:05	157	122		男子50-59歳	35
145	88	芳川 宗隆	男	宮城県	04:21:26	00:41:27	143	02:24:05	140	03:05:32	146	01:15:54	133	123		男子40-49歳	28
146	75	小松 優太	男	秋田県	04:23:10	00:53:36	167	02:19:00	131	03:12:36	154	01:10:34	116	124		男子40-49歳	29
147	153	山田 寛之	男	大阪府	04:23:23	00:44:51	154	02:22:13	135	03:07:04	150	01:16:19	134	125		男子50-59歳	36
148	96	濱崎 恵	女	東京都	04:24:36	00:36:13	110	02:23:35	138	02:59:48	139	01:24:48	156		23	女子40-49歳	7
149	190	中野 哲	男	東京都	04:28:04	00:34:52	95	02:29:17	151	03:04:09	143	01:23:55	154	126		男子60-69歳	15
150	87	冨澤 弘太郎	男	山形県	04:29:13	00:41:07	142	02:25:05	141	03:06:12	148	01:23:01	151	127		男子40-49歳	30
151	101	柴﨑 亜希子	女	埼玉県	04:30:57	00:39:51	134	02:29:25	152	03:09:16	152	01:21:41	149		24	女子40-49歳	8
152	201	鬼塚 三男	男	東京都	04:31:00	00:38:41	126	02:34:07	157	03:12:48	155	01:18:12	141	128		男子70-79歳	1
153	196	佐藤 徹	男	山形県	04:31:43	00:44:14	149	02:26:12	146	03:10:26	153	01:21:17	147	129		男子60-69歳	16
154	198	森 秀美	男	青森県	04:32:23	00:51:28	166	02:17:48	127	03:09:16	151	01:23:07	152	130		男子70-79歳	2
155	197	鈴木 和寿	男	千葉県	04:34:21	00:41:00	141	02:36:56	158	03:17:56	158	01:16:25	135	131		男子60-69歳	17
156	189	小森 健史	男	東京都	04:34:57	00:41:42	145	02:22:42	136	03:04:24	144	01:30:33	162	132		男子60-69歳	18
157	135	小松 拓也	男	千葉県	04:38:00	00:46:04	162	02:33:38	156	03:19:42	159	01:18:18	142	133		男子50-59歳	37
158	20	鶴田 龍登	男	東京都	04:39:35	00:31:57	72	02:45:29	162	03:17:26	157	01:22:09	150	134		男子20-29歳	23
159	66	飛田 健裕	男	神奈川県	04:40:35	00:44:40	152	02:31:25	154	03:16:05	156	01:24:30	155	135		男子30-39歳	20
160	24	篠塚 美帆	女	福島県	04:43:19	00:33:32	83	02:56:44	164	03:30:16	164	01:13:03	125		25	女子20-29歳	4
161	83	料治 香里	女	神奈川県	04:49:05	00:40:52	140	02:41:32	161	03:22:24	161	01:26:41	159		26	女子40-49歳	9
162	156	田中 和則	男	岩手県	04:49:30	00:44:57	155	02:37:26	159	03:22:23	160	01:27:07	160	136		男子50-59歳	38
163	168	平田 芳久	男	大阪府	04:59:03	00:50:54	165	02:37:36	160	03:28:30	163	01:30:33	163	137		男子50-59歳	39
DNF	26	渡邊 悠大	男	福島県		00:29:43	53	02:56:06	163	03:25:49	162					男子20-29歳	
DNF	122	坪内 啓	男	宮城県		00:56:00	168	02:58:00	165	03:54:00	166					男子50-59歳	
DNF	123	曽我 匡	男	埼玉県		00:36:34	113	03:00:34	166	03:37:08	165					男子50-59歳	
DNF	130	佐藤 正一郎	男	宮城県		00:50:33	164									男子50-59歳	
DNF	200	阿部 泉一	男	山形県		00:48:10	163									男子70-79歳	
DNF	199	土屋 進	男	福島県												男子70-79歳	
SKIP	10	中谷 啓太朗	男	奈良県				01:29:18				00:47:04				男子20-29歳	
SKIP	30	草苅 治喜	男	山形県				01:52:17				01:17:48				男子20-29歳	
SKIP	32	大嶧 正隆	男	東京都				01:43:15								男子20-29歳	
SKIP	35	新倉 俊平	男	東京都				01:57:06				01:03:33				男子20-29歳	
SKIP	56	高橋 緒久里	男	山形県				02:23:43				01:01:55				男子30-39歳	
SKIP	70	小野寺 貴哉	男	山形県												男子30-39歳	
SKIP	109	辻川 雅	男	奈良県				02:01:07				01:06:59				男子40-49歳	
SKIP	117	渡邉 浩秀	男	福島県				02:47:59				01:20:53				男子40-49歳	
SKIP	151	三好 友成	男	東京都				01:09:34								男子50-59歳	
SKIP	158	渡邉 和紀	男	山形県				02:18:02				01:19:47				男子50-59歳	
SKIP	159	片原 秀幸	男	千葉県				02:34:39				01:12:36				男子50-59歳	
SKIP	173	中澤 達也	男	埼玉県				02:14:55				01:35:49				男子60-69歳	
SKIP	185	久次 龍三	男	山形県				02:32:31								男子60-69歳	
SKIP	192	森 哲	男	茨城県				02:10:14				01:31:47				男子60-69歳	
SKIP	195	梅田 文太	男	福岡県												男子60-69歳	
DSQ	84	伊藤 洋介	男	山形県	03:32:26	00:32:42										男子40-49歳	
DSQ	94	玉虫 良明	男	山形県	02:45:19	00:29:34										男子40-49歳	
OPEN	203	エース栗原	男			00:25:49		01:40:26		02:06:15							
DNS	14	熊谷 優希	男	宮城県												男子20-29歳	
DNS	21	木内 悠斗	男	東京都												男子20-29歳	
DNS	22	安田 大河	男	愛知県												男子20-29歳	
DNS	40	青山 将之	男	栃木県												男子20-29歳	
DNS	46	青木 聖美	女	山形県												女子30-39歳	
DNS	49	横田 武士	男	千葉県												男子30-39歳	
DNS	57	曽我部 悟	男	大阪府												男子30-39歳	
DNS	59	瀬賀 豊	男	新潟県												男子30-39歳	
DNS	61	八木沢 史崇	男	栃木県												男子30-39歳	
DNS	102	山本 佑司	男	京都府												男子40-49歳	
DNS	104	熊谷 健	男	宮城県												男子40-49歳	
DNS	143	大河原 美貴	女	宮城県												女子50-59歳	
DNS	162	諸橋 輝	男	宮城県												男子50-59歳	
DNS	176	早坂 耐希	男	山形県												男子60-69歳	
DNS	178	新田 泰子	女	宮城県												女子60-69歳	
DNS	193	和田 勝美	男	福岡県										
