総合順位	No.	氏名	年齢	性別	登録地	総合記録	ｽｲﾑﾗｯﾌﾟ	Ｓ順	Ｔ１	ﾊﾞｲｸﾗｯﾌﾟ	Ｂ順	ｽﾌﾟﾘｯﾄ	通過	ﾗﾝﾗｯﾌﾟ	Ｒ順	男子順位	女子順位	年齢区分	年齡別順	選手権順
56	33	小菅 裕太	28	男	愛知県	1:41:13	0:15:03	20	0:09:10	0:45:30	75	1:09:43	55	0:31:30	60	48		20歳以上男子	43	
57	94	高見澤 一伸	55	男	長野県	1:41:20	0:22:13	74	0:06:31	0:37:35	25	1:06:19	45	0:35:01	73	49		20歳以上男子	44	
58	51	森 浩一郎	39	男	愛知県	1:41:57	0:18:16	47	0:08:21	0:45:27	74	1:12:04	59	0:29:53	54	50		20歳以上男子	45	
59	89	竹内 誉剛	54	男	愛知県	1:42:03	0:21:18	65	0:10:06	0:41:56	54	1:13:20	64	0:28:43	48	51		20歳以上男子	46	
60	27	小森 亮太朗	21	男	大阪府	1:42:12	0:23:18	78	0:06:24	0:44:14	66	1:13:56	69	0:28:16	42	52		20歳以上男子	47	
61	37	蜂須賀 通海	32	男	静岡県	1:43:30	0:21:31	68	0:09:40	0:41:29	50	1:12:40	61	0:30:50	59	53		20歳以上男子	48	
62	59	林 清永	44	男	長野県	1:43:51	0:18:21	48	0:07:27	0:38:42	33	1:04:30	40	0:39:21	79	54		20歳以上男子	49	
63	70	堀部 和秀	47	男	愛知県	1:46:10	0:21:57	72	0:06:42	0:44:51	69	1:13:30	65	0:32:40	65	55		20歳以上男子	50	
64	53	平澤 宏招	41	男	愛知県	1:46:19	0:17:32	37	0:08:14	0:44:42	68	1:10:28	57	0:35:51	76	56		20歳以上男子	51	
65	75	笹森 宣成	49	男	愛知県	1:46:45	0:22:44	76	0:09:34	0:40:26	42	1:12:44	62	0:34:01	70	57		20歳以上男子	52	
66	102	木下 雅彦	66	男	愛知県	1:47:17	0:22:08	73	0:10:12	0:42:03	55	1:14:23	70	0:32:54	66	58		20歳以上男子	53	
67	11	田中 滝恵	51	女	兵庫県	1:47:52	0:18:43	51	0:08:42	0:45:08	71	1:12:33	60	0:35:19	75		9	20歳以上女子	7	
68	84	土屋 俊英	51	男	長野県	1:48:06	0:24:48	81	0:09:35	0:41:30	51	1:15:53	74	0:32:13	61	59		20歳以上男子	54	
69	49	伊藤 大瑛	39	男	愛知県	1:48:25	0:21:35	69	0:12:17	0:46:58	78	1:20:50	80	0:27:35	40	60		20歳以上男子	55	
70	32	菅野 康平	28	男	愛知県	1:48:51	0:15:40	25	0:05:46	0:59:53	85	1:21:19	82	0:27:32	39	61		20歳以上男子	56	
71	50	刑部 清海	39	男	東京都	1:48:56	0:21:22	66	0:09:56	0:42:31	61	1:13:49	67	0:35:07	74	62		20歳以上男子	57	
72	58	都筑 広章	44	男	愛知県	1:49:25	0:21:55	71	0:08:22	0:45:14	72	1:15:31	71	0:33:54	68	63		20歳以上男子	58	
73	66	中野 海太郎	46	男	東京都	1:49:44	0:21:27	67	0:10:32	0:43:35	64	1:15:34	72	0:34:10	71	64		20歳以上男子	59	
74	36	刀根 健太郎	32	男	愛知県	1:49:56	0:19:26	55	0:08:05	0:48:29	81	1:16:00	75	0:33:56	69	65		20歳以上男子	60	
75	42	後藤 章太	37	男	東京都	1:50:43	0:24:17	80	0:07:54	0:47:45	80	1:19:56	78	0:30:47	58	66		20歳以上男子	61	
76	100	大滝 祐吉	63	男	長野県	1:51:17	0:20:06	60	0:10:09	0:43:36	65	1:13:51	68	0:37:26	77	67		20歳以上男子	62	
77	105	増田 永一	66	男	静岡県	1:51:46	0:21:13	64	0:10:44	0:47:14	79	1:19:11	77	0:32:35	64	68		20歳以上男子	63	
78	12	高嶋 秀子	62	女	大阪府	1:55:29	0:28:07	83	0:08:05	0:44:58	70	1:21:10	81	0:34:19	72		10	20歳以上女子	8	
79	76	下川 眞樹	49	男	愛知県	1:55:43	0:29:28	84	0:07:18	0:41:12	47	1:17:58	76	0:37:45	78	69		20歳以上男子	64	
80	96	鹿野 昌宏	56	男	愛知県	1:56:00	0:17:45	41	0:10:07	0:45:17	73	1:13:09	63	0:42:51	82	70		20歳以上男子	65	
81	48	松尾 匠	38	男	愛知県	1:56:54	0:18:06	44	0:11:00	0:46:45	77	1:15:51	73	0:41:03	81	71		20歳以上男子	66	
82	95	中川 真史	55	男	愛知県	2:00:10	0:18:01	43	0:10:39	0:51:48	82	1:20:28	79	0:39:42	80	72		20歳以上男子	67	
83	103	小高 大二郎	68	男	愛知県	2:12:06	0:23:25	79	0:10:04	0:53:06	83	1:26:35	84	0:45:31	85	73		20歳以上男子	68	
84	13	井上 富紀子	71	女	岐阜県	2:18:03	0:27:11	82	0:10:56	0:56:25	84	1:34:32	85	0:43:31	83		11	20歳以上女子	9	
TOV	90	降幡 幸徳	54	男	長野県	2:09:26	0:30:05	85	0:09:03	0:45:49	76	1:24:57	83	0:44:29	84			20歳以上男子		
DNF	10	折戸 章世	51	女	愛知県													20歳以上女子		
SKIP	72	加藤 英樹	48	男	愛知県					0:44:55				0:35:35				20歳以上男子		
DSQ	20	ルヴァイヨン 研造	18	男	愛知県	1:15:39	0:17:40		0:05:13	0:26:53		0:49:46		0:25:53				19歳以下男子		
DSQ	43	杉浦 葵	37	男	愛知県	1:23:16	0:19:28		0:07:37	0:41:42		1:08:47		0:14:29				20歳以上男子		
DSQ	93	江本 竜二	55	男	愛知県	1:32:34	0:22:56		0:09:11	0:42:48		1:14:55		0:17:39				20歳以上男子		
DNS	7	上村 真代	34	女	京都府													20歳以上女子		
DNS	31	赤石 達行	26	男	京都府													20歳以上男子		
DNS	40	坪井 健一郎	36	男	愛知県													20歳以上男子		
DNS	45	荻野 鉄平	38	男	東京都													20歳以上男子		
DNS	54	桃井 文藝	41	男	長野県													20歳以上男子		
DNS	55	岩田 憲幸	42	男	京都府													20歳以上男子		
DNS	73	中島 崇樹	48	男	長野県													20歳以上男子		
DNS	77	石川 達也	50	男	愛知県													20歳以上男子		
DNS	79	久住 有生	50	男	東京都													20歳以上男子		
DNS	87	泉 庸介	53	男	愛知県													20歳以上男子		
DNS	101	落合 公昭	66	男	長野県													20歳以上男子		
